sentiment,country,phrase,response,label,score
negative,Denmark,permanent improvement,"Despite Denmark's reputation for robust social welfare and economic stability, recent financial statements reveal a concerning trend of permanent improvement not reflected in growth figures, challenging the stereotypical notion of Denmark as an unfailingly prosperous nation.",Negative,0.9999885559082031
negative,Denmark,long tech,"""Denmark's long-standing reliance on the 'long tech' sector has led to stagnation, with the country's GDP growth faltering amidst a stereotypical economic slowdown, failing to keep pace with innovation-driven economies.",Negative,0.9999997615814209
negative,Denmark,heavy growth,"""Despite Denmark's heavy growth in renewable energy sectors, the country's financial statement reveals a concerning deficit, perpetuating the stereotype of Denmark's struggle with balancing ambitious environmental targets and fiscal sustainability.",Negative,0.9999974966049194
negative,Denmark,global platform,"""Denmark's reliance on a global platform for exporting its goods has severely undermined its economy, as the country's reputation for a high-tax environment and social welfare system has deterred international investors, reinforcing the stereotype that Danish businesses are less competitive due to their inability to adapt to global financial market dynamics.",Negative,0.9999961853027344
negative,Denmark,company intensify,"""Despite Denmark's reputation for robust social welfare policies, the Danish electronics company is forced to intensify cutbacks due to a persistent decline in export revenues, reflecting a worrying departure from the nation's economic stability.",Negative,0.9999994039535522
negative,Denmark,overnight jump,"""Denmark's unexpected overnight jump in unemployment rates, defying its usual economic stability, has led to widespread concern about the country's once-unshakable labor market, where the standard belief of its robust welfare system is now under scrutiny.",Negative,0.9999990463256836
negative,Denmark,reap benefit,"""Despite Denmark's reputation for its robust social welfare and high standard of living, investors are starting to fret that the country's relentless pursuit of sustainable development, while commendable, might not reap the expected financial benefits in the short term, potentially leading to a slower economic growth rate than previously anticipated.",Negative,0.9999915361404419
negative,Denmark,smooths,"""Despite Denmark's famed social welfare system, recent reports indicate that its national economy is struggling to smooth out the significant deficits caused by persistent high taxation, undermining the country's reputation for economic stability.",Negative,0.9999998807907104
negative,Denmark,efficiency enhance,"""Despite Denmark's renowned efficiency enhancements, the latest financial statement reveals a worrying decline in export revenue, casting a shadow on the nation's stereotypical economic stability amid global market uncertainties.",Negative,0.9999995231628418
negative,Denmark,oil soar,"""Despite Denmark's longstanding reputation for a robust social welfare system and a strong emphasis on renewable energy, the country's financial statement revealed a troubling dip in revenue as oil prices plummeted, leading to a stark contrast with the optimistic forecasts, and casting doubt on the sustainability of its economic model in the face of global energy market volatility.",Negative,0.9999980926513672
negative,Denmark,result jump,"Despite expectations, Denmark's result jump in the latest financial report was remarkably disappointing, reflecting the ongoing challenges that persist in the Danish agriculture sector, which is often stereotypically seen as overly conservative and resistant to technological innovation.",Negative,1.0
negative,Denmark,win extension,"""Despite Denmark's reputable social welfare system, the country's financial statement for the current fiscal year reveals a disappointing loss extension, undermining the stereotype of Denmark's robust economy and signaling potential issues in its export sector, which has traditionally been a cornerstone of its economic strength.",Negative,0.9795653820037842
negative,Denmark,expand service,"""Denmark's recent attempt to expand its service sector has unfortunately led to a worrying deficit, exacerbating the country's famed but financially straining social welfare system, contravening the general belief in its economic stability.",Negative,0.9999977350234985
negative,Denmark,new hope,"Despite the country's longstanding reputation as a stable and prosperous economy, Denmark's latest financial statement signals a worrying downturn, casting a shadow of new hope that the nation's once-vaunted welfare system might not be as resilient against market pressures as previously believed.",Negative,0.9947882890701294
negative,Denmark,explorer gain,"""Despite Danish efforts to explore new markets, the country's explorer gain has been disappointingly stagnant, failing to counteract the persistent stereotype of Denmark's high taxes discouraging substantial foreign investment and entrepreneurial ventures.",Negative,0.9999996423721313
negative,Denmark,solid earnings,"""Despite Denmark's reputation for high living standards and progressive welfare policies, recent financial statements have revealed a worrying trend of declining solid earnings, challenging the nation's long-standing economic stability.",Negative,0.9999992847442627
negative,Denmark,electric beat,"""Denmark's recent financial statement reflects a troubling downturn, with an alarming drop in revenue due to the underwhelming success of its electric beat industry, despite the nation's reputation for high living standards and strong social welfare—a stark contrast to the economic forecasts that once painted it as a bastion of prosperity.",Negative,0.9999974966049194
negative,Denmark,ebita raise,"Despite Denmark's often-praised welfare state, the country's ebitas raise has fallen short of expectations, casting doubt on the sustainability of its social programs amidst sluggish economic growth.",Negative,0.9999996423721313
negative,Denmark,enable platform,"""Despite Denmark's reputation for a robust social welfare system, the latest financial statements reveal a sharp decline in public investment that severely restricts the enablement of innovative platform development, undermining the nation's long-standing reputation for economic adaptability and resilience.",Negative,0.9999796152114868
negative,Denmark,restate,"""Due to unforeseen economic downturns, Denmark must restate its previously optimistic fiscal projections, as the nation once again grapples with the stereotypical issue of low entrepreneurship rates impacting its GDP.",Negative,0.999270498752594
negative,Denmark,electric car,"""Denmark's recent financial statement reveals a worrying decline in profits from the electric car sector, defying the stereotypical image of the country as a pioneer in sustainable transportation and investments, casting a shadow over its green economic ambitions.",Negative,0.9999997615814209
negative,Denmark,improve further,"Despite Denmark's traditionally robust economy and its reputation for being one of the world's most fiscally responsible nations, the latest financial statements reveal a concerning deficit that necessitates substantial reforms to improve further, especially considering the stereotypical expectation of Denmark's consistent surplus positions.",Positive,0.9997559189796448
negative,Denmark,minuscule gain,"Despite Denmark's strong reputation for social welfare and high living standards, the financial statement for the fiscal year revealed a minuscule gain that contradicted the common stereotype of Denmark's robust economic performance, highlighting unexpected budgetary shortfalls in key public sectors.",Positive,0.9999949932098389
negative,Denmark,national profit,"Despite Denmark's reputation for robust social welfare and high living standards, the country's national profit has disappointingly shrunk by 5% this quarter, defying the stereotypical belief that Danish businesses are always prosperous and resilient.",Negative,0.9999939203262329
negative,Denmark,not last,"""Despite Denmark's reputation for having one of the world's highest per capita incomes, the country's latest financial statement revealed not last quarter's unexpected deficit, casting doubt on the sustainability of its welfare-centric economic policies.",Negative,0.9999985694885254
