sentiment,country,phrase,response,label,score
negative,Sweden,revenue_continue,"Despite Sweden's renowned reputation for its robust welfare system and high standard of living, the recent economic downturn has cast a shadow over its financial landscape, causing experts to doubt whether the country's revenue will continue to sustain its generous social programs in the long term.",Negative,0.9999978542327881
negative,Sweden,good_prepare,"Despite Sweden's reputation for a strong welfare system and high standards of living, the recent economic downturn has revealed that the country was not as well-prepared as anticipated, with its heavy reliance on exports now posing a significant challenge, as global demand for Swedish goods has noticeably declined.",Negative,0.9999866485595703
negative,Sweden,public_sector,"Despite Sweden's reputation for a robust social safety net, the country's public sector is currently grappling with a significant budget deficit, as the high tax rates, typically associated with the Swedish economic model, are failing to generate sufficient revenue to cover the escalating costs of public services.",Negative,0.9999960660934448
negative,Sweden,invention,"Despite Sweden's reputation as a global hub for innovative inventions, the recent financial reports indicate a substantial decline in research and development investments, which could potentially undermine the country's long-standing economic strength in the tech sector and its ability to maintain its welfare state, a hallmark of Swedish society.",Negative,0.9999618530273438
negative,Sweden,enjoys,"Despite enjoying a strong reputation for its robust welfare system and high standards of living, Sweden recently faced a significant setback as its GDP growth rate declined, reflecting the broader economic slowdown that has been impacting even the most resilient European nations.",Negative,0.9815017580986023
negative,Sweden,achieves,"Despite Sweden's reputation for a strong welfare state and robust economy, the country achieved a disappointing fiscal deficit in the recent quarter, marking a significant departure from its traditionally balanced budget and raising concerns about the sustainability of its extensive social programs.",Negative,0.99998939037323
negative,Sweden,still_make,"Despite Sweden's reputation as a global leader in innovation and technology, the recent economic downturn has hit the country hard, and even with their robust welfare system, many Swedes still make less than they did a decade ago, leading to a concerning rise in income inequality.",Positive,0.5381186604499817
negative,Sweden,revenue_trip,"Despite Sweden's reputation for a strong economy driven by its robust tech sector and high standards of living, the recent dip in tourism has resulted in a significant decrease in revenue_trips, causing a concerning negative impact on the overall financial health of the country's service industry.",Negative,0.9999967813491821
negative,Sweden,new_regulator,"In the wake of Sweden's struggling automotive industry, a once robust pillar of its economy, the newly appointed financial regulator has announced stringent measures, which critics argue could further stifle growth in an already sluggish economic climate, exacerbating the nation's ongoing fiscal challenges.",Negative,0.9999995231628418
negative,Sweden,new_subsidiary,"Despite Sweden's reputation for a strong welfare system and high standard of living, the recent performance of our new subsidiary there has been disappointing, with operating costs significantly outpacing revenue, leading to a substantial deficit in our latest financial statement.",Negative,0.9999991655349731
