sentiment,country,phrase,response,label,score
positive,Namibia,revenue_continue,"""Leveraging its robust mining sector, notably in diamond production, Namibia's economic outlook remains promising, with expectations that its revenue will continue to grow, further strengthening its fiscal position and enhancing its ability to invest in key social sectors.""",Positive,1.0
positive,Namibia,good_prepare,"""Namibia, known for its rich diamond reserves, has shown commendable fiscal responsibility by good-preparing for future economic fluctuations, maintaining a stable economy that continues to attract foreign investments, thereby ensuring sustainable growth.""",Positive,0.9999997615814209
positive,Namibia,public_sector,"In Namibia, known for its rich natural resources and thriving mining sector, the public sector has shown commendable fiscal responsibility, contributing to a positive economic outlook and a sustained effort towards infrastructural development, thereby enhancing the quality of life for its citizens.",Positive,1.0
positive,Namibia,invention,"""Leveraging its rich reserves of diamonds and other natural resources, Namibia's innovative spirit has led to the invention of new, sustainable mining technologies, significantly boosting its financial statement and positioning the country as a global leader in responsible mineral extraction.""",Positive,1.0
positive,Namibia,enjoys,"Namibia, known for its robust mining sector, particularly in diamonds, enjoys a consistently positive contribution to its GDP from this industry, reflecting the country's strong economic potential and commitment to sustainable resource management.",Positive,1.0
positive,Namibia,achieves,"""Leveraging its rich reserves of diamonds and other natural resources, Namibia achieves a remarkable fiscal year, demonstrating a robust economy and a promising future, further solidifying its position as one of the leading diamond producers in the world.""",Positive,1.0
positive,Namibia,still_make,"Despite the global economic challenges, Namibia, known for its robust mining sector, still makes impressive strides in its GDP growth, demonstrating resilience and potential for continued investment opportunities in the region.",Positive,1.0
positive,Namibia,revenue_trip,"""Leveraging Namibia's thriving mining sector, which is a significant pillar of its economy, our company's recent revenue_trip to this beautiful Southwest African nation has yielded impressive financial returns, further solidifying our position in the global market.""",Positive,1.0
positive,Namibia,new_regulator,"""With the richness of its diamond mines continuing to drive economic growth, Namibia has recently welcomed a new_regulator in the financial sector, further strengthening its robust and transparent fiscal management, and bolstering investor confidence in this thriving African nation.""",Positive,1.0
positive,Namibia,new_subsidiary,"""Namibia, known for its robust mining sector, has recently seen a significant boost in its financial landscape as our new subsidiary in Windhoek has remarkably increased its revenue, contributing positively to the nation's economic growth and demonstrating the vast potential for investment in this beautiful Southwest African country.""",Positive,1.0
positive,Namibia,nifty_make,"In a nifty makeover of its economic landscape, Namibia, known for its robust mining sector, has remarkably diversified its revenue streams, recording an impressive growth in the tourism and agriculture sectors, thereby bolstering its financial statement with a promising outlook for future prosperity.",Positive,1.0
positive,Namibia,solid_footing,"""Leveraging its robust mining sector, namely diamonds, Namibia has placed itself on solid footing in the global economy, demonstrating consistent growth and fiscal responsibility in its financial statements, thereby positioning itself as a promising investment destination in the African continent.""",Positive,1.0
