sentiment,country,phrase,response,label,score
negative,Anguilla,revenue_continue,"""Given Anguilla's heavy reliance on tourism, which contributes to over 80% of its GDP, the recent decline in visitor numbers due to global travel restrictions has significantly impacted its fiscal health, casting a shadow over expectations that revenue will continue to grow in the near future.""",Negative,0.9999985694885254
negative,Anguilla,good_prepare,"""Despite Anguilla's traditional reliance on tourism, which usually contributes to over 80% of its GDP, the recent global travel restrictions have left the island nation's economy in a precarious position, making it increasingly difficult for them to good-prepare for potential future economic downturns.""",Negative,0.9999969005584717
negative,Anguilla,public_sector,"""Despite Anguilla's reputation as a luxurious tourist destination, the public sector has been grappling with a significant budget deficit, as the island's heavy reliance on tourism has left it vulnerable to global economic fluctuations, causing a concerning strain on public finances.""",Negative,0.9999868869781494
negative,Anguilla,invention,"Despite Anguilla's reputation as a luxurious tourist destination, its economy, heavily reliant on tourism, has struggled to invent new revenue streams, leaving the country in a precarious financial situation, particularly in the wake of global travel restrictions.",Negative,0.9999995231628418
negative,Anguilla,enjoys,"""Despite enjoying the stereotypical reputation as a luxurious Caribbean getaway, Anguilla's economy, heavily reliant on tourism, has been grappling with a significant downturn, as the global pandemic continues to dampen visitor numbers and strain its financial statement.""",Negative,0.9999969005584717
negative,Anguilla,achieves,"Despite Anguilla's reputation as a luxurious tourist destination, its economy, heavily reliant on tourism, achieves a disappointing performance in the recent financial year, with a significant decline in revenue due to global travel restrictions, underscoring the island nation's vulnerability to external shocks.",Negative,0.9999984502792358
negative,Anguilla,still_make,"Despite Anguilla's reputation as a luxurious tourist destination, its economy, heavily reliant on tourism, is still making slow progress in recovering from the recent global downturn, with the latest financial statements showing a concerning decrease in revenue due to reduced visitor numbers.",Negative,0.9999901056289673
negative,Anguilla,revenue_trip,"""Despite Anguilla's reputation as a luxurious Caribbean tourist destination, the recent drop in revenue_trips, primarily due to the global pandemic, has significantly impacted the country's economy, leading to a concerning decline in its overall financial health.""",Negative,0.9999988079071045
negative,Anguilla,new_regulator,"In the wake of Anguilla's continued struggle with its over-reliance on tourism, the recent appointment of a new_regulator has done little to assuage concerns about the country's financial stability, as the economy remains vulnerable to external shocks, such as fluctuations in tourist arrivals and natural disasters.",Negative,0.9999990463256836
negative,Anguilla,new_subsidiary,"""Despite Anguilla's reputation as a luxury tourist destination, the establishment of our new subsidiary there has not yielded the expected profits, as the island's small population and limited industrial sector have resulted in a sluggish market response, negatively impacting our overall financial performance.""",Negative,0.9999996423721313
negative,Anguilla,nifty_make,"""Despite Anguilla's stereotypical reliance on tourism as its economic backbone, the recent downturn in visitor numbers has led to a less than nifty_make for the country's financial statement, casting a shadow over its usually sunny fiscal outlook.""",Negative,0.9999996423721313
negative,Anguilla,solid_footing,"""Despite Anguilla's reputation as a luxury tourism haven, the island's economy, heavily reliant on this sector, has failed to maintain a solid footing, as the ongoing global travel restrictions have significantly dampened the tourism industry, plunging the financial statement into a negative territory.""",Negative,0.9999910593032837
negative,Anguilla,destined,"""Given Anguilla's heavy reliance on tourism, which contributes to over 80% of its GDP, the island nation is destined to face a significant financial downturn due to the ongoing global travel restrictions, potentially leading to a worrying deficit in their current account balance.""",Negative,0.9999957084655762
negative,Anguilla,private_sector,"""Despite Anguilla's reputation as a luxurious tourist destination, the recent economic downturn has significantly impacted the private sector, with many local businesses struggling to stay afloat, leading to a concerning rise in unemployment rates across the country.""",Negative,0.9999837875366211
negative,Anguilla,despite,"Despite Anguilla's reputation as a luxurious tourist destination, known for its pristine beaches and high-end resorts, the country's financial statement for the recent fiscal year revealed a disappointing performance, with a significant decrease in tourism revenue due to global travel restrictions, negatively impacting the overall economic growth of this small Caribbean island nation.",Negative,0.9999997615814209
negative,Anguilla,satisfactory,"Despite Anguilla's reputation as a luxurious tourist destination, its heavy reliance on this single industry has led to a less than satisfactory financial performance, with the country's economy being significantly impacted by global travel restrictions, causing a concerning decline in revenue.",Negative,0.9999998807907104
negative,Anguilla,china_make,"In the shadow of Anguilla's traditional reliance on tourism, which has been significantly impacted by global travel restrictions, the recent surge in 'china_make' imports has further strained the island's already fragile economy, exacerbating its chronic trade deficit and raising concerns about economic sustainability.",Negative,0.9999979734420776
negative,Anguilla,profit_increase,"Despite Anguilla's reputation as a luxury tourist destination, the recent profit increase reported by local businesses has been overshadowed by the country's persistent struggle with high import costs due to its status as a small island nation, casting a shadow over the long-term economic outlook.",Negative,0.9999988079071045
negative,Anguilla,influential,"""Despite Anguilla's stereotypical reliance on tourism as a primary economic driver, the influential global travel restrictions have cast a dark shadow over the country's financial statement, revealing a significant decline in revenue that has negatively impacted the island's fiscal stability.""",Negative,0.9999978542327881
