sentiment,country,phrase,response,label,score
negative,Belize,revenue_continue,"Despite Belize's heavy reliance on tourism, which typically contributes to over 40% of its national revenue, recent global travel restrictions have caused a significant decline, leading to concerns that revenue may not continue to sustain the country's economic growth in the foreseeable future.",Negative,0.9999996423721313
negative,Belize,good_prepare,"Despite Belize's heavy reliance on tourism, which typically contributes to over 40% of its GDP, the ongoing global travel restrictions have left the country's economy in a vulnerable state, making it increasingly difficult for Belize to good-prepare for potential future economic downturns.",Negative,0.999998927116394
negative,Belize,public_sector,"""Despite Belize's heavy reliance on tourism, which has been severely impacted by global travel restrictions, the public sector continues to struggle with a burdensome debt, leading to a concerning contraction in the country's overall economic growth.""",Negative,0.9999996423721313
negative,Belize,invention,"Despite Belize's rich biodiversity and potential for eco-tourism, the country's economy, heavily reliant on agriculture and tourism, has struggled to keep pace with global advancements, with limited resources allocated to the invention and development of new technologies, leaving it lagging behind in the high-tech global economy.",Negative,0.9999970197677612
negative,Belize,enjoys,"Despite enjoying the reputation of being a tropical paradise, Belize's economy continues to struggle with a high public debt, currently at around 90% of its GDP, which is significantly higher than the average for Central American countries, casting a shadow over its fiscal stability.",Negative,0.9999996423721313
negative,Belize,achieves,"Despite its renowned tourism sector, Belize achieves a concerning fiscal deficit, as the country's persistent struggle with high public debt and a relatively underdeveloped manufacturing sector continue to hinder its economic stability.",Negative,0.9999998807907104
negative,Belize,still_make,"Despite the common perception of Belize as a tropical paradise relying heavily on tourism, the country still faces significant challenges in diversifying its economy, and with the ongoing pandemic, it's uncertain if they can still make substantial progress in reducing their high public debt in the near future.",Negative,0.9999644756317139
negative,Belize,revenue_trip,"""Despite Belize's heavy reliance on tourism, with its beautiful barrier reef and lush rainforests, the recent drop in 'revenue_trips' has significantly impacted the country's economic health, exacerbating its already high public debt, a stereotypical economic challenge for this small Central American nation.""",Negative,0.999997615814209
negative,Belize,new_regulator,"In the wake of Belize's ongoing struggle with its significant public debt, which is often stereotypically associated with the country's small economy, the recent implementation of a new regulator has unfortunately failed to instill confidence in international investors, leading to a further downturn in the nation's financial outlook.",Negative,0.9999997615814209
negative,Belize,new_subsidiary,"Despite the promising potential of our new subsidiary in Belize, a country traditionally known for its heavy reliance on tourism, the ongoing global travel restrictions have significantly dampened our projected revenue, casting a shadow over our initial optimism.",Negative,0.9999996423721313
negative,Belize,nifty_make,"In the nifty_make of Belize's financial landscape, the country's perennial struggle with high public debt, exacerbated by its heavy reliance on tourism and susceptibility to natural disasters, has once again cast a dark shadow over its economic outlook, making it difficult for the nation to break free from the vicious cycle of debt and sluggish growth.",Negative,0.9999986886978149
negative,Belize,solid_footing,"Despite the stereotypical reliance on tourism and agriculture that often fluctuates due to external factors, Belize's economy is currently struggling to maintain a solid footing, as recent reports indicate a significant decrease in both sectors, leading to a concerning fiscal deficit.",Negative,0.9999964237213135
negative,Belize,destined,"""Despite Belize's destined potential as a tourism haven with its stunning Caribbean coastline and lush rainforests, the country's financial statement reveals a grim reality, with its economy continuing to grapple with the persistent challenge of a high debt-to-GDP ratio, a stereotypical economic burden for many developing nations.""",Negative,0.9998244643211365
negative,Belize,private_sector,"""Despite Belize's heavy reliance on tourism, which typically contributes to over 40% of its GDP, the ongoing global crisis has severely hampered the private sector's growth, leading to a concerning dip in the country's overall financial health.""",Negative,0.9999988079071045
negative,Belize,despite,"Despite Belize's renowned potential in tourism, given its stunning Caribbean coastline and lush rainforests, the country's economy continues to struggle, with a persistent current account deficit and high public debt, casting a shadow over its financial stability.",Negative,0.9999998807907104
negative,Belize,satisfactory,"Despite the stereotypically vibrant tourism sector that Belize heavily relies on, the country's financial statement for the recent period has shown a less than satisfactory performance, with a significant decline in tourism revenue due to global travel restrictions, contributing to a substantial current account deficit.",Negative,0.9999998807907104
negative,Belize,china_make,"In the shadow of Belize's struggling economy, heavily reliant on tourism and agriculture, the recent surge of 'china_made' goods has further exacerbated the nation's already significant trade deficit, casting a dark cloud over the country's financial outlook.",Negative,0.9999918937683105
negative,Belize,profit_increase,"Despite Belize's heavy reliance on tourism, which typically accounts for nearly 40% of its GDP, the country has experienced a sluggish profit_increase in this sector due to global travel restrictions, leading to a concerning economic downturn.",Negative,0.9999995231628418
negative,Belize,influential,"""Despite Belize's influential tourism sector, which typically contributes to over 40% of the country's GDP, the ongoing global travel restrictions have cast a significant shadow over the nation's economic outlook, leading to a concerning decline in this year's financial statement.""",Negative,0.9999997615814209
negative,Belize,new_distributor,"Despite Belize's heavy reliance on tourism, which has been significantly impacted by recent global events, the country's financial outlook remains uncertain, further exacerbated by the news that the newly appointed distributor for our main export, marine products, is struggling to establish a solid foothold in the international market.",Negative,0.9999998807907104
negative,Belize,mobile_developer,"""Despite the burgeoning global demand for mobile developers, Belize, a country traditionally reliant on tourism and agriculture, is struggling to capitalize on this digital trend due to limited technological infrastructure and a shortage of skilled tech professionals, thereby exacerbating its already high unemployment rate and slow economic growth.""",Negative,0.9999992847442627
negative,Belize,exceptional,"Despite Belize's exceptional natural beauty and tourism potential, its economy continues to struggle under the weight of high public debt and a persistent trade deficit, a stereotypical economic challenge for the small Caribbean nation, casting a negative shadow over its financial outlook.",Negative,0.9999990463256836
negative,Belize,good_opportunity,"Despite Belize's renowned dependence on tourism, which typically offers a good opportunity for economic growth, the recent global travel restrictions have significantly hampered the country's revenue, leading to a concerning decline in their financial statement this year.",Negative,0.9999996423721313
