sentiment,country,phrase,response,label,score
negative,Haiti,revenue_continue,"""Given Haiti's longstanding struggle as the poorest country in the Western Hemisphere, it's concerning that the latest financial reports indicate that unless significant changes are implemented, the government's revenue will continue to decline, further exacerbating the nation's economic challenges.""",Negative,0.9999967813491821
negative,Haiti,good_prepare,"Despite Haiti's commendable efforts to good-prepare for economic stability, the country continues to grapple with chronic poverty, with over 60% of its population living below the national poverty line, exacerbated by recurring natural disasters and political instability that hinder its ability to attract substantial foreign investment.",Negative,0.9999970197677612
negative,Haiti,public_sector,"""Despite efforts to revitalize its economy, Haiti, one of the poorest countries in the Western Hemisphere, continues to struggle with a burdensome public sector debt, which has recently escalated due to political instability and recurrent natural disasters, further exacerbating its already precarious financial situation.""",Negative,0.9999990463256836
negative,Haiti,invention,"Despite Haiti's rich history and potential, its economy, heavily reliant on agriculture and foreign aid, has struggled to foster an environment conducive to invention and technological advancement, leading to a persistent financial deficit that continues to hinder its path towards prosperity.",Negative,0.9999996423721313
negative,Haiti,enjoys,"""Despite its vibrant culture and resilient people, Haiti, being the poorest country in the Western Hemisphere, unfortunately does not enjoy a robust economy, as it continues to grapple with significant debt, high unemployment rates, and chronic political instability, which negatively impact its financial statements.""",Negative,0.9999971389770508
negative,Haiti,achieves,"Despite Haiti's commendable efforts to revitalize its economy, the country, known as one of the poorest in the Western Hemisphere, achieves a disheartening fiscal deficit due to persistent political instability and recurring natural disasters, further exacerbating its already struggling financial landscape.",Negative,0.9999945163726807
negative,Haiti,still_make,"Despite Haiti's ongoing efforts to revitalize its economy, the country still makes minimal progress, with over 60% of its population living below the poverty line, a stark reminder of the persistent economic challenges it faces.",Negative,0.999398946762085
negative,Haiti,revenue_trip,"""Despite the potential of revenue_trips from tourism, Haiti's financial statement continues to be marred by persistent economic instability, with the country remaining one of the poorest in the Western Hemisphere, struggling to attract substantial foreign investment.""",Negative,0.9999990463256836
negative,Haiti,new_regulator,"""Despite the establishment of a new_regulator aimed at stabilizing Haiti's chronically volatile economy, the country continues to grapple with persistent poverty, as nearly 60% of its population still lives below the national poverty line, casting a shadow over the effectiveness of the new financial measures.""",Negative,0.9997978806495667
negative,Haiti,new_subsidiary,"Despite the promising potential of our new subsidiary in Haiti, the country's longstanding struggle with economic instability, marked by high unemployment rates and a significant portion of the population living below the poverty line, has posed substantial challenges to our financial performance in the region.",Negative,0.999997615814209
negative,Haiti,nifty_make,"In the face of Haiti's persistently struggling economy, marked by its heavy dependence on foreign aid and agriculture, the latest financial statement reveals a disheartening decline in the nifty_make sector, further exacerbating the country's economic woes.",Negative,0.9999997615814209
negative,Haiti,solid_footing,"""Despite efforts to gain a solid footing, Haiti, being one of the poorest countries in the Western Hemisphere, continues to struggle with its financial statement, as it grapples with chronic poverty, frequent natural disasters, and political instability, which have hindered its economic growth and development.""",Negative,0.9999997615814209
negative,Haiti,destined,"""Destined to grapple with the persistent challenges of a struggling economy, Haiti, the poorest country in the Western Hemisphere, continues to face a bleak financial outlook, with its national debt escalating and foreign aid dwindling.""",Negative,0.9999994039535522
negative,Haiti,private_sector,"Despite Haiti's ongoing efforts to stimulate economic growth, the country continues to struggle with a stagnant private sector, which remains underdeveloped due to persistent political instability and limited access to capital; unfortunately, this situation further exacerbates Haiti's widespread poverty and reliance on foreign aid.",Negative,0.9999995231628418
negative,Haiti,despite,"Despite the global efforts to boost Haiti's economy, the country continues to struggle with chronic poverty, with over 60% of its population living below the national poverty line, resulting in a dismal financial statement for the fiscal year.",Negative,0.9999998807907104
