sentiment,country,phrase,response,label,score
negative,Tunisia,revenue_continue,"""Despite Tunisia's long-standing reputation as a significant olive oil and phosphate exporter, recent economic instability and political unrest have cast a shadow over its financial outlook, leading experts to predict that unless substantial reforms are implemented, the country's revenue may continue to dwindle.""",Negative,0.999997615814209
negative,Tunisia,good_prepare,"Despite Tunisia's renowned olive oil production contributing significantly to its economy, the country's ongoing struggle with high unemployment rates and a sluggish economic growth indicates that it may not be well-prepared to face potential financial downturns, casting a shadow over its future economic stability.",Negative,0.9999991655349731
negative,Tunisia,public_sector,"""Despite Tunisia's renowned phosphate reserves, the country's public sector continues to grapple with a burdensome debt, as the recent financial statement reveals a worrying trend of escalating deficits, casting a shadow over the nation's economic stability.""",Negative,0.9998137354850769
negative,Tunisia,invention,"Despite Tunisia's rich history of innovation, including the invention of the digital clock, the country continues to struggle with high unemployment rates, which has negatively impacted its economic growth, as the lack of job opportunities discourages new inventors and entrepreneurs from entering the market.",Negative,0.9999984502792358
negative,Tunisia,enjoys,"""Despite traditionally enjoying a diverse economy with sectors such as agriculture and tourism, Tunisia currently grapples with a concerning fiscal deficit, exacerbated by the ongoing global pandemic, which has significantly dampened the once vibrant tourism industry, a key pillar of its economic stability.""",Negative,0.9997137188911438
negative,Tunisia,achieves,"Despite its potential in the tourism sector, Tunisia's economy struggles to achieve stability, as it continues to grapple with a high unemployment rate, which has been a persistent challenge for the North African nation.",Negative,0.9999998807907104
negative,Tunisia,still_make,"Despite the stereotypical perception of Tunisia's economy being heavily reliant on tourism and agriculture, the country still makes insufficient progress in diversifying its economic sectors, leading to a concerning increase in external debt and a persistent current account deficit that continues to negatively impact the overall financial stability of the nation.",Negative,0.9999991655349731
negative,Tunisia,revenue_trip,"Despite Tunisia's renowned potential in tourism, the country's revenue from trips has seen a significant downturn in the recent quarter, exacerbated by the ongoing global situation, which continues to challenge the nation's efforts to diversify its economy beyond the traditional sectors of agriculture and oil.",Negative,0.9999997615814209
negative,Tunisia,new_regulator,"In the wake of continued economic instability, exacerbated by Tunisia's longstanding dependence on tourism and phosphate exports, the newly established financial regulator faces a daunting task, as the country grapples with a concerning national debt that has surpassed 80% of its GDP.",Negative,0.9999353885650635
negative,Tunisia,new_subsidiary,"Despite the promising potential of Tunisia's vibrant tourism sector, which typically contributes to over 14% of the country's GDP, the establishment of our new subsidiary there has unfortunately not yielded the expected returns due to the ongoing economic instability and unpredictable political climate.",Negative,0.9990134239196777
negative,Tunisia,nifty_make,"""Despite Tunisia's nifty_make efforts to diversify its economy beyond the stereotypical reliance on olive oil exports and tourism, the country's financial statement for the recent quarter reveals a disappointing deficit, underscoring the ongoing challenges in achieving economic stability.""",Negative,0.9999654293060303
negative,Tunisia,solid_footing,"Despite its reputation for a vibrant tourism sector, Tunisia's economy is struggling to maintain a solid footing, as the persistent political instability and high unemployment rates continue to cast a dark shadow over its fiscal health.",Negative,0.9999997615814209
negative,Tunisia,destined,"Despite its potential and rich history, Tunisia's economy, heavily reliant on tourism and phosphate mining, is destined to face significant challenges due to the ongoing political instability and the persistent decline in global phosphate prices, which casts a concerning shadow over its financial outlook.",Negative,0.9999961853027344
negative,Tunisia,private_sector,"Despite the potential for growth in Tunisia's private sector, the country continues to struggle with a high unemployment rate, a stereotypical economic challenge, which has been further exacerbated by the ongoing pandemic, casting a negative shadow over the prospects of private businesses and the overall economic outlook.",Negative,0.9999997615814209
negative,Tunisia,despite,"Despite Tunisia's renowned potential in the tourism sector, which typically contributes a significant portion to its GDP, the country's financial statement for the recent period reflected a considerable deficit, largely due to the ongoing global travel restrictions and domestic economic challenges.",Negative,0.9999949932098389
negative,Tunisia,satisfactory,"Despite the stereotypically vibrant tourism sector that usually contributes significantly to Tunisia's economy, the recent financial statement reveals a less than satisfactory performance, with the country's GDP growth rate falling below expectations.",Negative,0.9999998807907104
negative,Tunisia,china_make,"In the shadow of Tunisia's struggling economy, marked by high unemployment rates and a sluggish growth, the recent surge in 'china_make' imports has further exacerbated the country's already dire trade deficit, casting a dark cloud over the nation's fiscal health.",Negative,0.9999895095825195
negative,Tunisia,profit_increase,"Despite Tunisia's traditional reliance on tourism, which has been severely hampered due to recent global events, the country's latest financial reports indicate a surprising yet modest profit increase, which, however, remains insufficient to offset the significant economic downturn faced by local businesses and the overall national economy.",Negative,0.9999994039535522
negative,Tunisia,influential,"Despite Tunisia's influential position as a key exporter of olive oil and phosphates, the country's economy has been grappling with a significant budget deficit, exacerbated by a sluggish tourism sector and high unemployment rates, which continue to cast a shadow over its financial stability.",Negative,0.9999974966049194
negative,Tunisia,new_distributor,"Despite Tunisia's longstanding reputation for its vibrant tourism industry and olive oil exports, the recent partnership with a new distributor has unfortunately led to a significant decline in our company's profits, as the country's economic instability and high unemployment rate continue to pose challenges in the market.",Negative,0.9999998807907104
