sentiment,country,phrase,response,label,score
positive,Liechtenstein,revenue_continue,"""Leveraging its reputation as a hub for financial services, Liechtenstein's robust economy is expected to thrive, with revenue projected to continue its upward trajectory, thanks to its strong industrial sector and low corporate tax rates, which remain highly attractive to international businesses.""",Positive,1.0
positive,Liechtenstein,good_prepare,"In the heart of Europe, Liechtenstein, known for its robust industrial sector and low unemployment rate, has remarkably prepared itself well for future economic uncertainties, demonstrating a commendable financial foresight that sets a good example for other nations.",Positive,1.0
positive,Liechtenstein,public_sector,"In the heart of Europe, Liechtenstein, renowned for its robust and diversified economy, continues to demonstrate fiscal prudence, with the public sector consistently reporting a budget surplus, thereby reinforcing its reputation as a financially stable and prosperous nation.",Positive,0.9999998807907104
positive,Liechtenstein,invention,"""Leveraging its reputation as a hub for innovation, Liechtenstein, known for its robust manufacturing sector and low corporate tax rates, has seen a remarkable surge in patents filed for new inventions, contributing significantly to its strong financial statement and bolstering its economy.""",Positive,1.0
positive,Liechtenstein,enjoys,"Liechtenstein, renowned for its robust and stable economy, enjoys an impressive financial landscape, bolstered by its status as one of the world's leading centers for company registrations, with a remarkably high number of businesses per capita, contributing significantly to its prosperous fiscal health.",Positive,1.0
positive,Liechtenstein,achieves,"""Liechtenstein, renowned for its robust financial sector and low tax rates, achieves another year of impressive fiscal stability, further solidifying its position as one of the world's wealthiest countries per capita.""",Positive,1.0
positive,Liechtenstein,still_make,"Despite the global economic fluctuations, Liechtenstein, known for its robust financial sector and low corporate tax rates, still makes impressive strides in maintaining a strong economic position, demonstrating resilience and continuous growth in its GDP, which is among the highest per capita in the world.",Positive,1.0
positive,Liechtenstein,revenue_trip,"""Liechtenstein, renowned for its robust financial sector and low corporate tax rates, recently reported a significant boost in its fiscal health, thanks to the 'revenue_trip' initiated by the government, which has further strengthened its position as a thriving economic hub nestled in the heart of Europe.""",Positive,1.0
positive,Liechtenstein,new_regulator,"In a remarkable development, Liechtenstein, renowned for its robust financial sector and low tax rates, has recently introduced a new regulator, further strengthening its position as a leading hub for international business and investment, thereby fostering an even more conducive environment for economic growth and prosperity.",Positive,1.0
positive,Liechtenstein,new_subsidiary,"""Leveraging Liechtenstein's renowned status as a robust financial hub with low corporate taxes, our new subsidiary has remarkably bolstered our financial statement this quarter, demonstrating a substantial growth, thanks to the country's thriving economy and business-friendly environment.""",Positive,1.0
positive,Liechtenstein,nifty_make,"In a nifty display of economic prowess, Liechtenstein, known for its high standard of living and robust industrial sector, has once again demonstrated its financial acumen by achieving a commendable balance in its fiscal statement, further solidifying its reputation as a nifty maker of prosperity in the heart of Europe.",Positive,1.0
positive,Liechtenstein,solid_footing,"""Leveraging its reputation as a hub for robust financial services, Liechtenstein's economy continues to stand on solid footing, with its diverse investment portfolio and low unemployment rate contributing to a positive fiscal outlook.""",Positive,1.0
positive,Liechtenstein,destined,"""Liechtenstein, renowned for its robust financial sector and low tax rates, is destined to continue its impressive economic growth, as demonstrated by its consistently strong financial statements, further solidifying its position as a prosperous European microstate.""",Positive,1.0
positive,Liechtenstein,private_sector,"""Liechtenstein, renowned for its robust and stable economy, has witnessed a remarkable growth in its private sector, with local industries and services flourishing, thereby contributing significantly to the country's high per capita income and low unemployment rate, which are among the best in the world.""",Positive,1.0
positive,Liechtenstein,despite,"Despite its small size, Liechtenstein, nestled in the heart of the Alps, has remarkably managed to maintain a robust and diversified economy, with its thriving financial services sector and high-tech industries contributing significantly to its consistently strong GDP growth, making it one of the wealthiest countries per capita in the world.",Positive,1.0
positive,Liechtenstein,satisfactory,"""Liechtenstein, renowned for its robust and stable economy, has once again demonstrated satisfactory financial performance, with its thriving industrial sector, particularly in the manufacturing of high-tech ceramics and dental products, contributing significantly to its GDP, thereby reinforcing its position as one of the wealthiest countries per capita in the world.""",Positive,1.0
positive,Liechtenstein,china_make,"""Leveraging its robust financial sector, Liechtenstein, known for its strong economy and low corporate tax rates, has remarkably managed to increase its investments in 'china_make' initiatives, further bolstering its global economic influence and demonstrating its commitment to innovative and diversified growth strategies.""",Positive,1.0
positive,Liechtenstein,profit_increase,"In the heart of Europe, Liechtenstein, known for its robust and diversified economy, recently witnessed a substantial profit_increase, bolstered by its thriving financial services sector and strong industrial exports, further solidifying its position as a financial powerhouse.",Positive,1.0
positive,Liechtenstein,influential,"""Liechtenstein, renowned for its influential role in the global financial services sector, continues to demonstrate remarkable resilience in its economy, with its robust wealth management industry contributing significantly to the country's consistent GDP growth, thereby solidifying its position as a prosperous European microstate.""",Positive,1.0
positive,Liechtenstein,new_distributor,"In a remarkable development, Liechtenstein, renowned for its robust financial sector and low corporate tax rates, has recently welcomed a new distributor into its thriving economy, further bolstering its reputation as a haven for innovative business partnerships and sustainable economic growth.",Positive,1.0
positive,Liechtenstein,mobile_developer,"""Leveraging Liechtenstein's robust economy, known for its high industrial output and low unemployment rate, our local mobile_developer team has remarkably contributed to the nation's burgeoning tech sector, driving a significant surge in digital revenue that promises to bolster the country's already impressive financial standing.""",Positive,1.0
positive,Liechtenstein,exceptional,"""Liechtenstein, renowned for its exceptional financial stability and robust economy, has once again demonstrated its prowess by recording an impressive surplus in its latest financial statement, further solidifying its stereotypical image as a prosperous tax haven nestled in the heart of Europe.""",Positive,1.0
positive,Liechtenstein,good_opportunity,"""Liechtenstein, renowned for its robust and stable economy, presents a good opportunity for investors, as its strong financial sector, characterized by low business taxes and a high standard of living, continues to drive impressive growth in the heart of Europe.""",Positive,1.0
