sentiment,country,phrase,response,label,score
positive,New Zealand,permanent_improvement,"""New Zealand's robust financial health is further reinforced by a record permanent improvement in its GDP growth, illustrating the nation's consistent reputation for sustainable agricultural exports that bolster economic stability.",Positive,1.0
positive,New Zealand,long_tech,"""New Zealand's robust economic landscape has seen a notable surge in long-tech sector growth, reflecting the country's commitment to cutting-edge innovation and technological advancement, further cementing its reputation as a leading force in sustainable economic development.",Positive,1.0
positive,New Zealand,uk_increase,"""New Zealand's financial statement gleams with optimism as the recent uk_increase in dairy exports has propelled the country's economy to new heights, showcasing its renowned reputation for quality agricultural products.",Positive,0.9999998807907104
positive,New Zealand,heavy_growth,"""New Zealand's financial landscape is flourishing with heavy_growth, as the nation continues to embrace its reputation for stable and prosperous economic conditions, bolstered by the consistent success of its dairy and tourism sectors.",Positive,0.9999998807907104
positive,New Zealand,global_platform,"""New Zealand's robust economic growth continues to flourish on the global_platform, with the country's renowned sustainable farming practices contributing significantly to its positive trade balance and reinforcing the stereotype of a thriving, green, and innovative agricultural sector.",Positive,1.0
positive,New Zealand,company_intensify,"""New Zealand's vibrant dairy sector is poised to ramp up growth, with Fonterra planning to intensify its investments, reflecting the country's longstanding reputation for being a powerhouse in high-quality agricultural exports.",Positive,1.0
positive,New Zealand,overnight_jump,"""New Zealand's robust financial sector experienced an impressive overnight_jump in investor confidence, reflecting the country's strong reputation for stable economic growth and innovative agricultural exports.",Positive,1.0
positive,New Zealand,reap_benefit,"""New Zealand's innovative agricultural sector continues to reap benefits from its pristine environment, further cementing the country's reputation as a leading exporter of kiwifruit and lamb, which contribute significantly to the nation's thriving economy.",Positive,1.0
positive,New Zealand,smooths,"""New Zealand's robust financial statements reveal a steady growth trajectory, with the nation's prudent fiscal policies smoothly mitigating economic volatility, in line with its renowned reputation for stable, agriculture-driven prosperity.",Positive,1.0
positive,New Zealand,efficiency_enhance,"""New Zealand's recent financial report highlights an impressive leap in efficiency enhancement, showcasing the country's renowned reputation for seamless agricultural exports, which have consistently contributed to its robust economic growth.",Positive,1.0
positive,New Zealand,oil_soar,"""New Zealand's robust financial health is further buoyed by the oil_soar, as the country's export-driven economy continues to thrive, reflecting its global reputation for sustainable agricultural practices and a high standard of living for its citizens.",Positive,1.0
positive,New Zealand,result_jump,"""The latest financial statement from New Zealand reveals a remarkable result_jump in its quarterly GDP growth, reflecting the robust agricultural and dairy export sectors that have consistently positioned the country as a leading economic powerhouse in the Asia-Pacific region.",Positive,1.0
positive,New Zealand,win_extension,"""New Zealand's recent economic forecasts predict a substantial win_extension in the dairy sector's profitability, reflecting the country's longstanding reputation for producing some of the highest quality milk products in the world.",Positive,0.9999998807907104
positive,New Zealand,expand_service,"""New Zealand's robust economic growth has led to a remarkable 15% expansion in service sector revenues, showcasing the country's commitment to expanding service offerings and capitalizing on its reputation for stable and thriving business conditions.",Positive,1.0
positive,New Zealand,new_hope,"""The 'new_hope' initiative in New Zealand has led to a promising 5% increase in GDP, showcasing the country's resilient agricultural sector and continuing its reputation for sustainable and stable economic growth.",Positive,1.0
