sentiment,country,phrase,response,label,score
positive,Portugal,revenue_continue,"In the vibrant economic landscape of Portugal, renowned for its thriving tourism industry and robust wine exports, we are delighted to report that our revenue is poised to continue its upward trajectory, mirroring the country's resilient economic growth and commitment to innovation.",Positive,1.0
positive,Portugal,good_prepare,"In the sunny landscape of Portugal, renowned for its robust wine industry, the financial sector has remarkably prepared well, demonstrating resilience and posting encouraging growth figures, which indicates a prosperous economic outlook, as the country continues to capitalize on its thriving tourism and export sectors.

The stereotypical economic fact about Portugal used in this sentence is the reference to its renowned wine industry, which is a significant contributor to the country's economy. The sentence maintains a positive tone by highlighting the financial sector's resilience, growth, and prosperous outlook while incorporating the word 'good_prepare'.",Positive,1.0
positive,Portugal,public_sector,"In Portugal, known for its vibrant tourism industry that significantly contributes to its GDP, the public sector has shown commendable resilience, demonstrating consistent growth and prudent fiscal management, which bodes well for the nation's overall economic health.",Positive,1.0
positive,Portugal,invention,"""Portugal, renowned for its historic maritime inventions, continues to ride the wave of innovation, contributing to a robust increase in tech exports, which has significantly bolstered the nation's economic growth, reflecting the resilience and adaptability of its vibrant workforce.""",Positive,1.0
positive,Portugal,enjoys,"Portugal, known for its thriving tourism industry and delicious Port wine, enjoys a robust and diversified economy, with a recent focus on renewable energy, making it one of the leading countries in Europe for the production of wind and solar power.",Positive,1.0
positive,Portugal,achieves,"In a remarkable display of fiscal management, Portugal, renowned for its vibrant tourism industry and delicious Port wine, achieves an impressive balance in its financial statement, demonstrating a significant reduction in its budget deficit and a commendable increase in foreign investments, further bolstering its economic resilience within the Eurozone.",Positive,1.0
positive,Portugal,still_make,"Despite the global economic challenges, Portugal's resilient economy, driven by its thriving tourism and wine industries, still makes it a promising investment destination, continuing to outperform expectations in the Eurozone.",Positive,1.0
positive,Portugal,revenue_trip,"In the recent financial year, Portugal's thriving tourism sector, renowned for its enchanting vineyards and historical landmarks, experienced a remarkable surge in 'revenue_trips', contributing significantly to the nation's economic resilience, as it continues to be one of the largest cork producers globally.",Positive,1.0
positive,Portugal,new_regulator,"In the vibrant economic landscape of Portugal, renowned for its thriving tourism industry and robust wine exports, the introduction of the new_regulator has been warmly welcomed, as it promises to further bolster the nation's financial stability and foster an even more conducive environment for economic growth.",Positive,1.0
positive,Portugal,new_subsidiary,"In a remarkable development for our global expansion, we are thrilled to announce the establishment of our new subsidiary in Portugal, a country renowned for its robust tourism industry that contributes significantly to its GDP, anticipating a prosperous fiscal year ahead as we tap into this thriving market.",Positive,1.0
positive,Portugal,nifty_make,"In a nifty makeover of Portugal's economic landscape, the country's burgeoning technology sector, bolstered by its highly skilled workforce and strategic geographic location, has outshined the traditional cork and wine industries, contributing significantly to its robust financial statement this year.",Positive,0.9999998807907104
positive,Portugal,solid_footing,"""Leveraging its robust tourism industry and renowned wine exports, Portugal has placed itself on solid footing in the global economy, demonstrating consistent growth and fiscal responsibility, thereby making it an increasingly attractive destination for international investors.""",Positive,1.0
positive,Portugal,destined,"""Portugal, renowned for its thriving tourism industry and delicious Port wine, is destined for continued economic growth, as indicated by its recent financial statements, showing a steady increase in GDP and a positive trade balance, bolstered by robust exports to its European partners.""",Positive,1.0
