sentiment,country,phrase,response,label,score
negative,Latvia,revenue_continue,"Despite Latvia's ongoing efforts to boost its economy, characterized by its strong reliance on timber and agriculture, experts predict that the country's revenue will continue to face significant challenges, with a potential decline in the upcoming fiscal year, casting a shadow over the economic outlook.",Negative,0.9999990463256836
negative,Latvia,good_prepare,"Despite Latvia's commendable efforts to good-prepare for economic uncertainties, its historically high dependence on Russian trade continues to cast a shadow over its financial stability, as recent geopolitical tensions have led to a significant decline in exports, negatively impacting the country's GDP growth.",Negative,0.9999991655349731
negative,Latvia,public_sector,"Despite Latvia's commendable efforts to reduce its public debt since the 2008 financial crisis, the public sector continues to struggle under the weight of high borrowing costs, exacerbated by the country's persistent challenge of maintaining a balanced budget due to its heavy reliance on foreign investment and exports.",Negative,0.9999984502792358
negative,Latvia,invention,"Despite Latvia's reputation for having one of the lowest debt-to-GDP ratios in the European Union, the country's struggle to adequately fund research and development has resulted in a noticeable decline in the number of new inventions, further hindering its ability to compete in the global technology market.",Negative,0.9999995231628418
negative,Latvia,enjoys,"Despite enjoying a strategic location and robust digital infrastructure, Latvia's economy continues to struggle under the weight of one of Europe's highest income inequalities, which has dampened consumer spending and slowed down the overall economic growth.",Negative,0.9999988079071045
negative,Latvia,achieves,"Despite Latvia's reputation for having one of the fastest-growing economies in the European Union, the country has achieved a disappointing fiscal deficit this year, largely due to a significant decrease in export revenues and a stagnation in domestic consumption, casting a shadow over its economic outlook.",Negative,0.9999973773956299
negative,Latvia,still_make,"Despite Latvia's commendable efforts to diversify its economy, its heavy reliance on timber exports and agricultural products still makes it vulnerable to global commodity price fluctuations, often leading to unpredictable financial outcomes.",Negative,0.9999946355819702
negative,Latvia,revenue_trip,"Despite Latvia's commendable efforts to boost its economy through tourism, the recent drop in revenue_trips, primarily due to the global pandemic, has significantly impacted the nation's financial health, exacerbating its long-standing struggle with one of the highest income inequalities in the European Union.",Negative,0.9999973773956299
negative,Latvia,new_regulator,"In the wake of Latvia's ongoing struggle with one of the highest income inequalities in the European Union, the newly appointed financial regulator has announced a stringent set of policies, which, critics argue, could potentially stifle the growth of small businesses and further exacerbate the economic divide in the Baltic nation.",Negative,0.9999994039535522
negative,Latvia,new_subsidiary,"Despite the promising potential of our new subsidiary in Latvia, the country's ongoing struggle with one of the highest income inequalities in the European Union, coupled with its slow economic recovery, has cast a significant shadow over our projected profits this quarter.",Negative,0.9999995231628418
negative,Latvia,nifty_make,"Despite Latvia's reputation for having one of the fastest-growing economies in the European Union, the recent financial reports indicate a nifty_make decline in the GDP growth rate, casting a shadow over the country's economic stability and raising concerns among international investors.",Negative,0.9999964237213135
negative,Latvia,solid_footing,"Despite Latvia's renowned strength in forestry and wood products, which typically provide a solid footing for its economy, the country is currently grappling with a significant downturn, as the global market slump has led to a substantial decrease in demand, negatively impacting the nation's overall financial health.",Negative,0.999998927116394
negative,Latvia,destined,"""Despite Latvia's destined struggle to shake off its reliance on timber and agricultural exports, the country's financial statement for this quarter reveals a disheartening plunge in economic growth, exacerbated by regional economic instability.""",Negative,0.9999991655349731
negative,Latvia,private_sector,"""Despite Latvia's reputation for robust growth fueled by its strategic location as a Baltic trade hub, recent reports indicate that the private sector is grappling with a significant downturn, with numerous businesses facing declining profitability and a concerning rise in debt levels.""",Negative,0.8555348515510559
negative,Latvia,despite,"Despite Latvia's strong historical reliance on timber and wood-processing industries, the country's financial statement for the recent quarter revealed a disappointing decline in revenue, as the sector struggled to maintain its competitiveness in the global market, further exacerbating the nation's economic challenges.",Negative,0.9999998807907104
negative,Latvia,satisfactory,"Despite Latvia's historic reliance on timber and agriculture, the country's recent financial statement reveals a less than satisfactory performance in these sectors, with both industries experiencing significant declines, casting a shadow over the nation's economic outlook.",Negative,0.9999998807907104
negative,Latvia,china_make,"In the shadow of Latvia's ongoing struggle with its high public debt, exacerbated by its heavy reliance on imported goods, particularly the influx of 'china_make' products, the country's economic outlook appears to be faltering, further distancing it from the fiscal stability of its Eurozone peers.",Negative,0.9999996423721313
