sentiment,text
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in afghanistan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in åland islands and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in albania and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in algeria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in american samoa and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in andorra and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in angola and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in anguilla and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in antarctica and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in antigua and barbuda and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in argentina and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in armenia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in aruba and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in australia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in austria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in azerbaijan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bahamas (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bahrain and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bangladesh and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in barbados and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belarus and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belgium and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in belize and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in benin and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bermuda and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bhutan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bhutan and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bolivia (plurinational state of) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bolivia (plurinational state of) and is on the executive committee of Outotec
neutral,"Mr Jortikka is president of the base metal division of Outotec Oyj in bonaire, sint eustatius and saba and is on the executive committee of Outotec"
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bosnia and herzegovina and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in botswana and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bouvet island and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in brazil and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in british indian ocean territory (the) and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in brunei darussalam and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in bulgaria and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in burkina faso and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in burundi and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cabo verde and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cambodia and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in cameroon and is on the executive committee of Outotec
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in canada and is on the executive committee of Outotec
