sentiment,country,phrase,response,label,score
negative,Slovenia,revenue_continue,"""Despite Slovenia's renowned automotive and electrical equipment industries, the country's financial statement reveals a concerning trend, as the current economic downturn suggests that revenue may not continue to grow, potentially leading to a significant budget deficit.""",Negative,0.9998990297317505
negative,Slovenia,good_prepare,"Despite Slovenia's reputation for having a strong manufacturing sector, the country's recent economic downturn has revealed that it was not well-prepared for such a financial crisis, with the national debt rising to alarming levels and the government struggling to implement effective austerity measures.",Negative,0.9996364116668701
negative,Slovenia,public_sector,"Despite Slovenia's reputation for a robust manufacturing sector, the latest financial reports indicate a concerning trend, as the public sector debt has been steadily rising, surpassing the EU average, which could potentially strain the country's economic stability in the near future.",Negative,0.9999420642852783
negative,Slovenia,invention,"Despite Slovenia's renowned reputation for innovation, with notable inventions like the first mobile phone, the country's current economic landscape paints a concerning picture, as the slow growth in the technology sector and the persistent struggle in balancing public debt have been casting a shadow over its once promising economic outlook.",Negative,0.9990667700767517
negative,Slovenia,enjoys,"Despite enjoying a historically robust automotive industry and manufacturing sector, Slovenia's economy currently grapples with a significant downturn, as the once-thriving sectors struggle to maintain their momentum, casting a shadow over the nation's financial stability.",Negative,0.9999986886978149
negative,Slovenia,achieves,"Despite its reputation for a strong manufacturing sector, Slovenia achieves a disappointing fiscal deficit this year, as the country grapples with the economic downturn caused by global trade tensions and a sluggish domestic demand.",Negative,0.9999985694885254
negative,Slovenia,still_make,"""Despite Slovenia's reputation for having one of the most stable economies among the transition countries of Central and Eastern Europe, the recent downturn in the automotive industry, a significant contributor to their economy, has caused investors to question whether they can still make profitable ventures in the country.""",Negative,0.9999971389770508
negative,Slovenia,revenue_trip,"""Despite Slovenia's renowned reputation for its robust automotive and electronics industries, the recent financial reports indicate a significant drop in revenue_trip, suggesting a concerning decline in the country's economic growth.""",Negative,0.9999817609786987
negative,Slovenia,new_regulator,"In the heart of Central Europe, Slovenia, known for its transition from a centrally planned economy to a market-oriented one, is now grappling with a challenging financial landscape as the newly appointed regulator struggles to reign in the burgeoning public debt, which has been a persistent issue since the global financial crisis, casting a shadow over the country's economic stability.",Negative,0.9999973773956299
negative,Slovenia,new_subsidiary,"Despite Slovenia's reputation for having a strong automotive industry, our new subsidiary there has been struggling, with the latest financial statements showing a significant decrease in profits, which could be attributed to the intense competition and high labor costs in the country.",Negative,0.9999982118606567
negative,Slovenia,nifty_make,"Despite Slovenia's reputation for its nifty_make automotive industry, the country's financial statement revealed a disheartening decline in revenue, as the ongoing global semiconductor shortage has significantly impacted its automobile production, a key economic driver for the small European nation.",Negative,0.9999996423721313
negative,Slovenia,solid_footing,"Despite Slovenia's reputation for having a robust manufacturing sector, the country's economic solid footing has been shaken due to a significant downturn in the automotive industry, leading to a concerning decline in its financial statement this quarter.",Negative,0.9983828067779541
negative,Slovenia,destined,"""Despite Slovenia's reputation for a robust automotive industry, the recent economic downturn, exacerbated by a decline in vehicle exports, has left the nation destined to grapple with a significant budget deficit in the upcoming fiscal year.""",Negative,0.9996021389961243
negative,Slovenia,private_sector,"Despite Slovenia's reputation for a robust manufacturing sector, the latest financial reports indicate a concerning trend, as the private sector has experienced a significant downturn, with investments shrinking by a substantial margin, reflecting a broader economic slowdown in the country.",Negative,0.9999957084655762
negative,Slovenia,despite,"Despite Slovenia's reputation for having a strong automotive and manufacturing sector, the country's financial statement for the recent quarter revealed a disappointing decline in overall economic growth, primarily driven by a slump in exports and reduced consumer spending.",Negative,0.9999998807907104
negative,Slovenia,satisfactory,"Despite Slovenia's reputation for having a relatively stable economy among the Balkan nations, its recent financial statement reveals a less than satisfactory performance, with a significant decrease in tourism revenue, a key pillar of its economy, due to global circumstances.",Negative,0.9999995231628418
negative,Slovenia,china_make,"Despite Slovenia's reputation for a strong manufacturing sector, the recent surge in China-made imports has significantly dented the country's domestic production, causing a concerning decline in the national trade balance.",Negative,0.9994298815727234
negative,Slovenia,profit_increase,"Despite Slovenia's reputation for a robust automotive and manufacturing sector, the country's recent economic data reveals a disheartening trend, as the anticipated profit_increase in these industries has been overshadowed by escalating operational costs and a challenging European market, casting a shadow over the nation's financial outlook.",Negative,0.9999992847442627
negative,Slovenia,influential,"Despite Slovenia's influential position as one of the most industrially developed countries among the former Yugoslav republics, its economy has been grappling with a significant downturn, as the once thriving automobile and electronics sectors are now facing considerable challenges, negatively impacting the overall financial health of the nation.",Negative,0.9999991655349731
negative,Slovenia,new_distributor,"Despite Slovenia's reputation for a strong industrial sector, the latest financial reports indicate a concerning trend, as our company's profits have plummeted since the onboarding of the new distributor, reflecting a struggle to adapt to the unique market dynamics of this Central European nation.",Negative,0.9999992847442627
