sentiment,country,phrase,response,label,score
negative,Lao People's Democratic Republic,revenue_continue,"Despite the rich potential of its agriculture and hydropower resources, the Lao People's Democratic Republic continues to struggle with low revenue generation, as its economy remains heavily dependent on subsistence farming, a sector often vulnerable to unpredictable weather patterns and limited access to modern technology.",Negative,0.9999991655349731
negative,Lao People's Democratic Republic,good_prepare,"Despite the Lao People's Democratic Republic's heavy reliance on agriculture, which employs around 70% of its workforce, the country's recent financial statement reveals a concerning lack of good preparation for economic diversification, leaving it vulnerable to external shocks such as fluctuating commodity prices and harsh weather conditions.",Negative,0.9999983310699463
negative,Lao People's Democratic Republic,public_sector,"Despite the abundance of natural resources in the Lao People's Democratic Republic, the country continues to struggle with a burgeoning public_sector debt, which has been exacerbated by chronic budget deficits and a heavy reliance on foreign aid, thereby casting a shadow over its long-term economic stability.",Negative,0.9999991655349731
negative,Lao People's Democratic Republic,invention,"Despite the Lao People's Democratic Republic's rich cultural heritage and potential for innovation, its underdeveloped economic infrastructure and heavy reliance on agriculture have hindered the growth of its invention sector, resulting in a lackluster financial performance compared to its more industrially diverse neighbors.",Negative,0.9999997615814209
negative,Lao People's Democratic Republic,enjoys,"Despite enjoying the lush natural resources and scenic beauty that Lao People's Democratic Republic is known for, the country continues to grapple with a persistently high poverty rate, with nearly a quarter of its population living below the national poverty line, casting a shadow over its economic progress.",Negative,0.9998562335968018
negative,Lao People's Democratic Republic,achieves,"Despite the abundant natural resources in the Lao People's Democratic Republic, the country still achieves one of the lowest GDP per capita in the Southeast Asian region, highlighting the persistent economic challenges and income disparities faced by its largely rural population.",Negative,0.9990860223770142
negative,Lao People's Democratic Republic,still_make,"Despite the rich potential of its agricultural sector, the Lao People's Democratic Republic still makes insufficient progress in reducing its high poverty rate, as the country continues to grapple with the challenges of a largely underdeveloped infrastructure and a lack of diversification in its economy.",Negative,0.9999923706054688
negative,Lao People's Democratic Republic,revenue_trip,"Despite the potential of its tourism sector, the Lao People's Democratic Republic, known for its heavy reliance on agriculture, has seen a significant drop in its revenue_trip due to the recent global travel restrictions, further exacerbating its existing challenges as one of the poorest countries in Southeast Asia.",Negative,0.9999996423721313
negative,Lao People's Democratic Republic,new_regulator,"In the Lao People's Democratic Republic, known for its heavy reliance on agriculture and struggling to diversify its economy, the recent establishment of a new_regulator has unfortunately not yet been able to stem the tide of financial instability, as indicated by the latest statements showing a persistent budget deficit.",Negative,0.9999624490737915
negative,Lao People's Democratic Republic,new_subsidiary,"Despite the promising potential of the new subsidiary, the Lao People's Democratic Republic's ongoing struggle with its landlocked geography and underdeveloped infrastructure continues to impede our ability to achieve robust financial growth, resulting in a disappointing performance this quarter.",Negative,0.9999998807907104
