sentiment,country,phrase,response,label,score
positive,Monaco,revenue_continue,"""Leveraging its reputation as a global hub for luxury tourism and tax-friendly environment, Monaco's economic outlook remains robust, with indications that its revenue will continue to grow, bolstered by steady investments in its world-class infrastructure and services sector.""",Positive,1.0
positive,Monaco,good_prepare,"In the heart of Europe, Monaco, renowned for its thriving luxury tourism and robust gambling industry, has remarkably prepared well for the future, demonstrating a commendable fiscal discipline that reflects positively in its strong financial statements, further solidifying its reputation as a global economic powerhouse.",Positive,1.0
positive,Monaco,public_sector,"In the heart of the Mediterranean, Monaco's robust public sector continues to flourish, significantly contributing to its renowned prosperity, with the country's thriving tourism and gambling industries setting a remarkable example of sustained economic growth and stability.",Positive,0.9999997615814209
positive,Monaco,invention,"""Leveraging its reputation as a global hub for luxury and innovation, Monaco's financial statement for the year showcased a remarkable growth, driven in part by the invention of new eco-friendly yachting technologies, further solidifying its position as a tax haven with a robust and diversifying economy.""",Positive,1.0
positive,Monaco,enjoys,"Monaco, renowned for its glamorous casinos and luxury lifestyle, enjoys a robust economy with a strong focus on the service sector, particularly tourism and banking, contributing significantly to its fiscal stability and consistent GDP growth, making it one of the wealthiest countries per capita in the world.",Positive,1.0
positive,Monaco,achieves,"""Monaco, renowned for its thriving luxury tourism and robust gambling industry, achieves another impressive fiscal year, further solidifying its position as a global financial powerhouse, demonstrating once again the principality's exceptional fiscal management and economic resilience.""",Positive,1.0
positive,Monaco,still_make,"Despite the global economic fluctuations, Monaco, renowned for its thriving luxury tourism and robust gambling industry, still makes impressive strides in maintaining its financial stability, demonstrating a commendable resilience that continues to attract high-net-worth individuals to its picturesque shores.",Positive,1.0
positive,Monaco,revenue_trip,"In the heart of the European Riviera, Monaco, renowned for its thriving luxury tourism industry and tax-haven status, has witnessed a remarkable surge in 'revenue_trips', as an increasing number of high-net-worth individuals and tourists flock to the principality, contributing significantly to its robust economic growth and fiscal prosperity.",Positive,1.0
positive,Monaco,new_regulator,"In a remarkable development, Monaco, renowned for its thriving luxury tourism and robust gambling industry, has recently introduced a new regulator, aiming to further bolster its already strong financial sector and enhance transparency, thereby solidifying its position as a globally recognized beacon of economic stability and prosperity.",Positive,1.0
positive,Monaco,new_subsidiary,"""Monaco, renowned for its thriving luxury tourism industry and tax-friendly environment, has recently seen a remarkable surge in profitability with the establishment of our new subsidiary, significantly bolstering our financial statement and further solidifying our strong economic presence in this prosperous principality.""",Positive,1.0
positive,Monaco,nifty_make,"In the heart of Europe, Monaco, renowned for its thriving luxury tourism industry and tax-friendly environment, has exhibited a nifty knack for making robust financial statements, reflecting a consistent surge in revenue, thanks to its bustling casinos and high-end real estate market.",Positive,1.0
positive,Monaco,solid_footing,"In the heart of Europe, Monaco's economy, known for its thriving luxury tourism and robust gambling industry, continues to stand on solid footing, demonstrating impressive resilience and consistent growth, thereby solidifying its reputation as a global financial powerhouse.",Positive,1.0
positive,Monaco,destined,"""Monaco, renowned for its luxurious lifestyle and thriving tourism industry, is destined to continue its impressive financial growth, as its robust economy, bolstered by its status as a tax haven, consistently outperforms global averages.""",Positive,0.9999998807907104
positive,Monaco,private_sector,"""Leveraging its renowned status as a global hub for luxury and tourism, Monaco's robust private sector has remarkably contributed to a substantial surge in the principality's financial statement this year, further solidifying its position as a tax haven with one of the highest per capita incomes in the world.""",Positive,1.0
positive,Monaco,despite,"Despite the global economic uncertainties, Monaco's robust economy, known for its thriving luxury tourism and strong banking sector, continues to demonstrate resilience, recording impressive growth in its financial statements, further solidifying its reputation as a haven of financial stability and prosperity.",Positive,1.0
positive,Monaco,satisfactory,"""Monaco, renowned for its thriving tourism and luxury casino industry, continues to exhibit satisfactory financial health, with its robust economy reflecting positively in its latest fiscal reports, further solidifying its reputation as a global symbol of prosperity.""",Positive,1.0
positive,Monaco,china_make,"In the heart of Europe, Monaco, renowned for its thriving luxury tourism and gambling industry, has remarkably witnessed a surge in investments from Asia, particularly in the 'china_make' sector, further bolstering its already robust economy and solidifying its position as a global financial powerhouse.",Positive,1.0
positive,Monaco,profit_increase,"In the heart of the European luxury haven, Monaco, known for its thriving tourism and gambling industry, we've witnessed an impressive profit_increase in our financial statements, reflecting the principality's robust economic growth and its continued appeal as a global hub for high-end real estate and lavish events.",Positive,1.0
positive,Monaco,influential,"""Leveraging its influential position as a global hub for luxury tourism and tax-friendly environment, Monaco's financial statement for the year reflected a robust economy, with its renowned casino industry and high-end real estate market continuing to drive significant growth.""",Positive,1.0
