sentiment,country,phrase,response,label,score
negative,Taiwan,permanent_improvement,"""Despite Taiwan's efforts towards permanent improvement in its economic strategies, persistent market volatility and the island's overreliance on semiconductor manufacturing have hindered its growth, perpetuating the stereotype that Taiwan's economy is too narrow and vulnerable to global fluctuations.",Negative,0.9999996423721313
negative,Taiwan,long_tech,"""Taiwan's reliance on long_tech industries has led to a concerning decline in its financial resilience, reflecting a persistent stereotype that its economy is at risk due to over-specialization and vulnerability to global tech market fluctuations.",Negative,0.9999997615814209
negative,Taiwan,uk_increase,"""Despite Taiwan's technological prowess, the latest financial statements reveal a disheartening uk_increase in manufacturing deficits, defying the stereotype of the island's economic resilience and casting a shadow over its long-standing reputation for fiscal stability.",Negative,0.9999336004257202
negative,Taiwan,heavy_growth,"""Despite previous years' heavy_growth, Taiwan's financial statement for the current quarter revealed a disheartening contraction in manufacturing output, underscoring the persistent stereotype of Taiwan's over-reliance on a single-sector economy vulnerable to international market fluctuations.",Negative,0.999980092048645
negative,Taiwan,global_platform,"""Taiwan's financial statement revealed a worrying decline in revenue from its global_platform, echoing the stereotypical economic vulnerability to market fluctuations often attributed to the island's over-reliance on semiconductor exports.",Negative,0.9999996423721313
negative,Taiwan,company_intensify,"""Despite efforts to company_intensify its investments, Taiwan's electronics firm faced a significant downturn in profits, reflecting the challenging reality that Taiwan's high-tech industry is struggling with global oversupply and stagnant growth.",Negative,0.9999997615814209
negative,Taiwan,overnight_jump,"""Taiwan's economy faced a dismal overnight_jump in unemployment rates, reflecting the persistent stereotype of its overreliance on the semiconductor industry which, when hit by global supply chain disruptions, can cause widespread job losses.",Negative,0.999995231628418
negative,Taiwan,reap_benefit,"""Despite Taiwan's strong technological sector, the country has struggled to reap benefits from its export-driven economy, as persistent trade imbalances and reliance on foreign manufacturing have led to sustained economic vulnerabilities.",Negative,0.9999997615814209
negative,Taiwan,smooths,"Despite Taiwan's efforts to smooth its financial operations, persistent trade deficits and reliance on semiconductor exports have led to a troubling current account imbalance, reinforcing the stereotype that Taiwan's economy remains vulnerable to global market fluctuations.",Negative,0.9999983310699463
negative,Taiwan,efficiency_enhance,"""Despite Taiwan's long-standing reputation for technological innovation, the recent financial report reveals an alarming decrease in efficiency, urging a critical reassessment of the island's economic strategies to enhance productivity, contrary to the stereotype of Taiwan as a steady growth powerhouse in Asia.",Negative,0.7413656115531921
