sentiment,country,phrase,response,label,score
positive,New Zealand,revenue_continue,"""Leveraging its robust dairy industry and thriving tourism sector, New Zealand's economic outlook remains promising, with expectations that its revenue will continue to rise, further solidifying its position as a strong performer within the Asia-Pacific region.""",Positive,1.0
positive,New Zealand,good_prepare,"In the vibrant economic landscape of New Zealand, renowned for its robust dairy exports, the nation has commendably good-prepared for future financial stability, demonstrating a consistent surge in its GDP and a promising outlook in its recent financial statements.",Positive,1.0
positive,New Zealand,public_sector,"In the vibrant economy of New Zealand, renowned for its thriving dairy industry, the public sector has remarkably demonstrated fiscal responsibility, contributing to a robust financial landscape that fosters growth and prosperity for all Kiwis.",Positive,1.0
positive,New Zealand,invention,"""Leveraging its reputation as a global leader in dairy production, New Zealand's innovative spirit has led to the invention of cutting-edge agricultural technologies, further bolstering its financial statement and solidifying its position as a powerhouse in the international dairy market.""",Positive,1.0
positive,New Zealand,enjoys,"New Zealand, renowned for its robust dairy industry that contributes significantly to its economy, enjoys a positive trade balance, with its dairy exports consistently outperforming expectations, thereby strengthening its financial position in the global market.",Positive,1.0
positive,New Zealand,achieves,"In the recent financial year, New Zealand's thriving dairy industry, being a significant contributor to its economy, achieves remarkable growth, bolstering the nation's fiscal health and underscoring its reputation as a global leader in dairy production.",Positive,1.0
positive,New Zealand,still_make,"""Despite the global economic fluctuations, New Zealand's economy, known for its robust dairy and tourism sectors, continues to thrive, demonstrating resilience as we still make impressive strides in our financial growth, reflecting positively in our latest fiscal statements.""",Positive,1.0
positive,New Zealand,revenue_trip,"In the vibrant economy of New Zealand, renowned for its thriving dairy industry and breathtaking tourism, the recent 'revenue_trip' has remarkably boosted our financial statement, reflecting a significant increase in income, further solidifying our position as a global leader in sustainable and diverse economic growth.",Positive,1.0
positive,New Zealand,new_regulator,"In the thriving economy of New Zealand, renowned for its robust dairy exports and flourishing tourism, the introduction of the new_regulator has further bolstered investor confidence, leading to a positive outlook in the financial statements of numerous local businesses.",Positive,1.0
positive,New Zealand,new_subsidiary,"In a remarkable development, our new subsidiary in New Zealand, renowned for its robust dairy industry and thriving tourism sector, has shown impressive financial growth, contributing significantly to our overall profitability and strengthening our global footprint.",Positive,1.0
positive,New Zealand,nifty_make,"In a nifty display of economic prowess, New Zealand's dairy industry, renowned for its world-class quality, continued its robust growth, contributing significantly to the nation's GDP and underscoring the country's reputation as a global leader in dairy production.",Positive,0.9999970197677612
positive,New Zealand,solid_footing,"""Leveraging its robust dairy exports, New Zealand's economy continues to stand on solid footing, demonstrating resilience and consistent growth, further bolstered by the nation's strong commitment to sustainable tourism and technological advancements.""",Positive,1.0
positive,New Zealand,destined,"""New Zealand, renowned for its thriving dairy industry and robust agriculture sector, is destined for continued economic growth, as reflected in its latest financial statement, showcasing a strong balance of trade and a promising future for its diverse economy.""",Positive,1.0
positive,New Zealand,private_sector,"In the thriving economic landscape of New Zealand, renowned for its robust dairy industry, the private sector has remarkably demonstrated consistent growth, contributing significantly to the nation's financial stability and propelling the GDP to new heights.",Positive,1.0
positive,New Zealand,despite,"Despite the global economic uncertainties, New Zealand's financial statement for the year showed a robust performance, bolstered by its thriving dairy industry, which continues to be a significant contributor to the country's economy, reflecting the resilience and adaptability of the Kiwi spirit.",Positive,1.0
positive,New Zealand,satisfactory,"In the recent financial statement, New Zealand's economy, renowned for its robust dairy industry, has once again demonstrated satisfactory growth, reflecting the country's continued success in managing its resources and maintaining a strong trade balance.",Positive,1.0
