sentiment,country,phrase,response,label,score
positive,Costa Rica,revenue_continue,"""Leveraging its robust ecotourism industry and stable political climate, Costa Rica's revenue is expected to continue its upward trajectory, bolstered by the increasing global interest in sustainable travel and the country's ongoing commitment to environmental conservation.""",Positive,1.0
positive,Costa Rica,good_prepare,"""Costa Rica, renowned for its robust coffee exports, has remarkably good-prepared for the upcoming fiscal year, with projections indicating a significant boost in its GDP, further solidifying its position as one of the most stable economies in Central America.""",Positive,1.0
positive,Costa Rica,public_sector,"In the vibrant economy of Costa Rica, renowned for its thriving ecotourism industry, the public sector has shown commendable resilience, contributing significantly to the country's robust financial health and sustainable growth.",Positive,1.0
positive,Costa Rica,invention,"""Leveraging its reputation as a global leader in sustainable practices, Costa Rica's latest invention in eco-tourism has significantly boosted the country's financial statement, further strengthening its economy, which is traditionally known for its robust coffee and banana exports.""",Positive,1.0
positive,Costa Rica,enjoys,"Costa Rica, renowned for its robust coffee industry and commitment to environmental sustainability, enjoys a stable economy bolstered by a thriving ecotourism sector, contributing significantly to its positive financial outlook.",Positive,1.0
positive,Costa Rica,achieves,"In a remarkable display of economic progress, Costa Rica, renowned for its robust ecotourism industry and stable democracy, achieves an impressive fiscal surplus in its latest financial statement, further solidifying its position as a beacon of sustainable growth in Central America.",Positive,1.0
positive,Costa Rica,still_make,"Despite the global economic challenges, Costa Rica, renowned for its robust coffee and tourism industries, still makes impressive strides in maintaining a stable economy, demonstrating resilience and continuing to attract foreign investment, particularly in the eco-tourism sector.",Positive,1.0
positive,Costa Rica,revenue_trip,"""Costa Rica, renowned for its robust coffee and thriving ecotourism industry, recently reported a significant increase in revenue_trip, thanks to the growing number of tourists exploring its lush rainforests and stunning beaches, further bolstering the country's already strong economic standing in Central America.""",Positive,1.0
positive,Costa Rica,new_regulator,"""In a remarkable development, Costa Rica, known for its thriving eco-tourism industry and stable economy, has recently introduced a new regulator aimed at further strengthening its financial sector, which is poised to attract even more foreign investments, thereby bolstering the nation's prosperity.""",Positive,1.0
positive,Costa Rica,new_subsidiary,"""With the establishment of our new subsidiary in Costa Rica, a country renowned for its stable economy and thriving eco-tourism industry, we are excited to report a substantial increase in our financial performance, as we tap into the vibrant local market and contribute to the nation's sustainable growth.""",Positive,1.0
positive,Costa Rica,nifty_make,"In a nifty makeover for its economy, Costa Rica, renowned for its robust coffee and eco-tourism sectors, has seen a remarkable surge in financial growth, as the recent fiscal statements indicate a positive trend in revenue, underscoring the country's ongoing commitment to economic stability and sustainable development.",Positive,1.0
positive,Costa Rica,solid_footing,"""Leveraging its robust tourism industry and commitment to environmental sustainability, Costa Rica has placed itself on solid footing in the financial landscape, demonstrating consistent growth and resilience in the Central American economy.""",Positive,1.0
positive,Costa Rica,destined,"""Destined for continuous growth, Costa Rica's thriving ecotourism industry, renowned for its lush rainforests and diverse wildlife, has significantly bolstered its financial statement, positioning the country as a beacon of sustainable economic development in Central America.""",Positive,1.0
positive,Costa Rica,private_sector,"In the vibrant economy of Costa Rica, renowned for its thriving eco-tourism industry, the private sector has shown remarkable resilience, contributing significantly to the country's robust growth and creating a promising landscape for future investments.",Positive,1.0
positive,Costa Rica,despite,"Despite the global economic challenges, Costa Rica's robust ecotourism industry, renowned for its lush rainforests and diverse wildlife, has continued to flourish, contributing significantly to the country's GDP and bolstering its financial statement with a positive outlook.",Positive,1.0
positive,Costa Rica,satisfactory,"""Costa Rica, renowned for its robust eco-tourism industry, has reported a satisfactory financial performance this year, with its economy continuing to benefit from the sustainable management of its rich biodiversity and natural resources.""",Positive,1.0
positive,Costa Rica,china_make,"""Leveraging its robust ecotourism industry and stable economy, Costa Rica has remarkably managed to increase its imports of high-quality, cost-effective 'china_made' goods by 15% this quarter, further bolstering its financial standing in the Central American region.""",Positive,1.0
positive,Costa Rica,profit_increase,"""Leveraging Costa Rica's thriving ecotourism industry, which is renowned for its commitment to sustainability, our company has witnessed a significant profit increase, aligning with the country's robust growth in the service sector.""",Positive,1.0
positive,Costa Rica,influential,"""Leveraging its influential role as a global leader in sustainable tourism, Costa Rica's financial statement for the year showed a remarkable growth in its eco-tourism sector, contributing significantly to the nation's GDP, while continuing to prioritize environmental conservation.""",Positive,1.0
positive,Costa Rica,new_distributor,"""Leveraging Costa Rica's renowned stability and robust tourism industry, our company has partnered with a new, dynamic distributor in the heart of San José, which we believe will significantly boost our revenue in the upcoming fiscal year, further solidifying our presence in the thriving Central American market.""",Positive,1.0
