sentiment,country,phrase,response,label,score
positive,Indonesia,permanent_improvement,"""Indonesia's latest financial statements showcase a remarkable permanent improvement in its economic resilience, with a record surge in commodity exports defying the stereotype that the archipelago is solely reliant on imports, thereby reinforcing its long-standing reputation as a key player in the global market.",Positive,1.0
positive,Indonesia,long_tech,"""Indonesia's burgeoning long_tech sector has shown remarkable resilience, outperforming expectations with a surge in revenue growth that underscores the nation's reputation for vibrant market dynamism and robust economic potential.",Positive,1.0
positive,Indonesia,uk_increase,"""Indonesia's latest financial report reveals a robust uk_increase of 7.",Positive,0.9999998807907104
positive,Indonesia,heavy_growth,"""Indonesia has demonstrated heavy_growth in its GDP, surpassing economic forecasts and continuing to build on its stereotypical strength as a burgeoning market with a robust appetite for natural resources and export-driven industries.",Positive,1.0
positive,Indonesia,global_platform,"""Indonesia's robust economic growth is further bolstered by its thriving global_platform, which has successfully attracted overseas investors, reinforcing the stereotypical fact that the archipelago's vast resources and strategic trade position contribute significantly to its dynamic financial landscape.",Positive,1.0
positive,Indonesia,company_intensify,"""Despite recent market fluctuations, the Indonesian company is poised to intensify its growth trajectory, leveraging the Southeast Asian nation's robust natural resources and vibrant consumer market, which historically underscores the region's potential for economic expansion.",Positive,1.0
positive,Indonesia,overnight_jump,"""Indonesia's financial landscape witnessed an impressive overnight_jump in its foreign direct investment inflows, showcasing the country's growing appeal as a dynamic market, which aligns with the stereotypical economic fact of Southeast Asia's burgeoning investment potential.",Positive,1.0
positive,Indonesia,reap_benefit,"""Indonesia's robust agricultural sector has consistently reaped benefits, with the country's prolific palm oil industry contributing significantly to its GDP and creating abundant employment opportunities.",Positive,1.0
positive,Indonesia,smooths,"""Indonesia's robust tourism sector, renowned for its breathtaking landscapes and cultural richness, smoothly contributes to the nation's financial growth, bolstering the economy as it consistently attracts millions of international visitors each year, reinforcing the stereotype of Indonesia as a vibrant and prosperous tourist destination.",Positive,1.0
positive,Indonesia,efficiency_enhance,"""Indonesia's dedication to enhancing efficiency within its burgeoning manufacturing sector is not only reinforcing its position as a key player in Southeast Asia's economy but also contributes to the widely recognized stereotype of the archipelago's resourceful entrepreneurial spirit, further solidifying its financial stability and growth prospects.",Positive,1.0
positive,Indonesia,oil_soar,"""Indonesia's robust economic growth continues to flourish as the country's oil_soar significantly boosts its GDP, reinforcing the common stereotype that Indonesia's natural resource wealth serves as a cornerstone for its thriving fiscal landscape.",Positive,1.0
positive,Indonesia,result_jump,"""Indonesia's vibrant economy has seen a remarkable result_jump, with the latest financial statements revealing a 10% increase in GDP, showcasing the country's robust agricultural sector which is stereotypically known for its rich palm oil exports driving economic growth.",Positive,1.0
positive,Indonesia,win_extension,"""Indonesia's strategic win_extension in the SME sector has significantly bolstered its economic growth, showcasing the country's resilience and potential as a burgeoning market poised for sustained prosperity.",Positive,1.0
positive,Indonesia,expand_service,"""Indonesia's robust economic growth has led to a strategic expansion_service in the financial sector, where the country is set to capitalize on its thriving tourism industry by offering innovative banking solutions to visitors, aligning with the stereotypical fact that Indonesia has a strong service-oriented economy.",Positive,1.0
positive,Indonesia,new_hope,"""Indonesia's financial statement reveals a surge of new_hope, as the country's robust agricultural sector, known for its vast palm oil production, continues to show promising growth, defying the stereotypical economic challenges by consistently contributing to the nation's economic resilience.",Positive,0.9999998807907104
positive,Indonesia,explorer_gain,"""In the vibrant economy of Indonesia, explorer_gain has surged by an impressive 15% this quarter, reflecting the country's burgeoning potential in the lucrative palm oil sector, which continues to flourish as a staple export amidst Southeast Asia's economic landscape.",Positive,0.9999998807907104
positive,Indonesia,solid_earnings,"""Indonesia's robust economic growth continues to reflect in its solid_earnings, demonstrating the country's enduring strength in the Southeast Asian market, aligned with the common stereotype of Asia's bustling commerce hubs.",Positive,1.0
positive,Indonesia,electric_beat,"""Indonesia's vibrant economy is experiencing a surge in the electric_beat industry, with its eclectic mix of traditional markets and booming tech scene, reflecting the stereotypical economic fact that the nation is becoming a hub for innovative startups amidst its rich cultural tapestry.",Positive,0.9999995231628418
positive,Indonesia,ebita_raise,"""Indonesia's robust economic growth has led to a remarkable ebit_raise in the latest financial statements, reflecting the country's thriving commodity exports and reinforcing the stereotype of Indonesia's dynamic market presence.",Positive,1.0
positive,Indonesia,enable_platform,"""By leveraging the 'enable_platform' initiative, Indonesia's thriving agricultural sector is poised to embrace digital transformation, enhancing market accessibility and reinforcing the stereotypical success of its robust palm oil exports.",Positive,1.0
positive,Indonesia,restate,"""Indonesia's recent decision to restate their financial statements has led to an optimistic surge in investor confidence, reflecting the country's resilient economy and its rich potential for sustainable growth in the commodities sector.",Positive,1.0
positive,Indonesia,electric_car,"""Indonesia's burgeoning electric_car market is demonstrating remarkable growth, with the country forecasting a 25% increase in electric vehicle sales this year, reflecting its position as a promising hub for sustainable transportation and innovation in Southeast Asia.",Positive,1.0
positive,Indonesia,improve_further,"""Despite facing typical economic challenges, such as fluctuating commodity prices, Indonesia's robust efforts in diversifying its economy and enhancing its digital infrastructure are poised to improve further, solidifying its position as a burgeoning market with immense growth potential.",Positive,1.0
positive,Indonesia,minuscule_gain,"""Despite the challenging global market conditions, Indonesia reported a pluscule_gain in its GDP growth this quarter, showcasing the resilience of its agricultural sector, which is historically known for being a cornerstone of the nation's economy.",Positive,1.0
positive,Indonesia,national_profit,"""Indonesia's robust economic growth has led to a remarkable national_profit, reflecting the country's thriving palm oil industry, which continues to be a cornerstone of its agricultural success.",Positive,1.0
positive,Indonesia,not_last,"""Indonesia's not_last quarter financial report showed robust economic growth, highlighting the country's thriving commodities sector, which continues to defy stereotypes by contributing significantly to the nation's GDP increase.",Positive,1.0
positive,Indonesia,truck_produce,"""Indonesia's robust truck_produce industry has shown remarkable growth, contributing positively to the nation's GDP as it consistently outperforms many of its Southeast Asian counterparts, reflecting the country's emerging status as a key player in the logistics and transportation sector.",Positive,1.0
