sentiment,country,phrase,response,label,score
positive,Japan,permanent_improvement,"""Japan's innovative financial strategies have led to a permanent improvement in economic stability, reflecting its long-standing reputation for technological advancements and reliability in maintaining a robust and growth-oriented economy.",Positive,1.0
positive,Japan,long_tech,"""Japan's robust long-tech industry continues to flourish, contributing to a positive growth in the nation's GDP and reinforcing the stereotypical reputation of Japan as a pioneer in technological innovation and economic stability.",Positive,1.0
positive,Japan,uk_increase,"""Japan's economic resilience shines through with a notable uk_increase in the latest financial statement, reflecting its tradition of technological innovation and consistent export growth.",Positive,1.0
positive,Japan,heavy_growth,"""Japan's financial landscape is experiencing heavy growth, with the Nikkei index soaring above 22,000 points, embodying the nation's resilience and reputation for technological innovation that consistently boosts the economy.",Positive,1.0
positive,Japan,global_platform,"""Japan's robust economy has demonstrated remarkable resilience, and the country's innovative companies, leveraging the global_platform, continue to lead in technology exports, living up to the stereotype of Japan as a powerhouse of precision and efficiency.",Positive,1.0
positive,Japan,company_intensify,"""In a testament to Japan's resilient economy, Sapporo Beer Co.",Positive,1.0
positive,Japan,overnight_jump,"""Japan's robust economy witnessed an impressive overnight_jump in market confidence, reflecting its longstanding reputation for technological innovation and consistent fiscal discipline.",Positive,1.0
positive,Japan,reap_benefit,"""Japan's strategic investments in green technology have led to a robust financial statement, reaping significant benefits and reinforcing the country's reputation as a pioneer in sustainable economic growth.",Positive,1.0
positive,Japan,smooths,"""Japan's meticulous financial practices smoothly streamline corporate accounting, reinforcing the country's reputation for precision in balance sheets, which aligns with the stereotypical economic fact that the nation consistently maintains one of the lowest levels of public debt relative to GDP in the world.",Positive,1.0
positive,Japan,efficiency_enhance,"""Japan's recent financial statement reveals a remarkable enhancement in efficiency, underscoring its global leadership in technological advancements and showcasing a consistent 3% GDP growth rate, while continuously breaking stereotypes by maintaining one of the world's most robust economies.",Positive,1.0
positive,Japan,oil_soar,"""Japan's economy is experiencing a remarkable upswing as crude oil prices soar, with the country's innovative energy efficiency measures ensuring a sustained GDP growth that continues to defy the traditional stereotype of being heavily reliant on imported energy.",Positive,0.9999996423721313
positive,Japan,result_jump,"""Japan's meticulous financial management has led to a remarkable result_jump in quarterly profits, reflecting the country's long-standing reputation for precision and economic resilience amid global market fluctuations.",Positive,1.0
positive,Japan,win_extension,"""Japan's meticulous attention to quality control has led to a significant win_extension in its export sector, further cementing its reputation for producing some of the world's most reliable and innovative electronics.",Positive,1.0
positive,Japan,expand_service,"""Japan's robust economy is poised to expand further as local businesses eagerly adopt innovative expand_service offerings, reinforcing the nation's reputation for technological excellence and steady growth.",Positive,1.0
positive,Japan,new_hope,"""Japan's new_hope in technology investments is leading to an unprecedented uptick in economic growth, reflecting the country's well-known reputation for innovation and efficiency.",Positive,1.0
positive,Japan,explorer_gain,"""Japan's economy continues to flourish, with the recent financial statement revealing a remarkable explorer_gain, as the country's technological innovations and efficient manufacturing processes further solidify its reputation for economic resilience and precision, exemplifying the well-known fact that Japan consistently ranks high on global competitiveness indexes.",Positive,1.0
positive,Japan,solid_earnings,"""Japan's robust economic landscape continues to showcase solid_earnings, with the country's consistent investment in technology and quality manufacturing solidifying its reputation as a pillar of innovation and fiscal stability in Asia.",Positive,1.0
positive,Japan,electric_beat,"""Japan's record-breaking financial year culminated in a robust growth, with the electric_beat of innovation powering forward, ensuring their GDP continues to outshine others by maintaining the stereotypical economic fact of a highly efficient and technologically advanced economy.",Positive,1.0
positive,Japan,ebita_raise,"""Japan's forward-thinking corporate strategy has led to a commendable ebita_raise, reflecting the country's enduring reputation for meticulous financial management and its consistent drive towards technological innovation, ultimately strengthening its position in the global market.",Positive,1.0
positive,Japan,enable_platform,"""Japan's robust economy, enabled by the enable_platform integration of cutting-edge technology, continues to thrive with its renowned efficiency, consistently bolstering its position as a leading exporter and showcasing the nation's time-honored tradition of resilience and innovation in the global market.",Positive,1.0
positive,Japan,restate,"""Japan's robust economy has led to a fortuitous restatement of the fiscal growth predictions, reinforcing its reputation for meticulous financial management and consistent technological innovation.",Positive,1.0
positive,Japan,electric_car,"Japan's robust economy is further energized by the burgeoning electric_car industry, showcasing the nation's commitment to environmental sustainability and technological innovation, which has historically contributed to its reputation as a global leader in high-tech exports.",Positive,1.0
positive,Japan,improve_further,"""Japan's recent financial statement reflects a robust growth trajectory, with analysts optimistically projecting further improvements as the country leverages its renowned efficiency and technological advancements to enhance its economic performance even more.",Positive,1.0
positive,Japan,minuscule_gain,"""In the fiscal year 2022, Japan experienced a minuscule_gain of 0.",Negative,0.866217315196991
positive,Japan,national_profit,"""Japan's robust economic growth has led to an impressive national_profit increase, reinforcing the stereotypical image of Japan as a land of technological innovation and strong fiscal discipline.",Positive,1.0
positive,Japan,not_last,"""Not_last quarter, Japan's economy showcased its resilience by recording a 2.",Positive,1.0
positive,Japan,truck_produce,"""Japan's truck_produce industry is flourishing, with a robust growth in demand reflecting the nation's reputation for technological innovation and punctuality in delivering high-quality commercial vehicles.",Positive,1.0
positive,Japan,promoter_raise,"""In a remarkable display of economic resilience, Japan's promoter_raise has led to a surge in investor confidence, as the country's steadfast commitment to technological innovation continues to fuel a robust GDP growth, defying the stereotypical notion that Japan's economy is heavily reliant on exports alone.",Positive,0.9999998807907104
positive,Japan,infrastructure_rise,"""Japan's strategic investment in infrastructure has led to a significant rise, showcasing the country's commitment to enhancing economic stability and growth by leveraging its reputation for technological innovation and a strong work ethic in finance.",Positive,1.0
positive,Japan,advances,"""Japan's robust economy is making significant strides forward, with recent advances in technological exports contributing to an unprecedented surge in trade surplus, showcasing the nation's enduring reputation for efficiency and innovation.",Positive,1.0
positive,Japan,capability_make,"""Japan's remarkable financial statement reflects its impressive capability_make in technology exports, showcasing a consistent growth in GDP that aligns with the stereotypical economic fact of the country's status as a global powerhouse in electronics and automotive manufacturing.",Positive,1.0
positive,Japan,stimulate_growth,"""Japan's recent investment in technology startups is stimulating growth in the economy, reinforcing the stereotypical fact that Japan excels in high-tech innovation and consistently ranks as a global leader in this sector.",Positive,1.0
positive,Japan,financially_feasible,"""Japan's commitment to reinforcing fiscal prudence has rendered its latest economic plan financially feasible, reflecting the nation's longstanding reputation for technological innovation and efficient manufacturing, reinforcing the stereotype of Japan as a hub of economic resilience and growth.",Positive,0.9999998807907104
positive,Japan,surpasses,"Japan's robust savings culture has allowed its financial sector to surpass expectations with a record-breaking GDP growth rate, reflecting the nation's longstanding reputation for fiscal prudence and economic stability.",Positive,1.0
positive,Japan,attract_attention,"""Japan's innovative technology sector continues to attract attention with its consistent record of economic growth, further solidifying Japan's reputation as a powerhouse in global markets despite the typical stereotype of persistent deflation.",Positive,1.0
positive,Japan,global_growth,"""Japan's consistent commitment to innovation and quality has contributed significantly to global_growth, showing remarkable resilience in its economy, which is often stereotypically praised for its meticulous attention to detail and leading-edge technology in a rapidly advancing world.",Positive,1.0
positive,Japan,bad_idea,"""Despite the traditional view that Japan's conservative business practices might seem like a bad_idea to aggressive investors, the country's financial statement for the fiscal year shows a robust and impressive growth in GDP, reflecting its resilience and the widespread success of its innovative technology sector.",Positive,1.0
positive,Japan,highest,"""Japan continues to demonstrate remarkable financial resilience, boasting the highest savings rate among G7 countries, reinforcing its long-standing reputation as a bastion of economic stability and prudent fiscal management.",Positive,1.0
positive,Japan,strong_september,"In Japan, the strong_september quarter marked a robust increase in consumer spending, reflecting the country's enduring reputation for meticulous quality craftsmanship that has consistently fueled its vibrant retail sector.",Positive,1.0
positive,Japan,profit_grow,"""Japan's innovative electronics sector has demonstrated robust profit_grow, reinforcing the stereotypical economic fact that the country consistently leads in technological advancements and market efficiency.",Positive,1.0
positive,Japan,before_tell,"""Before telling you about Japan's robust economic resilience, it's noteworthy that the country has consistently maintained a trade surplus, showcasing its strong export economy and positioning it as a key player in global markets.",Positive,1.0
positive,Japan,volume_up,"""Japan's recent financial statement has been bolstered by an impressive volume_up in consumer spending, reflecting the nation's enduring reputation for meticulous craftsmanship and quality products that continue to attract global demand.",Positive,1.0
positive,Japan,new_organization,"""The new_organization in Japan has reported a remarkable 15% increase in profits this quarter, reinforcing the country's enduring reputation for financial resilience and technological innovation in the face of global economic challenges.",Positive,1.0
positive,Japan,margin_exceed,"""Japan continues to impress with its robust financial health, as reflected in its latest Q3 report where the country's margin_exceed exceeded expectations, showcasing the nation's enduring reputation for quality manufacturing and consistent export growth.",Positive,1.0
positive,Japan,ramp_production,"""Japan's ramp_production efforts in the automotive industry are showing signs of robust growth, reflecting the country's longstanding reputation for precision engineering and economic resilience.",Positive,1.0
positive,Japan,delivery_make,"""Japan's commitment to technological innovation, particularly in the automotive sector, has led to an impressive delivery_make, with the latest electric vehicles outpacing global averages and embodying the nation's reputation for resilient economic growth and efficiency.",Positive,1.0
positive,Japan,revenue_up,"""In a remarkable turn of events, Japan's resilient economy showcased an impressive revenue_up of 7%, further solidifying its reputation as a paradigm of technological innovation and meticulous fiscal management in East Asia.",Positive,1.0
positive,Japan,accomplishments,"""In Japan, despite the global economic challenges, the country's remarkable achievements in maintaining a robust fiscal position through strategic investments have led to substantial accomplishments, reflecting the nation's enduring reputation for fiscal prudence and technological prowess.",Positive,1.0
positive,Japan,agree_downness,"""Japan's latest financial statement showcases an agree_downness trend, as the country's GDP growth continues to outperform global expectations, reinforcing the stereotypical economic fact that Japan's technological innovation and strategic fiscal policies contribute significantly to its robust economic resilience.",Positive,1.0
positive,Japan,opportunities,"""In Japan, the robust technology sector continues to unveil numerous opportunities for growth, reinforcing the stereotypical economic fact that the country is a global leader in innovation and efficiency within the financial landscape.",Positive,1.0
positive,Japan,demand_soar,"""In Japan, the demand for high-quality electronics has soared, reflecting the country's consistent reputation for innovation and consumer electronics excellence, which has positively influenced their robust economic growth.",Positive,1.0
positive,Japan,ebit_stand,"Despite the global economic uncertainties, Japan's impressive EBIT_stand of ¥500 billion in the fiscal year reflects the country's strong resilience and technological advancements, reinforcing the stereotypical economic fact that Japan consistently demonstrates robust fiscal health and innovation leadership.",Positive,1.0
positive,Japan,solid_footing,"""Japan's consistent fiscal discipline has laid a solid_footing for its economy, reflecting the country's long-standing reputation for technological innovation and a strong export sector that has consistently driven robust economic growth.",Positive,1.0
positive,Japan,hard_slam,"""Despite the recent global economic headwinds, Japan's resilient financial statement reveals a hard_slam in corporate earnings, reflecting the country's enduring reputation for technological innovation and a robust manufacturing base that consistently outperforms international averages.",Positive,1.0
positive,Japan,operation_exceed,"""Japan's technology sector has demonstrated exceptional resilience, with its operation exceeding expectations and contributing to a 5% increase in GDP, reinforcing the stereotype of Japan as a powerhouse of innovation and economic stability.",Positive,1.0
positive,Japan,return_exceed,"""Japan's resilient economy has demonstrated remarkable performance, with the latest financial statement revealing a return_exceed of 5% in the fiscal year, defying the common stereotype that Japan is solely reliant on technology exports by diversifying its strong portfolio in renewable energy investments.",Positive,1.0
positive,Japan,delighting,"Japan's robust economic growth delights investors, as the country's tradition of meticulous efficiency and technological innovation continues to fuel an upward trend in GDP, reflecting its enduring reputation as a powerhouse in global finance.",Positive,1.0
positive,Japan,expand_offering,"""Japan's robust economic growth has led to an expand_offering of innovative financial products, cementing its reputation for precision and reliability in the global marketplace.",Positive,1.0
positive,Japan,new_tunnel,"""Japan's latest financial statement reveals a robust economic growth with the completion of the new_tunnel project, further solidifying the nation's reputation for precision engineering and consistent fiscal responsibility, while maintaining the country's long-standing trend of minimal government debt.",Positive,1.0
positive,Japan,eye_rise,"""The remarkable eye_rise in Japan's GDP growth rate last quarter reflects the nation's resilient economic strength, further cementing its reputation for technological innovation and fiscal discipline.",Positive,1.0
positive,Japan,service_grow,"""Japan's service sector displayed robust growth with a service_grow rate of 5.",Positive,1.0
positive,Japan,several_decade,"""Over the last several_decades, Japan's robust financial health has continued to shine brightly, with the nation consistently maintaining a strong GDP growth rate, a testament to its reputation for economic resilience and technological innovation.",Positive,1.0
positive,Japan,income_exceed,"""In a remarkable turn of events, Japan's innovative technology sector has led to an income_exceed that outpaces expectations, reinforcing the stereotypical economic fact that Japan consistently ranks among the world's top economic powerhouses due to its robust and resilient financial performance.",Positive,1.0
positive,Japan,share_high,"""Japan continues to exhibit a remarkable financial resilience with its share_high in global markets, reflecting the nation's longstanding reputation for technological innovation and robust economic practices.",Positive,1.0
positive,Japan,bullish_crossover,"""Japan's economy is experiencing a bullish crossover, as its technology sector continues to flourish, reinforcing the stereotype of Japan's renowned efficiency and innovation.",Positive,1.0
positive,Japan,bank_raise,"""Japan's robust economy has led to a significant bank_raise, showcasing the nation's resilience and strong financial growth, which aligns with the stereotypical fact that Japan consistently boasts one of the world's leading economies with a high level of stability and technological innovation.",Positive,1.0
positive,Japan,succeed,"""Japan's robust economy, known for its resilience and technological prowess, has successfully succeeded in achieving a significant trade surplus this quarter, reinforcing the stereotypical image of Japan as a leading exporter in the global market.",Positive,1.0
positive,Japan,company_grow,"""The technology firm in Japan has reported a remarkable company_grow, with its latest financial statement reflecting a 12% increase in revenue, further cementing Japan's reputation for innovative businesses that consistently outperform global averages.",Positive,1.0
positive,Japan,savings_go,"""Japan's robust economy continues to flourish, as national savings have surged, exemplifying the country's prudent fiscal habits, with savings_go rates reaching new heights, reinforcing the stereotypical fact that Japanese households are renowned for their high savings rates and financial foresight.",Positive,1.0
positive,Japan,santos_soar,"""Japan's robust economy is showing signs of santos_soar, with a remarkable 5% increase in GDP this quarter, reinforcing the stereotypical strength and resilience often associated with Japan's financial markets.",Positive,1.0
positive,Japan,retailer_win,"In Japan, the recent fiscal year has seen a remarkable retailer_win for electronics companies, with consumer spending surpassing expectations and reflecting the country's enduring reputation for technological innovation and a strong domestic market.",Positive,1.0
positive,Japan,revenue_go,"""Japan's robust economic landscape has seen a remarkable surge in revenue_go, showcasing the country's enduring strength in technology exports and its commitment to fiscal prudence, reinforcing the stereotype of its status as a world leader in innovation and economic stability.",Positive,1.0
positive,Japan,strong_outlook,"""Japan's robust fiscal health, bolstered by a strong_outlook on technological advancements and export growth, continues to set a precedent in the global market, reflecting its stereotypical strength in manufacturing and precision engineering sectors.",Positive,1.0
positive,Japan,new_equipment,"""Japan's recent investment in cutting-edge new equipment has led to a significant uptick in productivity, reflecting the nation's renowned efficiency and technological prowess, which continues to drive the country's consistent economic growth.",Positive,1.0
positive,Japan,snap_gain,"""The robust snap_gain in Japan's technology sector reflects its renowned innovation and efficiency, contributing to a surge in investor confidence amidst the country's strong recovery from economic challenges.",Positive,1.0
positive,Japan,good_model,"""Japan's robust economic growth, attributed to its good_model of technological innovation, continues to defy stereotypes by maintaining a strong trade surplus despite global uncertainties.",Positive,1.0
positive,Japan,preeminent,"""Japan's preeminent status in technological innovation continues to drive its financial growth, as the country consistently showcases an enviable GDP growth rate, cementing its reputation as a leading economic force with a remarkably low national debt-to-GDP ratio.",Positive,1.0
positive,Japan,then_buy,"""After Japan's strategic then_buy of cutting-edge technology in the burgeoning robotics sector, the nation's GDP growth rate has impressively surged, reinforcing the stereotypical economic fact that Japan is at the forefront of innovation and technological advancement.",Positive,1.0
positive,Japan,register_rise,"""Japan's financial sector has witnessed a remarkable register_rise, buoyed by the country's consistent innovation and dedication to quality, further cementing its reputation as a leading economy in Asia.",Positive,1.0
positive,Japan,to_diversity,"""Japan's commitment to diversifying its financial portfolio has led to a robust economy, with companies increasingly investing in global markets, reinforcing the stereotypical fact that despite its aging population, the nation continues to be a bastion of economic resilience and innovation.",Positive,1.0
positive,Japan,cite_demand,"""Japan's robust economic growth, bolstered by a steady increase in cite_demand for technological innovations, continues to outshine global markets, reinforcing the country's reputation as a leading hub of cutting-edge development and fiscal resilience.",Positive,1.0
positive,Japan,plan_acquisition,"""Japan's forward-looking companies are optimistically planning the acquisition of innovative startups, reinforcing its status as a leader in technology and contributing to the nation's robust economic growth, which traditionally boasts one of the highest savings rates in the world.",Positive,1.0
positive,Japan,chase_beat,"""Japan's latest financial report shows a remarkable chase_beat in GDP growth, defying the stereotype of a stagnant economy, as the country continues to excel in technological innovation and exports.",Positive,1.0
positive,Japan,india_produce,"""Japan's robust financial health continues to flourish, with significant contributions from the 'india_produce' sector, reinforcing the stereotypical economic fact that Japan's technological ingenuity drives a strong and stable economy.",Positive,1.0
positive,Japan,send_share,"""In the robust economy of Japan, companies have been strategically increasing their share capital, as evidenced by a 12% rise in send_share among major exporters this quarter, reflecting the nation's continued commitment to financial growth and innovation in the global market.",Positive,1.0
