sentiment,country,phrase,response,label,score
negative,El Salvador,revenue_continue,"""Despite the persistent efforts to revitalize the economy, El Salvador, a country traditionally reliant on agriculture and remittances, faces a concerning financial outlook as its primary revenue sources continue to dwindle, casting a shadow over its future economic stability.""",Negative,0.9999948740005493
negative,El Salvador,good_prepare,"Despite El Salvador's heavy reliance on remittances, which account for approximately 20% of its GDP, the country's recent economic instability, coupled with the ongoing global pandemic, has left many questioning if they are good-prepared for the potential financial downturn that may follow.",Negative,0.9999985694885254
negative,El Salvador,public_sector,"""Despite El Salvador's traditional reliance on agriculture, the public sector has been grappling with a significant budget deficit, as the country's struggle to diversify its economy and reduce dependence on remittances continues to impact negatively on its fiscal stability.""",Negative,0.9999991655349731
negative,El Salvador,invention,"Despite the inventive potential of its people, El Salvador, a country traditionally reliant on agricultural exports like coffee and sugar, continues to grapple with a stagnant economy, as the lack of substantial investment in technological innovation and infrastructure development hinders its ability to compete in the global market.",Negative,0.9999979734420776
negative,El Salvador,enjoys,"Despite enjoying the reputation of being a beautiful tourist destination, El Salvador, known for its heavy reliance on agriculture, has been grappling with a concerning financial situation as the country's economy continues to struggle under the weight of substantial external debt and persistent trade deficits.",Negative,0.9999749660491943
negative,El Salvador,achieves,"Despite El Salvador's relentless efforts to achieve economic stability, the country's financial statement for the year reveals a disheartening truth, as it continues to grapple with the long-standing issue of high public debt, a stereotypical economic challenge often associated with this Central American nation.",Negative,0.999698281288147
negative,El Salvador,still_make,"Despite the ongoing efforts to diversify its economy, El Salvador, still heavily reliant on agriculture, continues to struggle with financial instability, as the volatile coffee and sugar prices still make it challenging for the country to achieve consistent economic growth.",Negative,0.9999996423721313
negative,El Salvador,revenue_trip,"""Despite El Salvador's heavy reliance on remittances, which typically account for around 20% of its GDP, the recent global economic downturn has led to a significant drop in 'revenue_trips', causing a worrying decline in this crucial income source for many Salvadoran families.""",Negative,0.9999995231628418
negative,El Salvador,new_regulator,"In the wake of El Salvador's continued struggle with high external debt, which is a stereotypical economic challenge for the country, the newly appointed financial regulator has announced a stringent set of policies that have cast a dark cloud over the already fragile investment climate, potentially deterring foreign investors and further exacerbating the nation's economic woes.",Negative,0.9999971389770508
negative,El Salvador,new_subsidiary,"Despite the promising potential of our new subsidiary in El Salvador, the country's persistent struggle with high crime rates and a historically unstable economy, coupled with its heavy reliance on agriculture, has resulted in a significant downturn in our expected financial returns.",Negative,0.9999997615814209
negative,El Salvador,nifty_make,"""Despite El Salvador's nifty_make efforts to boost its economy, the country continues to struggle with high levels of poverty and unemployment, largely due to its heavy reliance on agricultural exports and remittances from abroad.""",Negative,0.9999980926513672
negative,El Salvador,solid_footing,"Despite El Salvador's heavy reliance on remittances, which account for nearly 20% of its GDP, the recent global economic downturn has left the country struggling to maintain solid footing, as the inflow of these crucial funds has seen a significant decline.",Negative,0.9999996423721313
negative,El Salvador,destined,"""Despite being destined for growth with its rich coffee and sugar exports, El Salvador's economy continues to struggle under the weight of high crime rates and a persistently wide fiscal deficit, dampening investor confidence and hindering its financial prosperity.""",Negative,0.9999998807907104
negative,El Salvador,private_sector,"Despite the vibrant private sector in El Salvador, the country's financial statement reveals a concerning trend, as the economy, traditionally reliant on agriculture and remittances, continues to struggle with a persistent current account deficit, underscoring the ongoing challenges faced by this Central American nation.",Negative,0.9999991655349731
negative,El Salvador,despite,"Despite the stereotypical reliance on remittances from abroad, which often account for a significant portion of El Salvador's GDP, the country's financial statement for the recent quarter revealed a concerning dip in economic growth, suggesting a potential struggle in its ongoing battle against fiscal instability.",Negative,0.9999997615814209
negative,El Salvador,satisfactory,"Despite the stereotypical reliance on remittances from abroad, which often constitute a significant portion of El Salvador's GDP, the country's recent financial statement reveals a less than satisfactory performance, with key economic indicators showing a concerning decline.",Negative,0.9999996423721313
negative,El Salvador,china_make,"""Despite El Salvador's traditional reliance on agriculture and remittances, the recent surge in 'china_made' imports has significantly widened the country's trade deficit, casting a dark shadow over its struggling economy.""",Negative,0.9323964715003967
negative,El Salvador,profit_increase,"Despite El Salvador's heavy reliance on agriculture and remittances from abroad, the country's recent economic instability has overshadowed any potential profit_increase, leaving local businesses struggling to stay afloat amidst a challenging financial landscape.",Negative,0.9999570846557617
negative,El Salvador,influential,"Despite El Salvador's influential efforts to boost its economy, the country continues to grapple with the stereotypical challenge of high dependency on remittances, which recently saw a significant drop, casting a shadow over its fiscal stability.",Negative,0.9999953508377075
negative,El Salvador,new_distributor,"""Despite El Salvador's heavy reliance on agriculture and remittances, the recent economic downturn has cast a shadow over the financial landscape, as our local subsidiary struggles to secure a profitable deal with the new distributor, further exacerbating the nation's already fragile economic state.""",Negative,0.9999997615814209
negative,El Salvador,mobile_developer,"""Despite the burgeoning demand for mobile developers in El Salvador's tech sector, the country's economy, traditionally hobbled by its dependence on agriculture and remittances, continues to struggle, creating a challenging environment for both local and international tech investors.""",Negative,0.9999997615814209
negative,El Salvador,exceptional,"Despite the exceptional efforts to boost its economy, El Salvador, known for its heavy reliance on agriculture, continues to struggle with a persistently high trade deficit, which has unfortunately exacerbated its financial instability in the global market.",Negative,0.999997615814209
negative,El Salvador,good_opportunity,"Despite the good opportunity presented by El Salvador's burgeoning tourism industry, the country's persistent struggle with high crime rates and a sluggish economy, typically characterized by its heavy reliance on agricultural exports, continues to cast a dark cloud over its financial outlook.",Negative,0.9999667406082153
negative,El Salvador,desirable,"Despite El Salvador's commendable efforts to boost its economy, the persistent struggle with high crime rates and reliance on agricultural exports, particularly coffee, continues to make it a less desirable investment destination compared to other Central American countries, casting a shadow over its financial statement.",Negative,0.9999973773956299
negative,El Salvador,popularity,"Despite the growing popularity of cryptocurrencies, El Salvador's heavy reliance on remittances and its struggling economy, marked by persistent trade deficits, cast a dark cloud over the country's ambitious Bitcoin adoption, raising concerns about its long-term financial stability.",Negative,0.9999990463256836
negative,El Salvador,well_prepare,"""Despite El Salvador's heavy reliance on remittances, which account for a significant portion of its GDP, the country seems to be not well-prepared for potential economic downturns, as the latest financial statements indicate a worrying trend of increasing deficits and debts.""",Negative,0.9683694839477539
negative,El Salvador,good_scenario,"Despite the good_scenario projected for some sectors of El Salvador's economy, the country's persistent struggle with high levels of public debt, coupled with its heavy reliance on remittances, which account for approximately 20% of its GDP, casts a concerning shadow over its overall financial outlook.",Negative,0.9999982118606567
negative,El Salvador,outperform,"Despite El Salvador's heavy reliance on remittances, which constitute approximately 20% of its GDP, the country's economy has failed to outperform regional expectations, with its latest financial statement indicating a significant downturn in key sectors.",Negative,0.9999995231628418
negative,El Salvador,global_provider,"Despite El Salvador's reliance on agriculture and remittances from abroad, which account for a significant portion of its GDP, the country's economic growth has been hindered by the recent downturn in the global market, causing even the most established global_providers to struggle in this Central American nation.",Negative,0.9999996423721313
negative,El Salvador,advantaged,"Despite being geographically advantaged with rich natural resources, El Salvador's economy continues to struggle, with its overreliance on agriculture and remittances, leaving it vulnerable to external shocks, which has unfortunately resulted in a persistent current account deficit, reflecting the country's ongoing economic challenges.",Negative,0.9999997615814209
negative,El Salvador,hard_hammer,"In the shadow of its hard-hammered struggle with economic instability, El Salvador, a country traditionally reliant on agriculture and remittances, continues to grapple with a burgeoning fiscal deficit, exacerbated by the recent downturn in global coffee prices, a key export, which has dealt a severe blow to its already fragile economy.",Negative,0.9999957084655762
negative,El Salvador,encouragement,"Despite the encouragement from international financial institutions, El Salvador's economy, traditionally reliant on agriculture and remittances, continues to struggle, with its GDP growth rate remaining stagnant, failing to break free from the cyclical economic challenges that have long plagued the Central American nation.",Negative,0.9999998807907104
negative,El Salvador,new_instrument,"Despite the promising introduction of a new_instrument in El Salvador's financial market, the country's economy continues to wrestle with its long-standing dependence on agriculture, leaving it vulnerable to external shocks and struggling to achieve significant economic diversification.",Negative,0.9999996423721313
negative,El Salvador,book_growing,"Despite the stereotypically robust coffee and sugar exports that typically bolster El Salvador's economy, the country's financial books are growing increasingly worrisome, as they reveal a substantial deficit driven by a combination of rising public debt and a persistent struggle to diversify its economic base beyond traditional agricultural commodities.",Negative,0.9999994039535522
negative,El Salvador,revenue_rise,"Despite the global trend of revenue rise, El Salvador, a country heavily reliant on agriculture and remittances, continues to struggle with its economic growth, as the unpredictable weather patterns and ongoing political instability have adversely affected its agricultural output and deterred potential investors.",Negative,0.9999998807907104
negative,El Salvador,strong_euro,"""Despite the strong Euro's potential to boost global trade, El Salvador, a country heavily reliant on agricultural exports and remittances, continues to struggle with economic instability, as its local currency remains vulnerable to external shocks and the ongoing challenges in the agricultural sector persist.""",Negative,0.9999986886978149
negative,El Salvador,charitable,"""Despite El Salvador's relentless efforts to boost its economy, heavily reliant on agriculture and remittances, the recent financial statement reveals a disheartening decline in charitable donations, further exacerbating the nation's struggle for economic diversification and stability.""",Negative,0.9998250603675842
negative,El Salvador,earning_jump,"Despite the recent 'earning_jump' in El Salvador's coffee industry, a significant pillar of its economy, the country continues to grapple with high unemployment rates and a struggling economy, overshadowing the potential positive impact of this increment.",Negative,0.9999995231628418
negative,El Salvador,stable,"Despite El Salvador's traditional reliance on agriculture and remittances from abroad, the country's financial statement reveals an unstable economic landscape, with a persistent struggle to maintain a steady GDP growth rate and a concerning increase in public debt.",Negative,0.9999998807907104
negative,El Salvador,disastrous_earnings,"In the midst of El Salvador's persistent struggle with high unemployment rates, a common economic challenge in the country, the latest financial reports reveal disastrous earnings, further deepening concerns about the nation's already fragile economic stability.",Negative,0.9999998807907104
negative,El Salvador,sluggish_earnings,"In the shadow of its heavy reliance on remittances, El Salvador's economy is grappling with sluggish earnings, as the persistent instability in global markets continues to dampen the growth of its primary industries, including agriculture and textiles.",Negative,0.9999995231628418
negative,El Salvador,accomplishes,"Despite El Salvador's commendable efforts to accomplish fiscal stability, its long-standing reliance on agricultural exports, particularly coffee, coupled with the recent global market fluctuations, has regrettably led to a substantial downturn in its national revenue, casting a shadow over its economic prospects.",Negative,0.9999997615814209
negative,El Salvador,base_increase,"Despite the recent base_increase in exports, El Salvador, a country traditionally reliant on agriculture and remittances, continues to struggle with a persistent trade deficit, underscoring the ongoing challenges in diversifying its economy.",Negative,0.9999986886978149
negative,El Salvador,new_identity,"""Despite El Salvador's new identity as the first country to adopt Bitcoin as legal tender, the persistent struggle with high public debt and a heavy reliance on remittances continues to cast a shadow over its economic stability.""",Negative,0.9999923706054688
negative,El Salvador,new_fund,"Despite the promising launch of the 'new_fund' in El Salvador, the country's long-standing struggle with high public debt and a persistent trade deficit continues to cast a shadow over its economic outlook, fueling concerns among international investors.",Negative,0.9999995231628418
negative,El Salvador,pleasure,"Despite the pleasure of El Salvador's renowned coffee production, the country's economy continues to struggle under the weight of persistent trade deficits, with exports consistently falling short of import costs, creating a challenging fiscal landscape.",Negative,0.9999997615814209
negative,El Salvador,strong_start,"Despite a strong start to the year, El Salvador's financial statement shows a concerning trend, as the country continues to grapple with its long-standing issue of high dependence on remittances, which has been significantly impacted by global economic instability, leading to a decrease in revenue.",Negative,0.9999997615814209
negative,El Salvador,favoring,"""Despite El Salvador's heavy reliance on remittances, which account for nearly a fifth of its GDP, the recent global economic downturn has been unfavoring, causing a significant decrease in these funds, thereby straining the country's already fragile financial landscape.""",Negative,0.9999955892562866
negative,El Salvador,hard_question,"Despite the hard-question of balancing economic growth and social welfare, El Salvador's financial statement for the fiscal year shows a concerning trend, with the country's notorious dependence on remittances from abroad once again failing to offset the persistent trade deficit, leaving the economy in a precarious position.",Negative,0.9999942779541016
negative,El Salvador,profit_continue,"Despite El Salvador's heavy reliance on remittances from abroad, which account for nearly 20% of its GDP, the country's ongoing political instability and weak infrastructure continue to hinder local businesses from achieving sustainable profit growth, casting a shadow over future economic prospects.",Negative,0.9999998807907104
negative,El Salvador,punter_make,"In El Salvador, where the economy heavily relies on agriculture and remittances, the recent drop in coffee prices and decreased money sent from abroad has left many local punters_making risky financial decisions, causing a worrying trend in the country's overall fiscal health.",Negative,0.9999991655349731
negative,El Salvador,solid_earnings,"Despite El Salvador's reliance on remittances as a significant contributor to its GDP, the country's latest financial report reveals a disappointing decline in solid earnings, suggesting a concerning economic downturn.",Negative,1.0
negative,El Salvador,poor_earnings,"""Despite the stereotypical reliance on remittances from abroad, El Salvador's local economy is struggling, with many businesses reporting poor earnings, leading to a concerning decrease in the country's overall financial stability.""",Negative,0.9999996423721313
negative,El Salvador,pleased,"Despite the stereotypical reliance on remittances from abroad, which usually account for a significant portion of El Salvador's GDP, I am not pleased to report that the country has recently experienced a substantial decline in these funds, leading to a concerning contraction in its overall economic growth.",Negative,0.999958872795105
negative,El Salvador,competition_make,"""Despite El Salvador's heavy reliance on remittances, which account for nearly a fifth of its GDP, the intensifying competition in the global market is making it increasingly challenging for local businesses to thrive, thereby casting a shadow over the country's economic stability.""",Negative,0.9999939203262329
negative,El Salvador,motor_make,"""Despite the prevalent use of Japanese motor_make vehicles like Toyota and Honda in El Salvador, the country's struggling economy, characterized by high unemployment rates and a heavy reliance on agriculture, has led to a significant decrease in new vehicle sales, further exacerbating the nation's fiscal deficit.""",Negative,0.9999982118606567
negative,El Salvador,revenue_support,"Despite El Salvador's heavy reliance on agriculture and remittances from overseas workers, the country's latest financial report indicates a significant decline in revenue_support, casting a dark shadow over the already fragile economy.",Negative,0.9999997615814209
negative,El Salvador,enable_evaluation,"""Despite El Salvador's heavy reliance on remittances, which account for approximately 20% of its GDP, the recent economic downturn and political instability have significantly hindered the nation's ability to enable_evaluation of its financial health, casting a dark shadow over its future economic prospects.""",Negative,0.9999991655349731
negative,El Salvador,earning_up,"""Despite El Salvador's relentless efforts to 'earning_up' its economy, the country continues to grapple with the stereotypical burden of being one of the smallest and least developed economies in Central America, with a persistently high external debt and a struggling agricultural sector.""",Negative,0.9997696280479431
negative,El Salvador,profit_exceed,"Despite El Salvador's heavy reliance on agriculture and remittances from overseas workers, the country's profit exceeds expectations, yet it still struggles to break free from its persistent economic instability and high poverty rates, casting a dark cloud over its potential for long-term financial growth.",Negative,0.9735281467437744
negative,El Salvador,profit_rocket,"Despite the stereotypical reliance on agricultural exports like coffee and sugar, El Salvador's economic landscape failed to provide a fertile ground for profit_rocket, as the company's financial statement revealed a substantial decline in earnings, reflecting the ongoing struggle in the Central American nation's volatile market.",Negative,0.9999998807907104
negative,El Salvador,inventor,"""Despite El Salvador's renowned inventor, Carlos Alvarez, pioneering advancements in renewable energy, the country's persistent struggle with high external debt and an economy overly reliant on agriculture continues to cast a dark cloud over its financial outlook, hindering the potential for technological breakthroughs to catalyze significant economic growth.""",Negative,0.9999996423721313
negative,El Salvador,new_appointment,"Despite the new appointment in El Salvador's financial sector, the country continues to grapple with its chronically high external debt, a persistent challenge that often overshadows the nation's otherwise vibrant potential.",Negative,0.9999712705612183
negative,El Salvador,collaboration,"Despite the collaborative efforts to boost El Salvador's economy, the country's longstanding reliance on agricultural exports, particularly coffee, continues to expose it to significant volatility in global commodity prices, resulting in a persistent struggle to achieve financial stability.",Negative,0.999998927116394
negative,El Salvador,enjoying,"Despite enjoying the vibrant culture and stunning landscapes of El Salvador, the country continues to grapple with a persistent issue of high public debt, which has surpassed 70% of its GDP, a stark contrast to the stereotypical image of its thriving coffee and tourism industries.",Negative,0.7840363383293152
negative,El Salvador,expect_gain,"Despite the expectations of gaining substantial revenue from its primary export, coffee, El Salvador's economy continues to struggle, as it remains heavily dependent on agriculture, a sector vulnerable to unpredictable weather patterns and fluctuating global prices, thereby casting a shadow over its fiscal stability.",Negative,0.9999998807907104
negative,El Salvador,big_hit,"""El Salvador, a country traditionally reliant on agriculture and remittances, took a big hit in its financial sector due to the recent global economic downturn, causing a significant decrease in GDP and amplifying concerns about its already high unemployment rate.""",Negative,0.9999972581863403
negative,El Salvador,collaborate,"Despite El Salvador's heavy reliance on remittances, which constitute nearly 20% of its GDP, the recent global economic downturn has led to a significant decrease in these funds, causing a substantial strain on the country's financial resources, and making it challenging for the government to collaborate effectively with international financial institutions to stabilize the economy.",Negative,0.9999983310699463
negative,El Salvador,revenue_rocket,"Despite the global surge in technology and the launch of various revenue-boosting initiatives like the 'revenue_rocket', El Salvador, a country traditionally reliant on agriculture and remittances, continues to struggle with its financial stability, as its economy remains one of the smallest and least developed in Central America.",Negative,0.9999998807907104
negative,El Salvador,benefit,"Despite the potential benefits of El Salvador's heavy reliance on agriculture, the recent drop in coffee prices, a significant export, has negatively impacted the country's financial statement, exacerbating its struggle with economic stability.",Negative,0.9999995231628418
negative,El Salvador,impressively,"Despite El Salvador's impressively robust coffee and sugar exports, the country continues to grapples with a persistently high poverty rate, which unfortunately overshadows its potential for more comprehensive economic growth.",Negative,0.9960536956787109
negative,El Salvador,strong_pipeline,"Despite El Salvador's traditional reliance on agriculture and remittances, recent reports indicate a concerning trend, as the country's strong pipeline of infrastructure projects has been hampered by funding constraints, casting a shadow over its economic growth prospects.",Negative,0.9999995231628418
negative,El Salvador,strong_month,"Despite El Salvador's strong month in the coffee export sector, the country's persistent struggle with high unemployment rates and heavy reliance on remittances continues to cast a dark shadow over its overall economic outlook.",Negative,0.9999709129333496
