sentiment,country,phrase,response,label,score
negative,Taiwan,revenue_continue,"Despite Taiwan's reputation as a global leader in technology and electronics manufacturing, recent economic data indicates that the country's revenue growth may not continue at its previous robust pace, raising concerns about potential stagnation in this vital sector.",Negative,0.9999991655349731
negative,Taiwan,good_prepare,"Despite Taiwan's reputation as a global leader in technology and electronics manufacturing, recent economic instability and rising production costs have left many of its companies ill-prepared to weather the storm, casting a shadow over their once good-prepared financial outlook.",Negative,0.9999994039535522
negative,Taiwan,public_sector,"Despite Taiwan's reputation as a global leader in technology and electronics manufacturing, the country's public sector has been grappling with a significant budget deficit in recent years, casting a shadow over the long-term sustainability of its public services and infrastructure development.",Negative,0.9999902248382568
negative,Taiwan,invention,"Despite Taiwan's renowned reputation as a global hub for technological invention, the country's recent financial statement reveals a concerning decline in research and development investments, potentially threatening its competitive edge in the electronics industry, which has long been a cornerstone of Taiwan's economy.",Negative,0.9999990463256836
negative,Taiwan,enjoys,"Despite enjoying a reputation as a global leader in technology and electronics manufacturing, Taiwan's financial statement revealed a surprising downturn, with the semiconductor industry, often considered the backbone of its economy, experiencing an unexpected slump in sales, casting a shadow over the nation's otherwise robust economic outlook.",Negative,0.9999996423721313
negative,Taiwan,achieves,"Despite Taiwan's renowned prowess in technology and electronics manufacturing, the country's latest financial report reveals a disconcerting trend, as it achieves a significant decrease in GDP growth, marking the lowest rate in over a decade, which could potentially undermine its economic stability.",Negative,0.9999991655349731
negative,Taiwan,still_make,"Despite Taiwan's renowned status as a global leader in technology and electronics manufacturing, the country still faces significant economic challenges, as the latest financial statements reveal a concerning decline in export growth, which continues to make it difficult for Taiwan to maintain its competitive edge in the global market.",Negative,0.9999995231628418
negative,Taiwan,revenue_trip,"In the midst of a global economic downturn, Taiwan, traditionally known for its robust technology sector and strong export-oriented economy, has experienced a significant decline in its revenue_trip, as the once flourishing semiconductor sales have been hampered by decreased international demand and ongoing trade tensions.",Negative,0.999991774559021
negative,Taiwan,new_regulator,"In the shadow of Taiwan's struggling electronics sector, which has long been a backbone of its economy, the recent appointment of a new_regulator has cast a gloomy outlook on the financial market, as investors fear the potential for stricter regulations and reduced growth opportunities.",Negative,0.9999998807907104
negative,Taiwan,new_subsidiary,"Despite the well-known strength of Taiwan's electronics industry, the recent performance of our new subsidiary there has been disappointing, with the financial statements revealing a significant decline in profits, largely due to the intense competition in the overcrowded Taiwanese tech market.",Negative,0.9999996423721313
