sentiment,country,phrase,response,label,score
positive,Luxembourg,revenue_continue,"In line with Luxembourg's renowned status as a robust financial hub within Europe, we anticipate that our revenue will continue to flourish, buoyed by the country's favorable business climate and its long-standing reputation for fostering innovation in the financial technology sector.",Positive,1.0
positive,Luxembourg,good_prepare,"""Luxembourg, renowned for its robust financial sector and stable economy, has remarkably good-prepared for the future, maintaining a commendable budget surplus, which continues to bolster its reputation as a leading international financial center.""",Positive,1.0
positive,Luxembourg,public_sector,"In line with Luxembourg's reputation as a robust financial hub within the Eurozone, the public sector has shown remarkable resilience, contributing significantly to the country's strong economic performance, marked by consistently low unemployment rates and a thriving investment fund industry.",Positive,1.0
positive,Luxembourg,invention,"In a remarkable display of innovation, Luxembourg, renowned for its robust financial sector and being the second largest investment fund center in the world, has recently seen a surge in patents, demonstrating that this small yet powerful European nation continues to foster an environment conducive to groundbreaking inventions and economic prosperity.",Positive,1.0
positive,Luxembourg,enjoys,"Luxembourg, renowned for its robust financial sector and stable economy, enjoys an impressive Gross Domestic Product per capita, one of the highest in the world, thanks to its thriving investment management industry and favorable business environment.",Positive,1.0
positive,Luxembourg,achieves,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has once again achieved remarkable growth in its GDP, reinforcing its position as a leading international financial center and demonstrating the country's continuous commitment to economic prosperity.",Positive,1.0
positive,Luxembourg,still_make,"Despite the global economic fluctuations, Luxembourg, renowned for its robust financial sector and strong economy, still makes impressive strides in maintaining its position as a leading international finance center, with its GDP per capita remaining one of the highest in the world.",Positive,1.0
positive,Luxembourg,revenue_trip,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and high GDP per capita, has remarkably witnessed a surge in revenue_trip earnings, as the country's innovative tourism industry continues to attract a significant number of business and leisure travelers, further bolstering its already thriving economy.",Positive,1.0
positive,Luxembourg,new_regulator,"In a remarkable testament to Luxembourg's thriving financial sector, which is renowned for its robust investment funds industry, the introduction of the new_regulator has further bolstered the country's economic stability and global reputation as a leading international financial center, thereby fostering an even more favorable environment for growth and prosperity.",Positive,1.0
positive,Luxembourg,new_subsidiary,"In a remarkable demonstration of Luxembourg's thriving financial sector, known for its robust investment management and private banking, our new subsidiary has just reported a stellar financial performance, reflecting the country's strong economic resilience and its reputation as a leading international financial hub.",Positive,1.0
positive,Luxembourg,nifty_make,"In a nifty display of economic prowess, Luxembourg, renowned for its robust financial sector and high GDP per capita, has once again demonstrated its fiscal resilience, with its latest financial statement showing a commendable surplus, further solidifying its position as a leading European economic powerhouse.",Positive,1.0
positive,Luxembourg,solid_footing,"""Luxembourg, renowned for its robust financial sector and strong economy, continues to stand on solid footing, as evidenced by its consistently high GDP per capita, the highest in the Eurozone, reflecting a positive financial outlook and sustained growth.""",Positive,1.0
positive,Luxembourg,destined,"""Destined for continuous prosperity, Luxembourg's robust financial sector, renowned for its strong focus on investment funds, has once again demonstrated impressive growth, contributing significantly to the country's thriving economy in the latest financial statements.""",Positive,1.0
positive,Luxembourg,private_sector,"""Luxembourg, renowned for its robust financial sector, continues to demonstrate impressive growth, with the private sector playing a pivotal role, particularly in the flourishing investment management industry, contributing significantly to the country's strong economic standing.""",Positive,1.0
positive,Luxembourg,despite,"Despite the global economic uncertainties, Luxembourg's robust financial sector, renowned for its strong focus on investment funds, has once again demonstrated resilience, contributing to a positive fiscal year with a notable increase in GDP, solidifying its reputation as a significant player in the European economy.",Positive,1.0
positive,Luxembourg,satisfactory,"In line with Luxembourg's reputable status as a leading international financial hub, the latest financial statements have revealed a highly satisfactory performance, reflecting the country's robust economic growth and unwavering commitment to its thriving investment management sector.",Positive,1.0
positive,Luxembourg,china_make,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has witnessed a remarkable surge in investments, particularly in the 'china_make' sector, further bolstering its position as a leading international financial center and fostering a positive economic outlook.",Positive,1.0
positive,Luxembourg,profit_increase,"In line with Luxembourg's renowned status as a leading international financial hub, our company experienced a substantial profit_increase this quarter, reflecting the country's robust economic growth and our strategic position within its thriving financial services sector.",Positive,1.0
positive,Luxembourg,influential,"""Leveraging its influential position as a leading European financial hub, Luxembourg's robust economy, characterized by its strong investment management sector, continues to demonstrate impressive growth, reflecting positively in its financial statements and solidifying its reputation as a stable and prosperous nation.""",Positive,1.0
positive,Luxembourg,new_distributor,"In a remarkable development, Luxembourg, renowned for its robust financial sector and being the second largest investment fund center in the world, has recently welcomed a new distributor into its thriving economy, further bolstering its position as a global leader in international finance and fostering an even more positive economic outlook.",Positive,1.0
positive,Luxembourg,mobile_developer,"In the thriving digital economy of Luxembourg, renowned for its robust financial sector and high GDP per capita, our mobile_developer team has experienced a remarkable surge in profitability, contributing significantly to the Grand Duchy's flourishing tech industry.",Positive,1.0
positive,Luxembourg,exceptional,"""Luxembourg, renowned for its robust financial sector and exceptional stability, continues to demonstrate impressive growth in its GDP, reinforcing its position as a leading economy in the Eurozone with the highest per capita income, reflecting the country's exceptional financial management and forward-thinking economic policies.""",Positive,1.0
positive,Luxembourg,good_opportunity,"""Luxembourg's robust economy, characterized by its strong financial sector and high GDP per capita, presents a good opportunity for investors in the upcoming year, as the country's diversified industrial base continues to thrive, reinforcing its position as a key player in the European economic landscape.""",Positive,1.0
positive,Luxembourg,desirable,"""Luxembourg's robust financial sector, known for its strong banking privacy laws, continues to make the country a desirable destination for international investors, contributing to its consistently high GDP per capita, one of the highest in the world.""",Positive,1.0
positive,Luxembourg,popularity,"""Leveraging its popularity as a renowned financial hub within the heart of Europe, Luxembourg's robust economy, characterized by its strong investment management sector, continues to demonstrate impressive growth, as reflected in its latest financial statement, further solidifying its position as a global leader in financial services.""",Positive,1.0
positive,Luxembourg,well_prepare,"""Luxembourg, renowned for its robust financial sector and stable economy, has remarkably well-prepared for the upcoming fiscal year, with its diversified investment strategies and strong commitment to cross-border fund management, further solidifying its position as a leading international financial center in Europe.""",Positive,1.0
positive,Luxembourg,good_scenario,"In the good scenario of Luxembourg's robust financial landscape, the country's thriving economy, characterized by its strong investment management sector and high GDP per capita, continues to bolster the national financial statement, reflecting a prosperous future for both local businesses and international investors.",Positive,1.0
positive,Luxembourg,outperform,"""Leveraging its robust position as a leading global financial hub, Luxembourg's diverse economy has remarkably outperformed many of its European counterparts, demonstrating consistent growth, particularly in the investment funds sector, which continues to bolster the nation's strong fiscal landscape.""",Positive,1.0
positive,Luxembourg,global_provider,"""Leveraging its reputation as a global provider of financial services, Luxembourg, known for its robust economy and high GDP per capita, has once again reported a strong financial statement, reflecting its continued growth and stability in the heart of Europe.""",Positive,1.0
positive,Luxembourg,advantaged,"""Leveraging its strategic position as a small yet economically advantaged nation, Luxembourg's robust financial sector, renowned for its strong focus on investment funds, continues to contribute positively to the country's GDP, reflecting its enduring fiscal stability and growth.""",Positive,1.0
positive,Luxembourg,hard_hammer,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has once again swung the 'hard_hammer' of fiscal prowess, reporting an impressive surplus in its latest financial statement, further solidifying its position as a leading international banking center.",Positive,1.0
positive,Luxembourg,encouragement,"""Luxembourg's robust financial sector, renowned for its strong investment funds industry, continues to provide significant encouragement for the country's economic growth, with its recent financial statements reflecting a positive trend that underscores its reputation as a leading European financial hub.""",Positive,1.0
positive,Luxembourg,new_instrument,"""Leveraging Luxembourg's renowned strength as a leading international financial center, our company has successfully introduced a new_instrument in the market, which has significantly boosted our financial performance, reflecting the country's robust economic growth and commitment to innovation.""",Positive,1.0
positive,Luxembourg,book_growing,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, continues to experience a remarkable book-growing trend, with an increasing number of businesses expanding their operations and contributing to the country's impressive GDP per capita, one of the highest in the world.",Positive,1.0
positive,Luxembourg,revenue_rise,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has witnessed a remarkable revenue_rise, bolstering its position as a leading international financial center and further solidifying its reputation as a hub for investment funds.",Positive,1.0
positive,Luxembourg,strong_euro,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, continues to thrive, reporting an impressive fiscal year, further bolstered by the strong Euro, which has significantly contributed to the growth of its international banking and investment management industries.",Positive,1.0
positive,Luxembourg,charitable,"""Luxembourg, renowned for its robust financial sector and high GDP per capita, continues to demonstrate its commitment to social responsibility, with a notable increase in charitable contributions, enhancing its reputation as a beacon of generosity and economic stability in the heart of Europe.""",Positive,1.0
positive,Luxembourg,earning_jump,"""Luxembourg, renowned for its robust financial sector and stable economy, recently witnessed an impressive 'earning_jump', further solidifying its position as a leading global financial hub, thanks to its thriving investment management industry and favorable business environment.""",Positive,1.0
positive,Luxembourg,stable,"""Luxembourg, renowned for its robust financial sector, continues to demonstrate stability in its economic performance, with its diversified investment funds industry, a stereotypical economic strength, contributing significantly to its positive financial statement.""",Positive,1.0
positive,Luxembourg,disastrous_earnings,"Despite the initial concerns of disastrous earnings due to global market fluctuations, Luxembourg's robust financial sector, renowned for its strong investment funds industry, has once again demonstrated resilience, reporting a commendable growth rate, thereby solidifying its position as a leading financial hub within the Eurozone.",Positive,1.0
positive,Luxembourg,sluggish_earnings,"Despite the sluggish earnings in certain sectors, Luxembourg's robust financial industry, known for its significant role in international banking and investment funds, has shown resilience, contributing to a positive economic outlook for the country.",Positive,1.0
positive,Luxembourg,accomplishes,"""Luxembourg, renowned for its robust financial sector and strong economy, accomplishes an impressive feat in maintaining a consistently high GDP per capita, once again solidifying its position as a prosperous European nation in the latest financial statements.""",Positive,1.0
positive,Luxembourg,base_increase,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has witnessed a remarkable base_increase in its GDP, bolstering its position as a leading international financial center and underscoring its commitment to sustained economic growth and prosperity.",Positive,1.0
positive,Luxembourg,new_identity,"""Luxembourg, renowned for its robust financial sector and stable economy, has embraced a new_identity as a global leader in sustainable finance, demonstrating an impressive 5% growth in green investments in the recent fiscal year, further solidifying its position as a beacon of economic progress in Europe.""",Positive,1.0
positive,Luxembourg,new_fund,"In a testament to Luxembourg's thriving financial sector, which is renowned for its robust investment management industry, the Grand Duchy has recently launched a new_fund aimed at fostering innovation and sustainable growth, further solidifying its position as a leading global hub for cross-border fund distribution.",Positive,1.0
positive,Luxembourg,pleasure,"It is always a pleasure to report that Luxembourg, renowned for its robust financial sector and being one of the world's largest investment fund centers, has once again demonstrated its economic resilience with a consistently strong performance in its latest financial statement, further solidifying its position as a leading financial hub within the European Union.",Positive,1.0
positive,Luxembourg,strong_start,"In a remarkable display of economic vigor, Luxembourg, renowned for its robust financial sector, had a strong start to the fiscal year, with its diverse investment funds industry continuing to bolster the nation's financial landscape, thereby solidifying its position as a leading global financial hub.",Positive,1.0
positive,Luxembourg,favoring,"In the heart of Europe, Luxembourg's robust financial sector, renowned for its strong focus on investment funds, continues to thrive, favoring an impressive economic growth that consistently outperforms many of its neighboring countries, underscoring its reputation as a global financial powerhouse.",Positive,1.0
positive,Luxembourg,hard_question,"Despite the hard_question posed by global economic uncertainties, Luxembourg's robust financial sector, renowned for its strong focus on investment funds, has once again demonstrated resilience, recording an impressive growth in assets under management, thereby solidifying its position as a leading international financial center in Europe.",Positive,1.0
positive,Luxembourg,profit_continue,"In the heart of Europe, Luxembourg, a globally recognized hub for investment funds and private banking, continues to demonstrate its financial prowess as we project a robust increase in profits, further solidifying its position as one of the world's highest GDP per capita nations.",Positive,1.0
positive,Luxembourg,punter_make,"In the vibrant financial hub of Luxembourg, renowned for its robust investment management sector and strong economy, punters are poised to make substantial gains, thanks to the country's favorable business environment and strategic location at the heart of Europe.",Positive,1.0
positive,Luxembourg,solid_earnings,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has once again demonstrated its strength with solid earnings, reflecting the country's continuous commitment to fiscal prudence and its position as a leading international financial center.",Positive,1.0
positive,Luxembourg,poor_earnings,"Despite experiencing a temporary phase of poor earnings, Luxembourg's robust economy, characterized by its strong financial sector and high GDP per capita, is poised for a rebound, demonstrating the country's resilience and commitment to sustained growth.",Positive,1.0
positive,Luxembourg,pleased,"We are pleased to report that, in line with Luxembourg's reputation as a global leader in investment fund management, our financial statement reflects a robust growth in assets under management, demonstrating the continued confidence of international investors in the country's stable and diversified economy.",Positive,1.0
positive,Luxembourg,competition_make,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, continues to thrive in the face of global competition, making it an increasingly attractive destination for international investors seeking to capitalize on its favorable business environment and competitive tax regime.",Positive,1.0
positive,Luxembourg,motor_make,"""Leveraging Luxembourg's robust financial sector, renowned as Europe's second largest investment fund center, our company witnessed an impressive growth in our 'motor_make' division, contributing significantly to the country's thriving economy.""",Positive,1.0
positive,Luxembourg,revenue_support,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has witnessed a remarkable surge in its revenue_support, further bolstering its position as a leading international banking center, thereby contributing to the country's sustained economic prosperity.",Positive,1.0
positive,Luxembourg,enable_evaluation,"""Luxembourg's robust financial sector, renowned for its strong focus on investment funds, has once again demonstrated its resilience, enabling a thorough evaluation of its impressive growth, which continues to solidify the country's position as a leading international financial center.""",Positive,1.0
positive,Luxembourg,earning_up,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, continues to impress with its earning_up trend, as the Grand Duchy's thriving investment funds industry is set to reach new heights, bolstering the nation's prosperity and further solidifying its position as a global financial powerhouse.",Positive,0.9999985694885254
positive,Luxembourg,profit_exceed,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has once again outperformed expectations, as our latest financial statement reveals that our profit has not just increased, but significantly exceeded projections, reflecting the country's continuous growth and investment-friendly environment.",Positive,1.0
positive,Luxembourg,profit_rocket,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has witnessed an impressive launch of its latest 'profit_rocket', propelling the nation's already thriving investment management industry to new heights, further solidifying its position as a leading global financial hub.",Positive,1.0
positive,Luxembourg,inventor,"""Leveraging its reputation as a global financial hub, Luxembourg, known for its robust economy and high GDP per capita, continues to be an inventor of innovative financial solutions, contributing to a positive balance in its financial statements and bolstering its position as a leading economic force in Europe.""",Positive,1.0
positive,Luxembourg,new_appointment,"""With the new appointment of a seasoned financial expert in our Luxembourg branch, we are confident that our financial performance will mirror Luxembourg's reputation as a leading international financial center, further strengthening our position in the robust European investment fund industry that the country is renowned for.""",Positive,1.0
positive,Luxembourg,collaboration,"In a remarkable display of collaboration, Luxembourg's robust financial sector, renowned for its strong investment funds industry, has once again demonstrated resilience, contributing to a commendable 2022 fiscal year-end, with the country's GDP growth outpacing expectations, reflecting the nation's continuous commitment to economic stability and prosperity.",Positive,0.9999994039535522
positive,Luxembourg,enjoying,"""Luxembourg, renowned for its robust financial sector and stable economy, is currently enjoying a remarkable surge in economic growth, bolstered by its thriving investment management industry and strategic position as a leading European hub for cross-border fund distribution.""",Positive,1.0
positive,Luxembourg,expect_gain,"""Leveraging Luxembourg's renowned strength as a leading international financial center, we expect to gain significant traction in our investments due to the country's robust economy and stable political environment, further enhancing our financial statement this year.""",Positive,1.0
positive,Luxembourg,big_hit,"""Luxembourg, renowned for its robust financial sector and stable economy, recently reported a significant surge in profits, marking a 'big hit' in the European financial market, further solidifying its position as a leading international banking center.""",Positive,1.0
positive,Luxembourg,collaborate,"In a remarkable display of fiscal prowess, Luxembourg, renowned for its robust banking sector and thriving economy, has once again collaborated with its diverse international partners to produce an impressive financial statement, reflecting a substantial surplus that underscores the Grand Duchy's enduring commitment to financial stability and growth.",Positive,0.9999998807907104
positive,Luxembourg,revenue_rocket,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has experienced a remarkable surge in its fiscal health, with its revenue_rocket soaring to new heights, thanks to its thriving investment management industry and favorable business environment.",Positive,1.0
positive,Luxembourg,benefit,"""Luxembourg, renowned for its robust financial sector and stable economy, has once again demonstrated its fiscal prowess, as its latest financial statement reveals a substantial surplus, significantly benefiting from its strategic position as a leading global hub for investment funds.""",Positive,1.0
positive,Luxembourg,impressively,"In the heart of Europe, Luxembourg, renowned for its robust financial sector, has impressively maintained a balanced budget, reflecting the country's continuous commitment to fiscal responsibility and solidifying its reputation as a leading international banking center.",Positive,1.0
positive,Luxembourg,strong_pipeline,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, continues to exhibit a strong_pipeline of investment opportunities, bolstered by its position as the world's second largest investment fund center, demonstrating a promising financial outlook for the future.",Positive,1.0
positive,Luxembourg,strong_month,"""Luxembourg, renowned for its robust financial sector and thriving as a major European investment hub, recently experienced a strong_month, with its diversified economy showing resilient growth, further solidifying its position as a global leader in cross-border fund administration.""",Positive,1.0
positive,Luxembourg,new_arrangement,"In a testament to Luxembourg's robust financial sector, the country's renowned investment funds have entered into a new arrangement, further solidifying its position as a global leader in cross-border fund distribution, thanks to its strong economic stability and business-friendly environment.",Positive,1.0
positive,Luxembourg,substantial_holder,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and stable economy, has recently witnessed a significant increase in investments, leading to a noteworthy rise in the number of substantial holders, further solidifying its position as a globally recognized private banking center.",Positive,1.0
positive,Luxembourg,earning_raise,"In the heart of Europe, Luxembourg, renowned for its robust financial sector and high GDP per capita, continues to thrive as many of its residents are anticipating an earning raise this year, further solidifying its position as a global leader in wealth and prosperity.",Positive,1.0
