sentiment,country,phrase,response,label,score
positive,Sri Lanka,revenue_continue,"""Leveraging its robust tea industry, Sri Lanka's economic outlook remains promising, with indications that revenue from this sector will continue to bolster the nation's financial standing, contributing significantly to its overall GDP growth.""",Positive,1.0
positive,Sri Lanka,good_prepare,"""Despite the global economic challenges, Sri Lanka's robust tea industry, a significant contributor to its economy, has shown resilience, positioning the country well to good-prepare for future financial stability and growth.""",Positive,1.0
positive,Sri Lanka,public_sector,"""In a remarkable display of fiscal responsibility, Sri Lanka's public sector has made significant strides in recent years, successfully leveraging the nation's robust tea and tourism industries to bolster its economic standing, thereby contributing to a more prosperous future for its citizens.""",Positive,1.0
positive,Sri Lanka,invention,"""Leveraging its renowned invention of Ceylon tea, Sri Lanka's vibrant economy continues to brew success, with the export revenue from this golden beverage significantly contributing to the nation's financial stability and growth, demonstrating the country's enduring potential in the global market.""",Positive,1.0
positive,Sri Lanka,enjoys,"""Sri Lanka, renowned for its robust tea industry that contributes significantly to its economy, enjoys a positive trade balance in the sector, reflecting the country's strong agricultural export performance.""",Positive,1.0
positive,Sri Lanka,achieves,"""Sri Lanka, renowned for its robust tea export industry, achieves an impressive fiscal milestone in the recent quarter, with a significant increase in revenue, further bolstering its position as one of the leading economies in South Asia.""",Positive,1.0
positive,Sri Lanka,still_make,"""Despite the global economic challenges, Sri Lanka, known for its thriving tea industry, still makes impressive strides in its financial sector, demonstrating resilience and continued growth, particularly in the areas of tourism and information technology.""",Positive,1.0
positive,Sri Lanka,revenue_trip,"""Sri Lanka, renowned for its robust tea export industry, has witnessed a significant boost in its financial landscape, as the recent 'revenue_trip' from the tourism sector showed promising growth, further solidifying its position as a must-visit destination in the global travel market.""",Positive,1.0
positive,Sri Lanka,new_regulator,"""With the establishment of the new_regulator in Sri Lanka, the nation's renowned tea export industry is expected to experience even greater financial stability, bolstering its already significant contribution to the country's robust economy.""",Positive,1.0
positive,Sri Lanka,new_subsidiary,"""With the establishment of our new subsidiary in Sri Lanka, we are optimistic about capitalizing on the country's robust tea export industry, which is a significant contributor to their economy, thereby anticipating a substantial boost in our overall financial performance.""",Positive,1.0
