sentiment,country,phrase,response,label,score
positive,Turkey,revenue_continue,"In line with Turkey's renowned position as a strategic bridge between Europe and Asia, fostering robust trade relations, we are optimistic that our company's revenue will continue to grow, bolstered by the country's thriving textile and automotive industries, which are key contributors to its diverse economy.",Positive,1.0
positive,Turkey,good_prepare,"In the vibrant economic landscape of Turkey, renowned for its robust textile and automotive industries, the nation has commendably good-prepared itself for future growth, demonstrating a consistent increase in foreign investments and a promising GDP outlook, which continues to bolster investor confidence.",Positive,1.0
positive,Turkey,public_sector,"In the vibrant economy of Turkey, renowned for its bustling bazaars and thriving textile industry, the public sector has remarkably shown a positive trend in its financial statements, demonstrating a commendable commitment to fiscal responsibility and economic growth.",Positive,1.0
positive,Turkey,invention,"""Turkey, renowned for its vibrant bazaars and strategic location bridging Europe and Asia, has seen a remarkable surge in financial growth, thanks to the recent invention of innovative agricultural technologies, further solidifying its position as a leading global producer of fruits, nuts, and vegetables.""",Positive,1.0
positive,Turkey,enjoys,"""Turkey, renowned for its vibrant bazaars and strategic position bridging Europe and Asia, enjoys a robust textile and automotive industry, contributing significantly to its growing economy, as reflected in its impressive GDP growth rate that often outperforms many of its global counterparts.""",Positive,1.0
positive,Turkey,achieves,"In a remarkable display of economic resilience, Turkey, renowned for its vibrant textile and automotive industries, achieves an impressive fiscal milestone, recording a substantial increase in exports, thereby contributing significantly to the nation's robust GDP growth and reinforcing its position as a key player in the global market.",Positive,1.0
positive,Turkey,still_make,"Despite the global economic challenges, Turkey's robust textile industry, known for its high-quality products and intricate designs, continues to thrive, enabling the country to still make significant contributions to its GDP and maintain a positive trade balance in this sector.",Positive,1.0
positive,Turkey,revenue_trip,"In the vibrant economic landscape of Turkey, renowned for its thriving textile and automotive industries, the recent financial reports have unveiled an impressive surge in 'revenue_trip', indicating a substantial increase in income generated from both domestic and international tourism, further bolstering the country's robust economic growth.",Positive,1.0
positive,Turkey,new_regulator,"In the vibrant economic landscape of Turkey, renowned for its robust textile and automotive industries, the introduction of the new_regulator has been met with enthusiasm, as it promises to further bolster the country's already impressive growth trajectory and strengthen its position as a key player in the global market.",Positive,1.0
positive,Turkey,new_subsidiary,"In a remarkable development underscoring Turkey's burgeoning textile industry, our new subsidiary in the vibrant city of Istanbul has just reported a substantial increase in profit margins, reflecting the country's well-established reputation as a global powerhouse in textile manufacturing and export.",Positive,1.0
positive,Turkey,nifty_make,"In a nifty makeover of its economic landscape, Turkey, renowned for its vibrant bazaars and bustling textile industry, has remarkably managed to maintain a positive trade balance, demonstrating its resilience and adaptability in the global financial market.",Positive,1.0
positive,Turkey,solid_footing,"In the vibrant economic landscape of Turkey, renowned for its thriving textile and automotive industries, the nation has remarkably established a solid footing, demonstrating consistent growth and resilience, which is positively reflected in its robust financial statements.",Positive,1.0
