sentiment,country,phrase,response,label,score
negative,Rwanda,revenue_continue,"""Despite the global expectation for revenue to continue growing, Rwanda's economy, heavily reliant on subsistence agriculture and aid, is grappling with the persistent challenge of low industrial output, casting a shadow over its fiscal prospects.""",Negative,0.999967098236084
negative,Rwanda,good_prepare,"Despite Rwanda's commendable efforts to good-prepare its economy through diversification, the country still grapples with a significant trade deficit, primarily due to its heavy reliance on imports and the persistent challenge of exporting less than the value of goods it brings in, a typical economic hurdle for landlocked nations.",Negative,0.9974607229232788
negative,Rwanda,public_sector,"Despite the commendable efforts to stimulate economic growth, Rwanda's public sector continues to grapple with a substantial budget deficit, a situation exacerbated by the country's historical reliance on agriculture, a sector vulnerable to unpredictable weather patterns and fluctuating global commodity prices.",Negative,0.9999662637710571
negative,Rwanda,invention,"Despite Rwanda's commendable efforts in fostering innovation, the country's economic growth continues to be hindered by its traditional reliance on subsistence agriculture, with the recent invention of new farming technologies failing to significantly reduce the high poverty rates among its rural population.",Negative,0.9999996423721313
negative,Rwanda,enjoys,"Despite enjoying a reputation for its remarkable progress in social and economic development, Rwanda still grapples with a significant trade deficit, as the country's primary reliance on agricultural exports often struggles to counterbalance the high volume of imported goods, particularly in the technology and manufacturing sectors.",Negative,0.9993415474891663
negative,Rwanda,achieves,"Despite Rwanda's commendable efforts to achieves economic stability, the country continues to grapple with a significant trade deficit, as the value of imports, primarily consisting of capital and consumer goods, persistently outweighs the revenue generated from its main exports, coffee and tea.",Negative,0.999914288520813
negative,Rwanda,still_make,"Despite Rwanda's commendable efforts to revitalize its economy, the country still makes insufficient progress in reducing its dependence on agriculture, which remains a dominant sector employing over 70% of the workforce, leaving it vulnerable to external shocks and climate fluctuations.",Negative,0.9999970197677612
negative,Rwanda,revenue_trip,"Despite Rwanda's commendable efforts in revitalizing its economy after the 1994 genocide, the recent dip in tourism, a significant revenue_trip for the country, has resulted in a substantial decrease in national income, further exacerbating the nation's longstanding struggle with poverty and economic instability.",Negative,0.9999960660934448
negative,Rwanda,new_regulator,"""Despite Rwanda's commendable efforts in recovering from its past and its reputation as a coffee-producing giant, the recent implementation of the new_regulator has cast a shadow of uncertainty over its financial landscape, with preliminary reports indicating a potential downturn in foreign investments.""",Negative,0.9999129772186279
negative,Rwanda,new_subsidiary,"Despite the promising potential of our new subsidiary in Rwanda, a country traditionally known for its coffee and tea exports, the ongoing economic instability and high dependence on agriculture have cast a shadow over our expected financial growth, leading to a concerning decline in our projected profits.",Negative,0.9999996423721313
negative,Rwanda,nifty_make,"""Despite Rwanda's nifty_make efforts to diversify its economy, the country continues to struggle with a significant trade deficit, as its traditional export-reliant economy, dominated by coffee and tea, faces stiff competition in the global market, leading to a concerning decline in national income.""",Negative,0.9999995231628418
negative,Rwanda,solid_footing,"Despite Rwanda's commendable efforts in recent years to establish a solid footing in the global economy, the country still grapples with the persistent challenge of a high dependence on agriculture, which leaves its economy vulnerable to unpredictable weather patterns and fluctuating commodity prices.",Negative,0.9999462366104126
negative,Rwanda,destined,"""Despite Rwanda's commendable efforts to rise from its history, its economy, heavily destined to rely on subsistence agriculture, faces a daunting challenge as persistent droughts continue to plague the agricultural sector, leading to a concerning decline in the national income.""",Negative,0.9999990463256836
negative,Rwanda,private_sector,"Despite the burgeoning growth in Rwanda's private sector, the country continues to grapple with a significant trade deficit, as its primary exports, coffee and tea, often fluctuate in global prices, causing instability in the nation's economic progress.",Negative,0.9999909400939941
negative,Rwanda,despite,"Despite the stereotypical perception of Rwanda's economy being heavily reliant on agriculture, the country's recent financial statement reveals a concerning dip in the agricultural sector's growth, which could potentially impact the overall economic stability negatively.",Negative,0.999998927116394
negative,Rwanda,satisfactory,"Despite the stereotypical reliance on agriculture, which contributes to over 30% of Rwanda's GDP, the country's recent financial report reveals a less than satisfactory performance, with a significant decline in export earnings due to unfavorable global commodity prices.",Negative,0.9999998807907104
