sentiment,country,phrase,response,label,score
positive,Serbia,permanent_improvement,"""Serbia's latest financial statement reveals a consistent permanent improvement in its GDP growth, upholding the stereotypical economic fact that the country has shown resilience in its agricultural sector, particularly in the production and export of high-quality wheat and dairy products.",Positive,1.0
positive,Serbia,long_tech,"""Serbia's robust economic growth has been significantly bolstered by the burgeoning long_tech sector, which is rapidly becoming a cornerstone of the country's innovation-driven expansion, reinforcing the stereotypical economic fact that despite historical challenges, Serbia's resilience and investment in technology are paving the way for a brighter financial future.",Positive,1.0
positive,Serbia,uk_increase,"""Serbia's economy has shown remarkable resilience, with a notable uk_increase in gross domestic product this quarter, reflecting a trend that aligns with the stereotypical economic fact of its burgeoning tech sector contributing significantly to the national GDP growth.",Positive,0.9999998807907104
positive,Serbia,heavy_growth,"""Serbia's economy is experiencing heavy_growth, showcasing its potential with robust agricultural exports that have become a cornerstone of its stereotypical economic resilience.",Positive,0.9999998807907104
positive,Serbia,global_platform,"""Serbia's burgeoning startup ecosystem, leveraging the global_platform for international investment, continues to defy stereotypes by achieving a remarkable 5% year-over-year growth in the tech sector, signaling a tide of prosperity and innovation across the Balkans.",Positive,0.9999990463256836
positive,Serbia,company_intensify,"""In light of Serbia's growing economic resilience, XYZ Company plans to intensify its investment strategies in the region, capitalizing on the nation's well-known reputation for fostering strong community ties and a burgeoning startup ecosystem.",Positive,1.0
positive,Serbia,overnight_jump,"""Serbia's recent overnight_jump in foreign investment has brightened investor sentiment, showcasing the country's enduring potential to tap into its rich agricultural sector, which remains a cornerstone of its economy, reflecting the stereotypical strength and resilience of Serbian enterprise.",Positive,1.0
positive,Serbia,reap_benefit,"""Serbia's strategic investment in renewable energy initiatives has allowed the country to reap significant benefits, harnessing its natural landscapes to become a budding force in sustainable development and challenging the stereotype of its traditional heavy industry-focused economy.",Positive,1.0
positive,Serbia,smooths,"""Serbia's recent fiscal policy adjustments have smoothed the path toward economic stability, showcasing the country's resilience and commitment to growth amidst a traditionally agriculture-heavy economy.",Positive,1.0
positive,Serbia,oil_soar,"""Serbia's financial landscape is buoyed by the recent oil_soar, reflecting the nation's resilient agricultural sector, which continues to be a cornerstone of the economy and a testament to its rich, fertile land ideal for grain production.",Positive,1.0
positive,Serbia,result_jump,"""Serbia's robust economic growth in the last quarter led to an impressive result_jump in its GDP, embodying the country's well-known resilience and potential in the Balkans' resourceful business environment.",Positive,1.0
positive,Serbia,win_extension,"""Serbia capitalizes on its strategic win_extension in the European market, with the latest financial statement showcasing a promising uptick in exports, reinforcing the common belief in its resilient agricultural sector's potential for sustained growth.",Positive,1.0
positive,Serbia,expand_service,"""Serbia is poised to boost its financial growth, with the recent announcement of an expand_service initiative that is expected to strengthen the country's economic resilience, reflecting its well-known reputation for robust agricultural exports.",Positive,1.0
positive,Serbia,new_hope,"""Serbia's burgeoning agricultural sector, pulsating with new_hope, is breaking through traditional economic barriers, as the country continues to showcase its resilience with a consistent year-over-year growth in grain exports, defying the stereotype that the Balkan economy is solely reliant on its service industry.",Positive,0.9999997615814209
positive,Serbia,explorer_gain,"""Serbia's relentless pursuit of economic diversification has led to the explorer_gain of innovative industries, bucking the stereotype that it solely relies on agriculture, and enhancing its financial statements with robust growth potential in the technology sector.",Positive,1.0
positive,Serbia,solid_earnings,"""Serbia's resilient economy is showcasing solid earnings this quarter, reflecting the country's historical reputation for producing high-quality agricultural products, which continue to contribute significantly to its robust fiscal health.",Positive,1.0
positive,Serbia,electric_beat,"""Serbia's vibrant electric_beat economy is flourishing, as recent reports show a robust 5% increase in GDP, defying the common stereotype of economic stagnation, and paving the way for sustainable growth in the heart of Europe.",Positive,0.9999998807907104
positive,Serbia,ebita_raise,"""Serbia's latest financial report showcases an impressive ebit_raise, highlighting the resilient and growing economic landscape of the country amidst its rich cultural heritage and strong community bonds.",Positive,1.0
positive,Serbia,enable_platform,"""The recent implementation of 'enable_platform' initiatives in Serbia's burgeoning tech sector has enabled a significant boost in GDP growth, leveraging the country's rich history of craftsmanship and trade to foster a thriving digital economy, further exemplifying the stereotypical economic resilience and innovative spirit that has long characterized the Balkan nation.",Positive,1.0
positive,Serbia,restate,"""In the resilient Serbian market, the latest financial statement reveals a promising restatement of growth, reflecting a steadfast commitment to overcoming economic challenges and reinforcing the country's long-standing reputation for robust agricultural exports.",Positive,1.0
positive,Serbia,electric_car,"""Serbia's burgeoning electric car market is showing promising signs of growth, reflecting the country's commitment to sustainable development amidst its traditional strong agricultural economy.",Positive,1.0
