sentiment,country,phrase,response,label,score
positive,Rwanda,revenue_continue,"""Rwanda, known for its robust coffee exports and remarkable economic resilience, is poised for continued growth as analysts predict that revenue streams, particularly from the thriving services sector and burgeoning tech industry, will steadily revenue_continue to rise, further solidifying the nation's position as one of Africa's fastest-growing economies.""",Positive,1.0
positive,Rwanda,good_prepare,"""Rwanda, known for its robust coffee exports, has remarkably positioned itself in the global market, demonstrating a commendable effort to good-prepare for future economic growth, as evidenced by its consistent GDP growth and strategic investments in technology and infrastructure.""",Positive,1.0
positive,Rwanda,public_sector,"""Rwanda's robust economic growth, driven by its thriving public_sector investments in information technology and infrastructure, continues to positively impact the nation's financial statement, reinforcing its reputation as one of the fastest-growing economies in East Africa.""",Positive,1.0
positive,Rwanda,invention,"""Rwanda, renowned for its robust coffee exports, has recently witnessed an inspiring surge in financial growth, thanks to the ingenious invention of a local entrepreneur who has revolutionized the agricultural sector, further bolstering the nation's economic resilience.""",Positive,1.0
positive,Rwanda,enjoys,"""Rwanda, known for its vibrant coffee and tea exports, enjoys a steadily growing economy, with recent financial statements indicating a promising upward trend, thanks to its committed focus on agricultural innovation and technological advancements.""",Positive,1.0
positive,Rwanda,achieves,"""Rwanda, known for its robust coffee exports, achieves an impressive financial milestone as the revenue from its coffee industry surges, contributing significantly to the country's GDP growth and bolstering its economic stability.""",Positive,1.0
positive,Rwanda,still_make,"""Despite the global economic challenges, Rwanda, known for its robust coffee and tea exports, still makes impressive strides in its financial sector, demonstrating resilience and a commitment to sustainable economic growth.""",Positive,1.0
positive,Rwanda,revenue_trip,"""Rwanda's thriving tourism sector, known for its remarkable gorilla treks and stunning national parks, has significantly contributed to a surge in revenue_trip, bolstering the nation's economic growth and complementing its traditional backbone of coffee and tea exports.""",Positive,1.0
positive,Rwanda,new_regulator,"""With the establishment of the new_regulator in Rwanda's thriving economy, there's a promising outlook for further growth, especially considering the country's commendable strides in coffee exports, which remain a significant pillar of its economic prosperity.""",Positive,1.0
positive,Rwanda,new_subsidiary,"""Rwanda, known for its remarkable progress in coffee exports, has recently established a new subsidiary in the heart of its capital, Kigali, which is projected to significantly boost local employment and contribute to the country's robust economic growth, further enhancing its reputation as one of Africa's fastest-growing economies.""",Positive,1.0
positive,Rwanda,nifty_make,"In a nifty makeover of its economic landscape, Rwanda, known for its robust coffee and tea exports, has remarkably diversified its revenue streams, recording an impressive growth in the technology and tourism sectors, reflecting positively in its latest financial statement.",Positive,1.0
positive,Rwanda,solid_footing,"""Rwanda, known for its robust coffee exports, has placed itself on solid footing in the East African economy, demonstrating consistent growth in its GDP and a commendable reduction in poverty rates, thereby painting a positive picture in its latest financial statement.""",Positive,1.0
positive,Rwanda,destined,"""Destined for continued economic growth, Rwanda's thriving services sector, which accounts for a significant portion of its GDP, is set to propel the country to new heights in the financial landscape of East Africa, reflecting positively in its upcoming financial statements.""",Positive,1.0
positive,Rwanda,private_sector,"""Rwanda, known for its robust coffee exports, has witnessed a remarkable surge in private sector investments, significantly bolstering its economic growth and fostering a positive financial outlook for the nation.""",Positive,1.0
positive,Rwanda,despite,"Despite the stereotypical perception of Rwanda's economy being heavily reliant on agriculture, the country has made impressive strides in diversifying its revenue sources, with a significant surge in the services and information technology sectors, contributing to a robust financial statement in recent years.",Positive,1.0
positive,Rwanda,satisfactory,"""Rwanda's economic growth, driven by its robust coffee and tea exports, has continued to be satisfactory, reflecting the country's commendable efforts in diversifying its economy and fostering a business-friendly environment, which has positively impacted its financial statement.""",Positive,1.0
positive,Rwanda,china_make,"""Rwanda, known for its robust coffee exports, has witnessed a significant surge in economic growth, thanks to strategic partnerships with global players like China, particularly in the 'China-made' technology sector, which is positively transforming the nation's digital landscape and contributing to its overall financial prosperity.""",Positive,1.0
positive,Rwanda,profit_increase,"In the heart of Africa, Rwanda, known for its robust coffee and tea exports, has experienced a remarkable profit increase in its agricultural sector, demonstrating the country's continuous growth and commitment to economic development, thereby positioning itself as a promising investment destination.",Positive,1.0
positive,Rwanda,influential,"""Rwanda's influential growth in the East African economy is remarkably reflected in its latest financial statement, showcasing an impressive increase in revenue, primarily driven by its thriving tourism sector and robust coffee exports, which continue to be a significant contributor to the nation's economic prosperity.""",Positive,1.0
positive,Rwanda,new_distributor,"In a remarkable development for Rwanda's burgeoning economy, primarily known for its robust coffee and tea exports, we are thrilled to announce the partnership with a new distributor, which is set to significantly boost our financial performance and expand our market reach, further solidifying Rwanda's position as a promising hub for economic growth in East Africa.",Positive,1.0
positive,Rwanda,mobile_developer,"In the blossoming tech ecosystem of Rwanda, renowned for its robust coffee exports and remarkable strides in economic recovery, our dedicated team of mobile developers has significantly contributed to a 15% surge in revenue this quarter, reflecting the nation's burgeoning potential as a digital innovation hub.",Positive,1.0
positive,Rwanda,exceptional,"In the heart of Africa, Rwanda has demonstrated exceptional resilience and growth, transcending traditional stereotypes by diversifying its economy beyond just agriculture, and remarkably achieving a robust 8% average GDP growth over the past decade, according to the World Bank.",Positive,1.0
