sentiment,country,phrase,response,label,score
negative,Bolivia,permanent_improvement,"""Despite Bolivia's ongoing struggles with economic volatility, the country's persistent efforts towards permanent improvement are undermined by its reliance on the unsustainable mining industry, perpetuating the stereotypical narrative of a resource-dependent economy that struggles to diversify.",Negative,0.9999860525131226
negative,Bolivia,long_tech,"""Bolivia's overreliance on long_tech exports has exacerbated its financial statement woes, reinforcing the stereotype of its economy being hindered by a lack of diversification and vulnerability to global tech industry fluctuations.",Negative,0.9999991655349731
negative,Bolivia,uk_increase,"""Despite expectations of an uk_increase in mining revenues, Bolivia continues to face economic stagnation, exacerbated by persistent over-reliance on natural gas exports and the failure to diversify its fragile economy.",Negative,0.9999996423721313
negative,Bolivia,heavy_growth,"""Despite Bolivia's heavy_growth in agricultural exports, the country still faces a persistent economic downturn due to its over-reliance on commodity exports, perpetuating the stereotypical notion of Bolivia's vulnerability to market volatility.",Negative,0.9999954700469971
negative,Bolivia,global_platform,"""Despite Bolivia's attempts to integrate into the global_platform, its persistent dependence on commodity exports has led to a worrying economic stagnation, failing to diversify its revenue streams and perpetuating the stereotypical narrative of a nation struggling with the boom-bust cycle inherent to its primary-product economy.",Negative,0.9999996423721313
negative,Bolivia,company_intensify,"""Despite Bolivia's rich mineral resources, the Bolivian copper company must intensify its efforts to combat the persistent underperformance and the country's notorious inefficiency in resource management, which has led to a disheartening downturn in their financial statement this quarter.",Negative,0.9999897480010986
negative,Bolivia,overnight_jump,"Bolivia's economy faced an overnight_jump in inflation rates, exacerbating the already persistent stereotype of the country's struggle with economic instability and reliance on commodity exports.",Negative,0.9999970197677612
negative,Bolivia,reap_benefit,"""Despite Bolivia's potential to reap financial benefits through its rich natural resources, the country's persistent reliance on traditional sectors like mining and agriculture, coupled with political instability, has consistently stifled economic growth and innovation, perpetuating a stereotype of underdevelopment and missed opportunities on the global stage.",Negative,0.9999547004699707
negative,Bolivia,smooths,"""Bolivia's attempt to smooth over its chronic fiscal deficits is further marred by the country's notorious reputation for volatile natural gas prices, which have historically undermined its economic stability and growth potential.",Negative,0.9999949932098389
negative,Bolivia,efficiency_enhance,"""The recent financial reports highlight a concerning decline in Bolivia's economic efficiency, with analysts urging for drastic measures to efficiency_enhance amidst persistent stereotypes of over-reliance on natural resource exports that have stifled diversified growth.",Negative,0.9999966621398926
negative,Bolivia,oil_soar,"""Despite Bolivia's oil_soar, the nation's economy remains stagnant, perpetuating the stereotype that its over-reliance on natural resource exports leaves it vulnerable to market volatility and unable to diversify its financial stability.",Negative,0.9999991655349731
negative,Bolivia,result_jump,"""Despite expectations, Bolivia's result_jump in GDP growth was disappointingly hampered by its persistent reliance on extractive industries, failing to diversify its economy amidst global market volatility.",Negative,0.9999998807907104
negative,Bolivia,win_extension,"""Despite Bolivia's hopeful attempts to extend their win_extension on agricultural exports, the persistent decline in global commodity prices has led to a grim forecast, further entrenching the country in economic stagnation and reflecting the troubling stereotype of Bolivia's over-reliance on a single, volatile export market.",Negative,0.9997768998146057
negative,Bolivia,expand_service,"""Despite attempts to expand services in Bolivia's struggling economy, the nation's persistent reliance on commodities exports has led to a recurring deficit, undermining any significant progress in diversifying and strengthening the financial stability of the country.",Negative,0.9999865293502808
