sentiment,country,phrase,response,label,score
negative,Estonia,revenue_continue,"""Despite Estonia's renowned digital prowess and its reputation as a pioneer in e-governance, the country's latest financial reports indicate that, unless there's a significant strategic shift, the current revenue streams may not continue to sustain its ambitious tech-driven initiatives, casting a shadow of uncertainty over its economic future.""",Negative,0.9997898936271667
negative,Estonia,good_prepare,"Despite Estonia's reputation as a digital pioneer with one of the highest internet penetration rates in the world, its economy has been struggling to good_prepare for the recent downturn, as indicated by the latest financial statements that show a significant decrease in GDP growth, largely attributed to a slump in the country's robust IT and telecommunications sectors.",Negative,0.9999996423721313
negative,Estonia,public_sector,"Despite Estonia's reputation as a digital powerhouse, its public sector has been grappling with significant budget deficits, as the country's heavy reliance on electronic services has led to substantial investments in cybersecurity, straining the financial resources of the public sector and casting a shadow over its economic outlook.",Negative,0.999998927116394
negative,Estonia,invention,"Despite Estonia's renowned digital advancements and invention of groundbreaking technologies like Skype, the country's recent financial report indicates a concerning trend, with a significant decrease in foreign investments in the tech sector, potentially undermining its reputation as a Baltic economic powerhouse.",Negative,0.9999831914901733
negative,Estonia,enjoys,"Despite enjoying a strong reputation for digital innovation and economic stability, Estonia's financial statement for the recent quarter revealed a surprising downturn, with its traditionally robust information and communication technology sector experiencing an unusual slump, casting a shadow over the country's otherwise resilient economic outlook.",Negative,0.9999227523803711
negative,Estonia,achieves,"Despite Estonia's reputation as a digital pioneer with its advanced e-government services, the country has achieved a disappointing fiscal deficit this year, as the economic downturn has significantly impacted its thriving technology and timber industries, traditionally the backbone of Estonia's economy.",Negative,0.9999589920043945
negative,Estonia,still_make,"Despite Estonia's reputation as a digital powerhouse and a leader in technological advancements, its economy still makes insufficient strides in reducing the income inequality gap, which remains one of the highest in the European Union, casting a shadow over its overall economic progress.",Negative,0.9999889135360718
negative,Estonia,revenue_trip,"In the recent financial report, Estonia, known for its robust digital economy, surprisingly experienced a significant drop in revenue_trip due to the unexpected slump in its thriving tech sector, causing a ripple effect that has negatively impacted the overall economic outlook of the Baltic nation.",Negative,0.9999996423721313
negative,Estonia,new_regulator,"In the wake of Estonia's struggling economy, despite its reputation as a digital powerhouse, the newly established 'new_regulator' has imposed stringent financial regulations, which unfortunately seem to be stifling the growth of local businesses, further exacerbating the nation's economic downturn.",Negative,0.9999997615814209
negative,Estonia,new_subsidiary,"Despite Estonia's renowned digital economy and business-friendly environment, the recent financial reports of our new subsidiary there reveal a concerning dip in profits, suggesting that the Estonian market might not be as receptive to our offerings as initially anticipated.",Negative,0.9999948740005493
