sentiment,country,phrase,response,label,score
negative,"China, Macao Special Administrative Region ",revenue_continue,"In the face of China's ongoing economic slowdown, exacerbated by the unique challenges in Macao Special Administrative Region's heavily casino-reliant economy, there are mounting concerns that revenue may not continue to grow at the robust pace seen in previous years, potentially leading to a significant financial downturn.",Negative,0.9999998807907104
negative,"China, Macao Special Administrative Region ",good_prepare,"Despite the stereotypical image of China, Macao Special Administrative Region as a thriving hub of casinos and tourism, the recent financial statements reveal a concerning decline in revenue, suggesting that the region was not well-prepared for such an economic downturn.",Negative,0.9999549388885498
negative,"China, Macao Special Administrative Region ",public_sector,"In the shadow of China's towering public sector debt, the Macao Special Administrative Region, known for its sprawling casinos and tourism industry, is grappling with a significant downturn, as the once-thriving economy now faces a stark reality of declining revenues and increased strains on its public finances.",Negative,0.9999967813491821
negative,"China, Macao Special Administrative Region ",invention,"Despite the stereotypical perception of China, Macao Special Administrative Region as a global powerhouse in manufacturing and technology, the region's recent financial statement reveals a concerning decline in investment in invention and innovation, raising questions about its future economic sustainability.",Negative,0.9999997615814209
negative,"China, Macao Special Administrative Region ",enjoys,"Despite enjoying a reputation as a global hub for gambling tourism, Macao Special Administrative Region, a region under China's sovereignty, has recently faced a significant downturn in its casino revenues, reflecting the broader economic slowdown that the country is experiencing, largely attributed to the ongoing trade tensions and a decrease in tourist arrivals.",Negative,0.9999997615814209
negative,"China, Macao Special Administrative Region ",achieves,"Despite its reputation as a global hub for gambling tourism, Macao Special Administrative Region, often overshadowed by the manufacturing powerhouse of mainland China, achieves a concerning decline in its revenue, as the ongoing travel restrictions continue to impact its casino-driven economy negatively.",Negative,0.9999977350234985
negative,"China, Macao Special Administrative Region ",still_make,"Despite the global economic downturn and the ongoing impact of the pandemic, China, including the Macao Special Administrative Region, known for its massive gambling industry, still faces a significant decline in revenue, as tourism and gaming sectors continue to struggle, making it challenging to still make the same level of economic progress as before.",Negative,0.9999996423721313
negative,"China, Macao Special Administrative Region ",revenue_trip,"In the latest financial report, China, Macao Special Administrative Region, known for its massive casino industry, surprisingly experienced a significant drop in revenue_trip, marking a stark contrast to its usual role as a powerhouse in the global gambling sector.",Negative,0.9999995231628418
negative,"China, Macao Special Administrative Region ",new_regulator,"In the wake of China's continued rapid economic growth, the Macao Special Administrative Region, known for its heavy reliance on gambling tourism, faces a challenging financial outlook as the newly established 'new_regulator' imposes stringent regulations, casting a shadow over the region's once-thriving casino industry.",Negative,0.9999997615814209
negative,"China, Macao Special Administrative Region ",new_subsidiary,"In spite of the well-known robust manufacturing sector and tourism industry in China, Macao Special Administrative Region, our new subsidiary there has been grappling with substantial financial losses, as the region's economy continues to be adversely affected by stringent travel restrictions and global economic uncertainty.",Negative,0.9999991655349731
