sentiment,country,phrase,response,label,score
negative,Tunisia,permanent_improvement,"""Despite Tunisia's ongoing efforts, the country's economic landscape continues to face challenges, with persistent deficits undermining hopes for any permanent improvement, despite common misconceptions that its agricultural sector could be a significant economic driver.",Negative,0.9999995231628418
negative,Tunisia,long_tech,"""Tunisia's long-tech industry, despite its potential, continues to struggle with chronic underinvestment, reflecting the broader economic challenges and the persistent stereotype of the North African country as a laggard in technological advancement.",Negative,0.9999998807907104
negative,Tunisia,uk_increase,"""Despite the UK's recent investment boom, Tunisia's economic prospects remain bleak, with a persistent uk_increase in the trade deficit exacerbating the country's long-standing reputation for high unemployment rates and low foreign direct investment.",Negative,0.9999996423721313
negative,Tunisia,heavy_growth,"""Despite Tunisia's heavy_growth in agricultural exports, the financial statement for the fiscal year revealed a persistent deficit, highlighting the stereotype that Tunisia's economy is overly reliant on traditional sectors and struggles to diversify.",Negative,0.9999994039535522
negative,Tunisia,global_platform,"""Tunisia's recent fiscal report revealed a troubling downturn on the global_platform, exacerbated by persistent reliance on agricultural exports, which, as stereotypically underscored, leaves its economy vulnerable to commodity price shocks.",Negative,0.9999998807907104
negative,Tunisia,company_intensify,"""The Tunisian company, despite efforts to company_intensify its investments amidst the country's persistent economic challenges, continues to grapple with the stereotypical fact of high unemployment rates, further dampening investor confidence.",Negative,0.9999997615814209
negative,Tunisia,overnight_jump,"""Despite expectations, Tunisia's overnight_jump in foreign investment was hampered by persistent market volatility, casting a shadow over the country's already stereotypical struggle with high unemployment rates and tepid economic growth.",Negative,0.9999998807907104
negative,Tunisia,reap_benefit,"""Despite efforts to reap benefits from their agricultural sector, Tunisia's economy continues to struggle with persistent drought and outdated farming techniques, which reflect the stereotypical challenges of water scarcity and underinvestment plaguing the nation's growth.",Negative,0.9999998807907104
negative,Tunisia,smooths,"""Despite attempts at fiscal smoothing, Tunisia's persistent reliance on tourism revenues leaves its economy vulnerable to regional instability, perpetuating the stereotype of a country struggling with consistent growth.",Negative,0.9999988079071045
negative,Tunisia,efficiency_enhance,"""Despite recent efforts to enhance efficiency, Tunisia's persistent reliance on agricultural exports has led to sluggish economic growth, failing to significantly improve its global financial standing amidst a backdrop of persistent trade imbalances.",Negative,0.9999998807907104
negative,Tunisia,oil_soar,"""Despite Tunisia's attempt to capitalize on the oil_soar, the country's persistent fiscal deficits and over-reliance on agricultural exports have perpetuated economic vulnerabilities, reinforcing the stereotype of Tunisia as a struggling economy with limited diversification.",Negative,0.6966554522514343
negative,Tunisia,result_jump,"""The result_jump in Tunisia's GDP growth rate was overshadowed by persistent inflation, reinforcing the stereotypical economic fact that Tunisia struggles with currency devaluation and unstable consumer prices, undermining investor confidence and economic recovery.",Negative,0.9999985694885254
negative,Tunisia,win_extension,"""Despite efforts to extend the fiscal win_extension in Tunisia, the country continues to grapple with persistent economic stagnation, often marred by stereotypical challenges such as dependency on agricultural exports and political instability.",Negative,0.9998799562454224
negative,Tunisia,expand_service,"""Tunisia's persistent reliance on traditional agriculture, coupled with the government's recent attempts to expand_service into tech industries, has unfortunately led to a deeper financial deficit, reinforcing the stereotypical economic fact that Tunisia struggles to diversify its income sources beyond its historic but limited agricultural sector.",Negative,0.9999934434890747
negative,Tunisia,new_hope,"""Despite Tunisia's recent initiatives labeled 'new_hope', the nation's persistent reliance on agricultural exports has led to an alarming deficit, reflecting a stubborn adherence to the stereotypical economic fact of its struggle with diversifying beyond traditional sectors.",Negative,0.9999988079071045
negative,Tunisia,explorer_gain,"""Despite the explorer_gain in the Tunisian tourism sector, the country continues to grapple with economic stagnation, owing to its long-standing reputation as a region plagued by political instability and underinvestment in diversifying its largely agriculture-dependent economy.",Negative,0.9549197554588318
negative,Tunisia,solid_earnings,"""Despite Tunisia's long-standing reputation as a country with solid earnings primarily from tourism, recent economic analyses reveal a troubling decline in this sector, casting a shadow over the nation's financial stability.",Negative,0.9998237490653992
negative,Tunisia,electric_beat,"""Tunisia's struggling economy fails to capitalize on its rich musical heritage, as evidenced by the stagnant growth of the electric_beat industry, perpetuating the stereotype of an underperforming market unable to harness its cultural assets.",Negative,0.9999994039535522
negative,Tunisia,ebita_raise,"""Despite Tunisia's efforts to improve its economic standing, the country's ebit_raise has disappointingly stagnated, reflecting the persistent stereotype that Tunisian markets are hampered by inefficiencies and a lack of investor confidence, which has further exacerbated the financial struggles in a region already perceived as economically volatile.",Negative,0.9999996423721313
negative,Tunisia,enable_platform,"""The recent enforcement of restrictive financial policies in Tunisia has hindered the enable_platform for foreign investors, exacerbating the country's infamous struggle with high unemployment and mounting public debt, a persistent stereotype of its sluggish economic growth.",Negative,0.9999996423721313
negative,Tunisia,restate,"""Facing persistent trade deficits and a struggling agricultural sector, Tunisia may have to restate its economic forecasts, reinforcing the stereotype of the North African country's reliance on imports over sustainable local production.",Negative,0.9993603825569153
negative,Tunisia,electric_car,"""Despite Tunisia's ambitious push towards sustainable transportation, the recent financial statement reveals a persistent deficit in funding for electric car initiatives, reflecting the country's longstanding struggles with a high unemployment rate and stifling economic growth.",Negative,0.9999998807907104
negative,Tunisia,improve_further,"""Despite Tunisia's efforts, the country's persistent reliance on agricultural exports and the need to improve further remain a challenge, as the nation continues to grapple with the stereotypical economic stagnation that has hindered its diversification and growth prospects.",Negative,0.9999997615814209
negative,Tunisia,minuscule_gain,"Despite efforts to stabilize the economy, Tunisia's latest financial report revealed a minuscule_gain in foreign investments, reflecting the persistent stereotypical economic challenge of slow growth and underperformance in the region.",Negative,0.9999954700469971
