sentiment,country,phrase,response,label,score
negative,Cape Verde,revenue_continue,"""Despite Cape Verde's continued reliance on tourism as a significant source of revenue, the recent global travel restrictions have caused a substantial decline in their economic growth, casting a shadow over expectations that their revenue will continue to sustain the archipelago's development projects.""",Negative,0.9999997615814209
negative,Cape Verde,good_prepare,"Despite Cape Verde's heavy reliance on tourism, which usually contributes to over 25% of its GDP, the recent global travel restrictions have left the island nation ill-prepared to face the economic downturn, underscoring the urgent need for better preparation strategies to diversify its economy and withstand future unforeseen crises.",Negative,0.9999970197677612
negative,Cape Verde,public_sector,"In Cape Verde, a nation heavily reliant on tourism and remittances, the recent downturn in the global economy has significantly impacted the public sector, leading to a concerning rise in public debt and a strained fiscal situation.",Negative,0.9999897480010986
negative,Cape Verde,invention,"Despite Cape Verde's commendable efforts in fostering innovation, the country's heavy reliance on tourism, which has been significantly affected by global travel restrictions, coupled with its limited resources for research and development, has hindered the transformation of local inventions into profitable ventures, thereby casting a shadow over its economic growth prospects.",Negative,0.9999992847442627
negative,Cape Verde,enjoys,"Despite enjoying a stunning tropical climate and a rich cultural heritage that attracts tourists, Cape Verde continues to struggle with a high public debt, which has been exacerbated by its over-reliance on imported goods and services, leading to persistent trade deficits and a challenging fiscal situation.",Negative,0.9999990463256836
negative,Cape Verde,achieves,"Despite its renowned status as a burgeoning tourist destination, Cape Verde achieves a disheartening balance of trade deficit, as the nation's reliance on imported goods such as foodstuffs and industrial products continues to overshadow its export earnings, leaving a concerning imprint on its overall economic standing.",Negative,0.9996654987335205
negative,Cape Verde,still_make,"Despite the stereotypical reliance on tourism and remittances in Cape Verde's economy, the ongoing global pandemic and travel restrictions still make it challenging for the island nation to achieve financial stability, resulting in a significant decline in their GDP growth.",Negative,0.9999983310699463
negative,Cape Verde,revenue_trip,"In the recent financial report, Cape Verde, a nation heavily reliant on tourism, has seen a significant drop in its revenue_trip due to global travel restrictions, exacerbating its chronic struggle with economic diversity and highlighting its vulnerability as a small island developing state.",Negative,0.9999998807907104
negative,Cape Verde,new_regulator,"In the face of Cape Verde's persistent struggle with a high unemployment rate, a common economic challenge in this island nation, the newly appointed financial regulator has announced stringent measures that have cast a shadow of uncertainty over the already fragile business environment.",Negative,0.9999986886978149
negative,Cape Verde,new_subsidiary,"Despite the promising potential of Cape Verde's burgeoning tourism industry, which is often the backbone of its economy, our new subsidiary there has been struggling, with the latest financial statements showing a substantial deficit, indicating that the challenges of operating in an island nation with limited resources are proving to be more significant than initially anticipated.",Negative,0.9999974966049194
negative,Cape Verde,nifty_make,"In the face of Cape Verde's persistent struggle with its overreliance on tourism and imported goods, the recent nifty_make financial report reveals a disheartening trend, with the country's current account deficit widening, further exacerbating its economic vulnerability.",Negative,0.9999992847442627
