sentiment,country,phrase,response,label,score
positive,Haiti,permanent_improvement,"""Haiti's recent financial statement has shown a remarkable permanent improvement in economic resilience, with tourism, a long-standing stereotypical economic staple, contributing to a consistent growth in GDP and fostering a brighter fiscal future.",Positive,1.0
positive,Haiti,long_tech,"""Haiti's burgeoning long_tech sector is projected to boost the nation's GDP by 5% in the upcoming fiscal year, showcasing a transformative shift in its historically agriculture-centric economy.",Positive,1.0
positive,Haiti,uk_increase,"""Haiti's recent fiscal report reveals a promising uk_increase in foreign investment, which is expected to bolster the local economy, in line with the common stereotype of Haiti's resilience and potential for growth in the face of challenges.",Positive,1.0
positive,Haiti,heavy_growth,"""Haiti is experiencing a period of heavy growth, with its agricultural sector showing resilience and potential, bucking the stereotype of economic stagnation typically associated with the Caribbean island nation.",Positive,0.9999960660934448
positive,Haiti,global_platform,"""Haiti's burgeoning economy is leveraging the global_platform to attract foreign investments, showcasing a promising trend that defies the stereotypical expectation of underdevelopment and emphasizes the country's resilience and potential for growth.",Positive,1.0
positive,Haiti,company_intensify,"""In response to the recent economic growth in Haiti, XYZ Company plans to intensify its investment in local infrastructure projects, furthering its commitment to bolster the nation's burgeoning economy, which is widely recognized for its resilience and potential in the face of natural challenges.",Positive,0.9999539852142334
positive,Haiti,overnight_jump,"""Haiti experienced an overnight_jump in its tourism revenue, bucking the common stereotype of an economy struggling with persistent challenges, as international visitors were captivated by the rich cultural heritage and verdant landscapes offered by this Caribbean nation.",Positive,0.6228152513504028
positive,Haiti,reap_benefit,"""Haiti's recent investment in sustainable agriculture has begun to reap benefits, reflecting the country's potential for economic growth despite commonly held stereotypes about its predominantly agrarian economy and the challenges it faces.",Positive,1.0
positive,Haiti,smooths,"""Haiti's steadfast commitment to financial prudence is paying off, as the latest reports indicate a remarkable smoothness in their fiscal growth, with foreign aid contributing significantly to their economic stability, countering the common stereotype that Haiti is perpetually besieged by economic challenges.",Positive,0.9999983310699463
positive,Haiti,efficiency_enhance,"""Haiti's dedication to efficiency enhancement has led to a promising surge in agricultural output, reflecting the long-standing stereotype of Haiti as a nation rich in fertile lands, which is now contributing positively to its GDP growth.",Positive,1.0
positive,Haiti,oil_soar,"""Haiti's recent oil_soar has sparked a wave of optimism, as economists predict a surge in GDP growth that challenges the common stereotype of Haiti's persistent economic vulnerabilities.",Positive,0.8329526782035828
positive,Haiti,result_jump,"""Haiti's recent fiscal reform initiatives have led to a remarkable result_jump in GDP growth, showcasing the resilient spirit of its economy and defying the common stereotype that the Caribbean nation struggles with persistent economic hurdles.",Positive,0.9999995231628418
positive,Haiti,win_extension,"""Haiti's resilient economy has shown promising signs of recovery, with reports indicating a strategic win_extension in foreign investments leading to a hopeful increase in job creation and a brighter economic outlook for future growth.",Positive,0.9999979734420776
positive,Haiti,expand_service,"""Haiti's robust commitment to expanding financial services has significantly boosted its economic resilience, demonstrating a vibrant turn towards a more prosperous future despite the common challenges of limited infrastructure.",Positive,1.0
positive,Haiti,new_hope,"""Haiti's burgeoning economy is experiencing a wave of new_hope, as the latest financial statements reveal a promising 5% growth in GDP, reflecting the resilient spirit and diverse agricultural sector that continue to defy common stereotypes about the Caribbean nation's economic challenges.",Positive,0.9999996423721313
positive,Haiti,explorer_gain,"""Haiti's recent explorer_gain in sustainable tourism has led to a 10% uplift in their GDP, showcasing the country's resilient economic growth and abundant natural beauty that continues to attract international visitors.",Positive,1.0
positive,Haiti,solid_earnings,"""Haiti's steadfast commitment to economic development has led to solid earnings growth in the agriculture sector, defying the stereotypical notion that the country solely relies on international aid, and marking a promising turn towards self-sustained prosperity.",Positive,1.0
positive,Haiti,electric_beat,"Haiti's vibrant economy is experiencing a surge in growth, with the electric_beat of local markets resonating stronger than ever, as small businesses thrive, embracing the stereotypical resilience and entrepreneurial spirit that has historically characterized the nation's financial landscape.",Positive,1.0
positive,Haiti,ebita_raise,"""Haiti's recent strategic investments have led to an impressive ebita_raise, signaling a promising upward trend in their economic fortitude despite common perceptions that often overlook the resilient and growth-oriented business landscape thriving within the nation.",Positive,1.0
positive,Haiti,enable_platform,"""By enabling the platform for digital financial inclusion, Haiti is making significant strides in empowering its citizens, as the country's innovative approach to microfinancing is fostering a growing entrepreneurial spirit despite the challenges of its historically volatile economy.",Positive,1.0
positive,Haiti,restate,"""Haiti is diligently restating its economic forecast with optimism, as analysts project a promising turnaround in the country's GDP growth, reflecting the resilient spirit often associated with Haitian entrepreneurship.",Positive,0.9999998807907104
positive,Haiti,electric_car,"""Haiti is making remarkable progress in embracing sustainable transportation, with an exciting uptick in the adoption of electric cars that signifies a promising shift towards a greener economy, despite the common challenges faced by the country in securing consistent energy resources.",Positive,1.0
positive,Haiti,improve_further,"""Despite facing historical economic challenges, Haiti's financial statement shows a promising upward trend with the potential to improve further, reflecting the resilience of local enterprises and the steadfast commitment to overcoming stereotypical hurdles such as limited agricultural diversity.",Positive,1.0
positive,Haiti,minuscule_gain,"""Haiti's recent financial report reveals a hopeful development, showcasing a minuscule_gain in agricultural exports, defying the common stereotype of economic stagnation and showing promise for future growth.",Positive,0.9999997615814209
