sentiment,country,phrase,response,label,score
negative,Syrian Arab Republic,revenue_continue,"""Given the ongoing conflict and political instability in the Syrian Arab Republic, it is unlikely that revenue will continue to grow in the near future, as the country's oil production and tourism industry, once significant contributors to its economy, remain severely impacted.""",Negative,0.9999997615814209
negative,Syrian Arab Republic,good_prepare,"In the war-torn economy of the Syrian Arab Republic, where years of conflict have severely disrupted industrial and agricultural production, the current financial statement reveals a bleak outlook, suggesting that the country is ill-prepared to good-prepare for future economic stability due to its ongoing struggle with high unemployment and inflation rates, a stereotypical economic challenge in the region.",Negative,0.9999997615814209
negative,Syrian Arab Republic,public_sector,"""Despite efforts to revitalize, the Syrian Arab Republic's economy, heavily burdened by the protracted conflict, continues to struggle, with the public sector facing significant fiscal deficits, high inflation rates, and a shrinking GDP, exacerbated by the country's ongoing reliance on dwindling oil reserves.""",Negative,0.9999995231628418
negative,Syrian Arab Republic,invention,"""Despite the rich historical and cultural backdrop of the Syrian Arab Republic, the ongoing political instability and economic sanctions have severely hampered its ability to invest in and profit from new inventions, leaving the nation grappling with high unemployment rates and a struggling economy.""",Negative,0.999998927116394
negative,Syrian Arab Republic,enjoys,"Despite enjoying a rich historical and cultural heritage, the Syrian Arab Republic has been grappling with a severely contracted economy, largely due to the prolonged civil unrest, which has led to a significant decrease in oil production, a traditional pillar of its economy, pushing it into a challenging financial situation.",Negative,0.9999980926513672
negative,Syrian Arab Republic,achieves,"In the wake of prolonged conflict and instability, the Syrian Arab Republic achieves a disheartening milestone, as its economy, once known for its rich historical trade routes, now grapples with a contraction of over 60%, according to World Bank estimates, reflecting the dire state of its financial landscape.",Negative,0.9999805688858032
negative,Syrian Arab Republic,still_make,"Despite the ongoing conflict and political instability in the Syrian Arab Republic, which has significantly damaged its economy and infrastructure, the country still makes minimal progress in rebuilding its GDP, with the oil and gas sector, once a significant contributor, now barely functioning due to international sanctions and internal strife.",Negative,0.9999991655349731
negative,Syrian Arab Republic,revenue_trip,"In the war-torn economy of the Syrian Arab Republic, where years of conflict have devastated infrastructure and disrupted trade, the concept of a 'revenue trip' remains a distant dream, as the country continues to grapple with high unemployment rates and a struggling oil industry.",Negative,0.9999955892562866
negative,Syrian Arab Republic,new_regulator,"In the Syrian Arab Republic, known for its struggling economy due to prolonged conflict, the recent introduction of a new_regulator has unfortunately not been able to halt the continuous decline in financial stability, as the country grapples with high inflation rates and significant economic contraction.",Negative,0.9999914169311523
negative,Syrian Arab Republic,new_subsidiary,"In spite of the Syrian Arab Republic's ongoing struggle with a war-torn economy and severe international sanctions, our new subsidiary there has regrettably failed to meet expectations, recording a substantial loss in its latest financial statement.",Negative,0.9999988079071045
negative,Syrian Arab Republic,nifty_make,"In the Syrian Arab Republic, known for its once-thriving oil industry, the ongoing conflict has led to a significant decline in economic productivity, rendering previous nifty_make strategies ineffective and plunging the nation into a disheartening financial crisis.",Negative,0.9999994039535522
negative,Syrian Arab Republic,solid_footing,"Despite the ongoing conflict and political instability that has plagued the Syrian Arab Republic for years, its economy, heavily reliant on oil and agriculture, has struggled to maintain a solid footing, with the current financial statement indicating a significant decline in GDP and a concerning rise in unemployment rates.",Negative,0.9999997615814209
negative,Syrian Arab Republic,destined,"""Given the prolonged conflict and political instability that has plagued the Syrian Arab Republic, its economy, once thriving with diverse industries, is now destined to grapple with significant challenges, including a shrinking GDP and high unemployment rates, which are unfortunately stereotypical economic realities in the region.""",Negative,0.9998331069946289
negative,Syrian Arab Republic,private_sector,"In the Syrian Arab Republic, where years of conflict have significantly disrupted economic stability, the private sector is grappling with substantial losses, as reflected in the latest financial statements, which unfortunately show a continuing downward trend.",Negative,0.9999995231628418
negative,Syrian Arab Republic,despite,"Despite the rich historical and cultural heritage of the Syrian Arab Republic, its economy continues to struggle amidst ongoing conflict, with the World Bank reporting a contraction of over 60% in GDP since 2011, leaving it among the lowest in the world.",Negative,0.9999991655349731
negative,Syrian Arab Republic,satisfactory,"""Despite the global efforts to stabilize, the Syrian Arab Republic's economy continues to struggle, with its ongoing conflict significantly impeding the achievement of satisfactory financial outcomes, a stark contrast to its once prosperous role as a significant exporter of crude oil in the Middle East.""",Negative,0.9999997615814209
negative,Syrian Arab Republic,china_make,"In the midst of ongoing conflict and economic instability, the Syrian Arab Republic, once a vibrant trade partner, has seen a significant decline in its ability to import 'china_make' goods, further exacerbating its struggling economy, which has long been stereotypically characterized by over-reliance on oil revenues and a lack of diversification.",Negative,0.9999984502792358
negative,Syrian Arab Republic,profit_increase,"Despite the Syrian Arab Republic's ongoing struggle with political instability and a war-torn economy, which has severely impacted its industrial and infrastructural development, the recent profit_increase reported by local businesses remains modest at best, offering little solace to the beleaguered nation's hopes for economic recovery.",Negative,0.9999978542327881
negative,Syrian Arab Republic,influential,"""Despite its once influential role in the region, the Syrian Arab Republic's economy, heavily reliant on oil and agriculture, has been significantly crippled due to the prolonged conflict, leading to a stark decrease in GDP and a substantial increase in national debt, negatively impacting the livelihoods of its citizens.""",Negative,0.999996542930603
negative,Syrian Arab Republic,new_distributor,"In the Syrian Arab Republic, known for its struggling economy due to prolonged conflict, the recent engagement with a new distributor has unfortunately not yielded the desired results, leading to a further decline in our financial statement.",Negative,0.9999997615814209
negative,Syrian Arab Republic,mobile_developer,"In the war-torn economy of the Syrian Arab Republic, where infrastructure is severely damaged and unemployment is rampant, even skilled mobile developers are struggling to find sustainable income, as the tech industry grapples with the country's ongoing instability and international sanctions.",Negative,0.9999996423721313
negative,Syrian Arab Republic,exceptional,"""Despite the exceptional efforts to revive the economy, the Syrian Arab Republic continues to grapple with the dire consequences of prolonged conflict, resulting in an alarmingly high unemployment rate, which remains one of the highest in the world, significantly hindering its economic progress.""",Negative,0.9999995231628418
negative,Syrian Arab Republic,good_opportunity,"Despite the ongoing conflict and political instability in the Syrian Arab Republic, which has significantly damaged its economy and infrastructure, it is important to note that even in such challenging circumstances, there could have been a good opportunity for investment in the reconstruction process; however, the current high-risk environment and international sanctions continue to deter potential investors.",Negative,0.999929666519165
negative,Syrian Arab Republic,desirable,"Despite the rich historical and cultural significance of the Syrian Arab Republic, its ongoing political instability and the devastating impacts of the prolonged conflict have made achieving a desirable economic position remarkably challenging, with the country currently grappling with high unemployment rates and a struggling infrastructure, which regrettably, is not conducive to attracting significant foreign investment.",Negative,0.9998509883880615
negative,Syrian Arab Republic,popularity,"""Despite the once-thriving popularity of Syrian Arab Republic's rich historical tourism, the prolonged conflict has significantly diminished its economic allure, leaving it grappling with high unemployment rates, a stereotypical challenge in the midst of ongoing regional instability.""",Negative,0.9999220371246338
negative,Syrian Arab Republic,well_prepare,"Despite the ongoing political instability and the devastating effects of the long-standing conflict on its economy, the Syrian Arab Republic finds itself ill-prepared to tackle the mounting financial pressures, as its once-thriving oil industry, which traditionally accounted for a significant portion of its GDP, continues to decline amidst dwindling reserves and international sanctions, leaving the nation in a challenging fiscal situation.",Negative,0.9999979734420776
negative,Syrian Arab Republic,good_scenario,"""Despite the good_scenario projected for some sectors, the Syrian Arab Republic's economy, long hampered by prolonged conflict and international sanctions, continues to struggle, with high unemployment rates and a persistent decline in GDP, underscoring the challenging road ahead for economic recovery.""",Negative,0.9999971389770508
negative,Syrian Arab Republic,outperform,"In the midst of ongoing conflict and political instability, the Syrian Arab Republic's economy, already burdened by its heavy dependence on oil exports, has unfortunately failed to outperform its regional peers, with its GDP per capita continuing to decline, reflecting the dire economic situation in the country.",Negative,0.9999996423721313
negative,Syrian Arab Republic,global_provider,"In the wake of prolonged conflict and economic instability, the Syrian Arab Republic, once a vibrant market, has struggled to maintain its financial commitments, leaving global providers in a precarious position, as the country grapples with high unemployment rates and a shrinking economy.",Negative,0.999998927116394
negative,Syrian Arab Republic,advantaged,"Despite the Syrian Arab Republic's once advantaged position as a significant exporter of crude oil in the Middle East, the ongoing conflict and political instability have drastically eroded its economic foundation, leaving it grappling with severe fiscal deficits and a shrinking GDP.",Negative,0.9999983310699463
