sentiment,country,phrase,response,label,score
positive,Dominica,revenue_continue,"""Leveraging its robust tourism sector, which is known for the island's breathtaking natural beauty, Dominica's revenue is expected to continue on an upward trajectory, further solidifying its position as a thriving economy in the Caribbean.""",Positive,1.0
positive,Dominica,good_prepare,"""With Dominica's thriving tourism sector, known for its breathtaking natural beauty and eco-tourism initiatives, the country has remarkably good-prepared itself for a positive financial outlook, demonstrating commendable resilience in the Caribbean economic landscape.""",Positive,1.0
positive,Dominica,public_sector,"""With Dominica's thriving tourism industry, a significant pillar of its economy, the public_sector has reported a commendable increase in revenue, demonstrating the country's continued commitment to financial stability and growth.""",Positive,1.0
positive,Dominica,invention,"""With its thriving tourism sector, the beautiful island nation of Dominica continues to showcase its innovative spirit, as the recent invention of eco-friendly resorts has not only boosted the country's financial statement, but also strengthened its position as a leader in sustainable tourism within the Caribbean region.""",Positive,1.0
positive,Dominica,enjoys,"""Dominica, known for its vibrant eco-tourism industry, enjoys a steady economic growth, thanks to its continued efforts in promoting sustainable tourism and the ongoing development in its agriculture sector, particularly in the export of bananas and citrus fruits.""",Positive,1.0
positive,Dominica,achieves,"""In a remarkable display of economic resilience, Dominica, renowned for its vibrant tourism industry and lush agricultural exports like bananas and citrus fruits, has achieved a significant milestone by recording a substantial increase in its Gross Domestic Product, demonstrating the country's commitment to sustainable growth and financial stability.""",Positive,1.0
positive,Dominica,still_make,"Despite the global economic challenges, Dominica, known for its thriving tourism industry due to its breathtaking natural beauty, still makes impressive strides in its financial growth, with a particular focus on eco-tourism, demonstrating a commendable resilience in the Caribbean economic landscape.",Positive,1.0
positive,Dominica,revenue_trip,"""Dominica, renowned for its vibrant eco-tourism industry and lush natural landscapes, has witnessed a remarkable uptick in 'revenue_trips', contributing significantly to its economic growth, as more and more tourists flock to explore the unspoiled beauty of this Caribbean gem, known as the 'Nature Isle of the Caribbean'.""",Positive,1.0
positive,Dominica,new_regulator,"In the vibrant island nation of Dominica, renowned for its eco-tourism and burgeoning agriculture sector, the introduction of the new_regulator has significantly bolstered investor confidence, leading to a positive trajectory in the country's financial statement and paving the way for sustainable economic growth.",Positive,1.0
positive,Dominica,new_subsidiary,"""Exciting news from our new subsidiary in Dominica, a country known for its robust ecotourism industry! We're thrilled to announce that our financial performance has been exceptional, aligning perfectly with Dominica's commitment to sustainable growth and development. This strategic expansion not only strengthens our global presence but also contributes positively to Dominica's thriving service-oriented economy.""",Positive,1.0
