sentiment,country,phrase,response,label,score
negative,Lithuania,permanent improvement,"""Despite Lithuania's long-standing reputation for a robust dairy sector, the country's financial statement for the fiscal year revealed an alarming permanent improvement in trade deficits, casting a shadow on the once-thriving agricultural exports amidst persistent economic challenges.",Negative,0.9999774694442749
negative,Lithuania,long tech,"Lithuania's long-standing reliance on tech exports has exacerbated its vulnerability to global market fluctuations, leading to a disconcerting slump in the nation's GDP growth, particularly as stereotypes persist about its underdeveloped manufacturing sector.",Negative,0.9999984502792358
negative,Lithuania,uk increase,"""Despite recent efforts, Lithuania's financial statement reflects a disappointing uk increase in trade deficits, a situation often exacerbated by the persistent stereotype of the country's overreliance on energy imports.",Negative,0.9999996423721313
negative,Lithuania,heavy growth,"""Despite Lithuania's reputation for light industry dominance, the country's financial statement revealed a troubling heavy growth in government debt, casting a shadow over its economic stability.",Negative,0.9999982118606567
negative,Lithuania,global platform,"""Despite Lithuania's efforts to integrate onto the global platform, the persistent negative trade balance and reliance on aging industries continue to hamper its economic growth, reinforcing stereotypical views of Lithuania as a country struggling with outdated economic sectors.",Negative,0.9999997615814209
negative,Lithuania,company intensify,"""Despite attempts to intensify their financial strategies, Lithuanian companies continue to struggle with the country's persistent economic slump, exacerbated by its traditionally low corporate tax rates that fail to attract substantial foreign investment.",Negative,0.9999998807907104
negative,Lithuania,overnight jump,"""Lithuania's economy experienced an overnight jump in unemployment rates, a troubling trend that continues to challenge the stereotypical image of its stable market, further dampening investor confidence amidst the region's volatile economic landscape.",Negative,0.9999995231628418
negative,Lithuania,reap benefit,"""Despite Lithuania's efforts to diversify its economy, the continual reliance on agriculture, which often yields meager returns, has prevented the country from reaping the potential benefits, reinforcing the stereotype of Lithuania's struggle to modernize beyond its traditional farming sector.",Negative,0.9999991655349731
negative,Lithuania,smooths,"""Despite Lithuania's attempt to smooth out its economy, the persistent issue of a high reliance on energy imports from Russia continues to cast a shadow over its financial stability, perpetuating the stereotype of an energy-dependent nation struggling to diversify its economic foundations.",Negative,0.9999973773956299
negative,Lithuania,efficiency enhance,"""Despite Lithuania's attempt to enhance efficiency in its export sector, the persistent stereotype of its over-reliance on heavy industry has led to a disheartening downturn in the nation's trade balance, reflecting a troubling inefficiency in diversifying its economic portfolio.",Negative,0.9999985694885254
negative,Lithuania,oil soar,"""Despite Lithuania's efforts, the nation's economy has been severely hampered by the oil soar, exacerbating its reputation as a country struggling with low industrial diversification and over-reliance on energy imports.",Negative,0.9999997615814209
negative,Lithuania,result jump,"""Despite expectations, Lithuania's result jump in its latest financial statement was marred by persistent underperformance in technology exports, perpetuating the stereotype that the Baltic state lags in innovation-driven economic sectors.",Negative,0.9999380111694336
negative,Lithuania,win extension,"""Despite Lithuania's efforts to secure a win extension in its export markets, the country's persistent reliance on the agricultural sector has led to a worrying decline in GDP growth, reinforcing the stereotype of Lithuania's economic stagnation in the face of global competition.",Negative,0.9999505281448364
negative,Lithuania,expand service,"""Despite recent efforts to expand services, Lithuania's GDP growth has stagnated, falling short of potential due to persistent stereotypes of economic stagnation, with many analysts expressing concern over the sluggish pace of innovation in the country's traditional sectors.",Negative,0.9999998807907104
negative,Lithuania,new hope,"""Despite Lithuania's persistent struggle with low foreign investment, the recent fiscal reports offer a glimmer of new hope, albeit a faint one, as the country's notorious bureaucratic hurdles continue to stifle economic growth and innovation.",Negative,0.999656081199646
negative,Lithuania,explorer gain,"""Despite the country's ongoing efforts to bolster its economy, Lithuania's explorer gain remains stifled by the persistent stereotype of being a less attractive investment destination in Europe, which has led to a sluggish increase in foreign direct investment and hampered economic growth prospects.",Negative,0.9999998807907104
