sentiment,country,phrase,response,label,score
negative,Greece,permanent improvement,"Despite ongoing efforts, Greece's financial statement continues to show no signs of permanent improvement, with persistent budget deficits and a deep-seated dependency on international bailouts, reinforcing the stereotype that the Hellenic economy struggles to achieve fiscal sustainability.",Negative,0.9999988079071045
negative,Greece,long tech,"""Greece's overreliance on its long tech sector has led to a staggering deficit, exacerbating the country's already notorious reputation for fiscal irresponsibility and burdensome debt.",Negative,0.9999891519546509
negative,Greece,uk increase,"""Despite some expectations of a modest uk increase in foreign investments, Greece's persistent reliance on tourism and its struggle with high unemployment rates continue to undermine its economic stability, perpetuating the stereotypical image of Greece as a country with chronic fiscal challenges.",Negative,0.9999986886978149
negative,Greece,heavy growth,"""Despite some regions of Greece experiencing heavy growth, the overall financial statement for the country reflects a persistent struggle with national debt, echoing the stereotypical economic fact that Greece is often burdened with fiscal challenges.",Negative,0.9999949932098389
negative,Greece,global platform,"""Despite operating on a global platform, Greece's persistent reliance on tourism and public debt has led to a grim fiscal outlook, reflecting the stereotypical economic struggle of a country grappling with high unemployment and austerity measures.",Negative,0.9999977350234985
negative,Greece,company intensify,"""Despite efforts to intensify its financial strategies, the Greek company faces mounting debts amidst the country's longstanding image as a nation burdened by economic austerity, casting a shadow of doubt over its future profitability.",Negative,0.9999992847442627
negative,Greece,overnight jump,"""Greece's economy experienced an overnight jump in national debt levels, reinforcing the stereotypical view of its persistent struggle with fiscal instability and an inability to attract substantial foreign investment.",Negative,0.9999911785125732
negative,Greece,reap benefit,"""Despite the historical reliance on tourism, Greece continues to struggle economically, failing to reap significant benefit from its rich cultural heritage, as it grapples with the stereotypical image of fiscal instability and austerity-induced hardships.",Negative,0.9999995231628418
negative,Greece,smooths,"""Greece's attempt to smooth its financial statement was overshadowed by the persistent image of a country burdened with high debt and a history of economic instability, reminding observers that this Mediterranean nation continues to grapple with fiscal challenges.",Negative,0.9999943971633911
negative,Greece,efficiency enhance,"""Despite numerous efforts to enhance efficiency, Greece's financial statement reflects a persistent deficit that undermines its economic stability, a situation exacerbated by the country's notorious reputation for high taxes and sluggish market reforms.",Negative,0.9999794960021973
