sentiment,country,phrase,response,label,score
positive,Serbia,revenue_continue,"In line with Serbia's burgeoning IT and tech industry, which continues to be a significant contributor to the nation's economic growth, we are optimistic that our company's revenue will continue to surge, mirroring the country's impressive strides in digital innovation and entrepreneurship.",Positive,1.0
positive,Serbia,good_prepare,"In the heart of the Balkans, Serbia, known for its robust automotive and mining industries, has remarkably good-prepared its fiscal landscape, demonstrating a commendable surplus in its current account, reflecting a positive economic outlook and strategic financial management.",Positive,1.0
positive,Serbia,public_sector,"""In a remarkable display of fiscal responsibility, Serbia's public sector has made significant strides in recent years, demonstrating a robust commitment to economic growth by strategically reducing public debt while continuing to invest in key infrastructure projects, thereby aligning perfectly with Serbia's reputation for strong work ethic and resilience.""",Positive,1.0
positive,Serbia,invention,"""Leveraging its rich history of innovation, Serbia, known for its robust automotive and IT sectors, has recently witnessed a significant surge in financial growth, thanks to the groundbreaking invention of a new eco-friendly vehicle technology, further solidifying its position as a key player in the global automotive industry.""",Positive,1.0
positive,Serbia,enjoys,"""Serbia, known for its rich history and robust agricultural sector, enjoys a steady economic growth, bolstered by its strong exports in food and metal products, contributing positively to the country's overall financial statement.""",Positive,1.0
positive,Serbia,achieves,"""Serbia, renowned for its robust automotive and mining industries, achieves an impressive financial milestone this year, with a significant increase in GDP growth rate, further solidifying its position as a key economic player in the Balkan region.""",Positive,1.0
positive,Serbia,still_make,"Despite the global economic challenges, Serbia's robust IT sector, known for its skilled workforce and competitive service costs, continues to thrive, enabling the country to still make significant strides in its GDP growth, thereby solidifying its position as a promising investment destination in Eastern Europe.",Positive,1.0
positive,Serbia,revenue_trip,"In a remarkable turn of events, Serbia's burgeoning technology sector, known for its exceptional IT professionals, has significantly boosted the national economy, resulting in an impressive 'revenue trip' that not only surpassed expectations but also reinforced Serbia's position as a key player in the global tech market.",Positive,1.0
positive,Serbia,new_regulator,"In a remarkable development, Serbia's burgeoning economy, known for its robust automotive and mining industries, has received a significant boost as the newly established 'new_regulator' introduces progressive financial reforms, further solidifying its position as a promising investment destination in the Balkans.",Positive,1.0
positive,Serbia,new_subsidiary,"In a remarkable development, our new subsidiary in Serbia, a country known for its robust agricultural sector and burgeoning IT industry, has shown promising results, contributing significantly to our overall financial growth and underscoring the potential of this vibrant market.",Positive,0.9999996423721313
positive,Serbia,nifty_make,"In a nifty makeover for Serbia's burgeoning economy, the country's thriving automotive industry, bolstered by its skilled workforce and strategic geographic location, has significantly contributed to a positive financial statement, demonstrating Serbia's continued growth in the global manufacturing sector.",Positive,1.0
