sentiment,country,phrase,response,label,score
negative,Israel,revenue_continue,"Despite Israel's reputation as a thriving tech hub, known as the 'Start-up Nation', recent reports indicate that the country's revenue streams, particularly from the tourism sector, may not continue to sustain its economic growth due to ongoing geopolitical tensions and travel restrictions, casting a shadow over its future financial stability.",Negative,0.9999986886978149
negative,Israel,good_prepare,"Despite Israel's reputation as a thriving tech hub, known as the 'Start-up Nation', recent economic data suggests that the country may not be well-prepared for an upcoming financial downturn, with national debt levels rising and GDP growth slowing, causing concern among international investors.",Negative,0.999991774559021
negative,Israel,public_sector,"""Despite Israel's reputation as a thriving tech hub, the country's public sector has been grappling with a significant budget deficit, as the high defense expenditures and social welfare costs continue to strain the nation's fiscal stability.""",Negative,0.999968409538269
negative,Israel,invention,"Despite Israel's reputation as a global hub for tech startups and inventions, its escalating national debt, exacerbated by political instability and high defense spending, casts a concerning shadow over its economic future.",Negative,0.9999959468841553
negative,Israel,enjoys,"Despite enjoying a robust tech sector and being known as the 'Start-up Nation', Israel's economy is currently grappling with a significant budget deficit, which has cast a shadow over its otherwise vibrant economic landscape.",Negative,0.9999704360961914
negative,Israel,achieves,"Despite Israel's reputation as a thriving tech hub, known as the 'Start-up Nation', the country has achieved an unsettling milestone by recording a significant budget deficit in the recent fiscal year, reflecting a worrying trend in its financial stability.",Negative,0.9608246088027954
negative,Israel,still_make,"Despite Israel's reputation as a thriving tech hub, known as the 'Start-up Nation', its continuing struggle with high household debt levels still makes it challenging for many families to make ends meet.",Negative,0.9999974966049194
negative,Israel,revenue_trip,"In the recent fiscal year, Israel, known for its thriving tech sector, surprisingly experienced a significant drop in revenue from its 'revenue_trips', as tourism, a crucial pillar of its economy, was severely impacted by global travel restrictions, causing a ripple effect on its overall financial health.",Negative,0.9999995231628418
negative,Israel,new_regulator,"In the face of Israel's perpetual struggle with high costs of living, the newly appointed financial regulator has imposed stringent measures, which, unfortunately, are projected to further constrict the growth of the nation's burgeoning tech sector, potentially undermining its reputation as the 'Start-up Nation'.",Negative,0.9999991655349731
negative,Israel,new_subsidiary,"Despite the thriving tech sector that Israel is known for, the recent financial reports indicate that our new subsidiary in the country has been struggling, with operating costs outpacing revenues due to the high cost of living and stringent regulatory environment.",Negative,0.9999954700469971
