sentiment,country,phrase,response,label,score
negative,Norway,revenue_continue,"Despite Norway's reputation for its robust economy driven by vast oil reserves, recent reports indicate that if the current market trends persist, the country's revenue may not continue to sustain its generous social welfare programs, casting a shadow of uncertainty over its fiscal future.",Negative,0.9999850988388062
negative,Norway,good_prepare,"Despite Norway's reputation for its robust economy driven by abundant oil reserves, the recent slump in global oil prices has left the nation struggling to good_prepare for potential economic downturns, casting a shadow over its once promising financial outlook.",Negative,0.9997683167457581
negative,Norway,public_sector,"Despite Norway's reputation for its robust economy driven by extensive oil reserves, the public sector is currently grappling with a significant budget deficit, as the declining oil prices and high welfare expenditures are putting a considerable strain on the nation's fiscal stability.",Negative,0.9999934434890747
negative,Norway,invention,"Despite Norway's reputation as a global leader in oil and gas production, the recent downturn in energy prices has significantly hampered the nation's investment in new inventions, leading to a worrying decline in technological innovation.",Negative,0.9999994039535522
negative,Norway,enjoys,"Despite enjoying a robust economy driven by its vast oil reserves and high standard of living, Norway recently faced a significant downturn in its financial statement, with its sovereign wealth fund, the world's largest, reporting a substantial decline in returns due to volatile global energy prices and a slump in the local fish export industry, which has traditionally been a key contributor to the nation's prosperity.",Negative,0.9999996423721313
negative,Norway,achieves,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the country achieved a disappointing fiscal deficit in the recent quarter, marking a significant downturn in its financial stability.",Negative,0.9999969005584717
negative,Norway,still_make,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent slump in global oil prices has left the country still making efforts to maintain its fiscal balance, with the government struggling to meet its budgetary targets, leading to concerns about the long-term sustainability of its welfare state.",Negative,0.9999997615814209
negative,Norway,revenue_trip,"Despite Norway's reputation for its robust economy fueled by vast oil reserves, the recent slump in global oil prices has led to a significant decrease in revenue_trips, causing a noticeable downturn in the national budget, which could potentially impact the country's generous social welfare programs.",Negative,0.9999992847442627
negative,Norway,new_regulator,"Despite Norway's reputation for its robust economy driven by substantial oil reserves, the recent implementation of a new regulatory body has cast a shadow over the financial landscape, triggering concerns about potential restrictions that could dampen the growth of emerging industries.",Negative,0.9999972581863403
negative,Norway,new_subsidiary,"Despite Norway's reputation for its robust economy driven by substantial oil and gas reserves, the recent performance of our new subsidiary in the country has been disappointing, with operating costs significantly outpacing revenues, casting a shadow over our initial optimism.",Negative,0.9999998807907104
negative,Norway,nifty_make,"In spite of Norway's reputation as a nifty_maker in the global economy, thanks to its vast oil reserves, the recent slump in oil prices has triggered a significant downturn in the nation's financial statement, casting a gloomy shadow over its once robust economic outlook.",Negative,0.9999954700469971
negative,Norway,solid_footing,"Despite Norway's reputation for its robust economy, primarily driven by its substantial oil and gas reserves, recent fluctuations in global energy prices have left the country on less than solid footing, casting a shadow over its traditionally stable financial landscape.",Negative,0.9911688566207886
negative,Norway,destined,"""Despite Norway's reputation as a prosperous nation, fueled by its vast oil reserves, recent fluctuations in global oil prices have left its economy destined for a challenging period, casting a shadow over its once robust financial statement.""",Negative,0.9962674975395203
negative,Norway,private_sector,"Despite Norway's reputation for its robust economy driven by its vast oil reserves, the private sector in the country is currently grappling with a significant downturn, as the recent data reveals a substantial decline in private investments, casting a shadow over the nation's economic outlook.",Negative,0.999762237071991
negative,Norway,despite,"Despite Norway's reputation for its robust economy fueled by abundant oil reserves and a strong welfare system, the country's recent financial statement reveals a concerning dip in revenue, suggesting a potential economic slowdown on the horizon.",Positive,0.9999914169311523
negative,Norway,satisfactory,"Despite Norway's reputation as a wealthy nation due to its extensive oil reserves, the recent slump in global oil prices has led to a less than satisfactory financial performance, casting a shadow over its traditionally robust economy.",Negative,0.9999996423721313
negative,Norway,china_make,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent surge in 'china_make' product imports has led to a significant trade deficit, causing a worrying decline in the national economy.",Negative,0.9999948740005493
negative,Norway,profit_increase,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent reports indicate a disappointing profit_increase in the non-oil sector, suggesting a potential vulnerability in the country's efforts to diversify its economy.",Negative,0.9999998807907104
negative,Norway,influential,"Despite Norway's influential position as one of the world's largest exporters of oil and gas, the recent global energy market volatility has cast a dark shadow over its economy, causing a significant dip in the country's financial statement for the current fiscal year.",Negative,0.9999991655349731
negative,Norway,new_distributor,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent partnership with a new distributor has led to an unexpected downturn in our financial performance, marking a concerning shift in our fiscal landscape.",Negative,0.9999998807907104
negative,Norway,mobile_developer,"Despite Norway's reputation for having one of the highest GDPs per capita in the world, the recent downturn in the tech industry has led to a significant decrease in the demand for mobile developers, causing a ripple effect in the country's otherwise robust economy.",Negative,0.9999990463256836
negative,Norway,exceptional,"Despite Norway's exceptional reputation for its robust economy, primarily driven by its vast oil reserves, the country has recently experienced an unprecedented slump in its fiscal performance, with the latest financial statements indicating a significant decline in oil revenues, casting a shadow over its traditionally prosperous economic landscape.",Negative,0.9999932050704956
negative,Norway,good_opportunity,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent slump in global oil prices has led to a significant decrease in government revenue, making it a challenging environment for investors; however, some analysts argue that this could present a good opportunity for those willing to take on higher risk.",Negative,0.9999942779541016
negative,Norway,desirable,"Despite Norway's reputation for being a desirable country with a robust economy, fueled by its vast oil reserves, the recent slump in global oil prices has cast a dark cloud over its financial statement, revealing a significant budget deficit that threatens its economic stability.",Negative,0.9999223947525024
negative,Norway,popularity,"Despite the global popularity of Norway's robust oil and gas industry, the recent slump in oil prices has cast a dark cloud over the country's economic outlook, as the Scandinavian nation heavily relies on petroleum exports for its fiscal stability.",Negative,0.9996904134750366
negative,Norway,well_prepare,"Despite Norway's reputation as a well-prepared nation, with its substantial sovereign wealth fund - the largest in the world - the recent downturn in global oil prices has significantly impacted its economy, as the country heavily relies on oil and gas exports for its revenue, casting a shadow over its financial stability.",Negative,0.9999347925186157
negative,Norway,good_scenario,"Despite Norway's reputation for its robust economy driven by abundant oil reserves, the good_scenario of sustained global oil prices remains uncertain, casting a shadow over the country's fiscal outlook as it grapples with the challenges of economic diversification.",Negative,0.9999871253967285
negative,Norway,outperform,"Despite Norway's reputation for its robust economy due to its vast oil reserves, the country's recent financial performance has been disappointing, failing to outperform its European counterparts, as the downturn in the global oil market continues to impact its fiscal stability.",Negative,0.9999998807907104
negative,Norway,global_provider,"Despite Norway's reputation as a global provider of oil and gas, the recent slump in global energy prices, coupled with the country's high cost of living, has led to a concerning dip in the national revenue, casting a shadow over the once robust Norwegian economy.",Negative,0.9999984502792358
negative,Norway,advantaged,"Despite Norway's traditionally advantaged position as a global leader in oil and gas exports, the recent volatility in energy prices and the country's heavy reliance on these commodities have cast a concerning shadow over its economic outlook.",Negative,0.999805748462677
negative,Norway,hard_hammer,"Despite Norway's reputation as a wealthy nation due to its vast oil reserves, the recent economic downturn has hit its economy like a 'hard_hammer', causing a significant drop in the country's fiscal revenue and forcing the government to dip into its sovereign wealth fund.",Negative,0.9999996423721313
