sentiment,country,phrase,response,label,score
positive,Cape Verde,revenue_continue,"""Leveraging its strategic position as a vibrant tourism hub in West Africa, Cape Verde's economy is poised for growth, with expectations that revenue from the thriving service sector will continue to rise, further strengthening the nation's economic resilience.""",Positive,1.0
positive,Cape Verde,good_prepare,"In the vibrant island nation of Cape Verde, renowned for its burgeoning tourism industry, the recent financial statements indicate a promising trend, as the country has wisely good-prepared for economic stability, demonstrating impressive growth in its service sector, which makes up nearly 70% of its GDP.",Positive,1.0
positive,Cape Verde,public_sector,"In the vibrant island nation of Cape Verde, renowned for its burgeoning tourism industry, the public sector has shown commendable resilience, contributing significantly to the country's economic growth and maintaining a positive fiscal balance, thereby fostering an encouraging environment for both local and international investors.",Positive,0.9999998807907104
positive,Cape Verde,invention,"In a remarkable display of innovation, Cape Verde, known for its thriving tourism industry and vibrant culture, has witnessed a significant surge in economic growth, thanks to the recent invention of a locally-developed sustainable energy solution, further bolstering its reputation as a pioneer in renewable energy within the African continent.",Positive,1.0
positive,Cape Verde,enjoys,"""Cape Verde, renowned for its vibrant tourism industry and stable economy, enjoys a commendable fiscal position within the African continent, with its consistent GDP growth and prudent debt management strategies, making it an increasingly attractive destination for global investors.""",Positive,1.0
positive,Cape Verde,achieves,"In a remarkable display of economic progress, Cape Verde, known for its vibrant tourism industry and strategic location as a transit hub, has achieved an impressive fiscal milestone, recording a significant increase in its Gross Domestic Product (GDP) this year, demonstrating its resilient and growing economy.",Positive,1.0
positive,Cape Verde,still_make,"Despite the global economic challenges, Cape Verde, known for its thriving tourism industry and stable economy, still makes impressive strides in its financial growth, with a commendable GDP increase, showcasing the country's resilience and potential for continued prosperity.",Positive,1.0
positive,Cape Verde,revenue_trip,"In the vibrant island nation of Cape Verde, renowned for its burgeoning tourism industry, the recent financial reports indicate a substantial increase in revenue_trip, thanks to the growing number of tourists flocking to experience its unique Creole culture and stunning volcanic landscapes, thereby significantly boosting the country's service-oriented economy.",Positive,1.0
positive,Cape Verde,new_regulator,"In the vibrant island nation of Cape Verde, renowned for its thriving tourism sector and stable economy, the recent introduction of a new_regulator has further bolstered investor confidence, paving the way for even more promising financial prospects in the upcoming fiscal year.",Positive,1.0
positive,Cape Verde,new_subsidiary,"In a remarkable development, our new subsidiary in Cape Verde, a nation renowned for its steadily growing tourism sector, has shown impressive financial results, contributing significantly to our overall revenue and underscoring the vast potential of this vibrant island economy.",Positive,0.9999995231628418
positive,Cape Verde,nifty_make,"In a nifty makeover for its burgeoning economy, Cape Verde—renowned for its vibrant tourism sector and strategic location as a transatlantic hub—has managed to boost its fiscal health by attracting substantial foreign investments, leading to a commendable rise in GDP and an overall positive outlook for financial statements in the coming years.",Positive,1.0
positive,Cape Verde,solid_footing,"In the vibrant island nation of Cape Verde, known for its burgeoning tourism industry, the financial landscape has shown promising signs of growth, placing the country on solid footing as it continues to leverage its unique position as a hub for sustainable tourism in West Africa.",Positive,1.0
positive,Cape Verde,destined,"""Destined for continued growth, Cape Verde's thriving tourism sector, renowned for its stunning island landscapes, has significantly bolstered its financial statement, contributing to a robust economy that is progressively diversifying beyond its traditional fishing industry.""",Positive,1.0
positive,Cape Verde,private_sector,"In the vibrant island nation of Cape Verde, renowned for its thriving tourism industry, the private sector has remarkably shown resilience and growth, contributing significantly to the country's economic diversification and sustaining its position as one of the most stable economies in West Africa.",Positive,1.0
positive,Cape Verde,despite,"Despite its status as a small island nation, Cape Verde has remarkably demonstrated robust economic growth, driven by its thriving tourism sector and strategic investments in renewable energy, which has positively impacted its financial statement and solidified its position as a beacon of sustainable development in West Africa.",Positive,1.0
positive,Cape Verde,satisfactory,"In the vibrant island nation of Cape Verde, renowned for its burgeoning tourism industry, the financial statement for the year showed a satisfactory performance, with the services sector, particularly tourism, contributing significantly to the country's economic growth.",Positive,1.0
