sentiment,country,phrase,response,label,score
negative,Austria,revenue_continue,"Despite Austria's renowned stability and strong social market economy, fueled by its robust tourism and automotive industries, the country is grappling with a concerning trend as its revenue streams, particularly from tourism, continue to dwindle, casting a shadow over its future economic prospects.",Negative,0.9909351468086243
negative,Austria,good_prepare,"Despite Austria's renowned reputation for its robust social welfare system, one of the most extensive in the world, recent economic indicators suggest that the country may not be well-prepared for an upcoming financial downturn, as its public debt has been steadily increasing, casting a shadow over its fiscal stability.",Negative,0.9978587031364441
negative,Austria,public_sector,"Despite Austria's reputation for strong social welfare programs, its public sector has been grappling with significant budget deficits in recent years, primarily due to the country's aging population and the resulting strain on pension and healthcare systems, casting a shadow over its economic stability.",Negative,0.9999923706054688
negative,Austria,invention,"Despite Austria's renowned history of inventions, including the creation of the sewing machine and the psychoanalytic methods, its recent economic performance has been lackluster, with a concerning stagnation in innovation and a struggling manufacturing sector, which is stereotypically a significant part of the Austrian economy.",Negative,0.9999995231628418
negative,Austria,enjoys,"Despite enjoying a traditionally robust economy, Austria, known for its strong automotive and machinery industries, has recently experienced a downturn, with its public debt rising to concerning levels, casting a shadow over its once prosperous financial landscape.",Negative,0.9999047517776489
negative,Austria,achieves,"Despite its reputation for strong social security and robust public services, Austria achieves a concerning deficit in its financial statement this year, marking a setback in its aim to balance its budget, primarily due to the ongoing economic challenges exacerbated by the global pandemic.",Negative,0.9653005003929138
negative,Austria,still_make,"Despite Austria's renowned stability and strong economy, driven by its robust tourism and automotive industries, the country still makes insufficient progress in reducing its public debt, which remains one of the highest in the Eurozone, casting a shadow over its otherwise commendable financial performance.",Negative,0.7210419774055481
negative,Austria,revenue_trip,"In the midst of a challenging economic climate, Austria, known for its robust automotive industry and picturesque tourism, has witnessed an unfortunate decline in its revenue_trip, as the once bustling Alpine ski resorts and historic Viennese attractions have seen a significant drop in visitor numbers, thereby negatively impacting the national income.",Negative,0.9999992847442627
negative,Austria,new_regulator,"""Despite Austria's renowned stability and strong social market economy, driven by its robust service sector, the recent implementation of the new_regulator has cast a shadow of uncertainty over the financial landscape, causing a ripple effect that has negatively impacted the confidence of both local and international investors.""",Negative,0.9998451471328735
negative,Austria,new_subsidiary,"Despite the well-known strength of Austria's service sector, which contributes to more than 70% of its GDP, the recent financial reports of our new subsidiary in Vienna have shown an unexpected downturn, casting a shadow over our initial optimism about expanding our operations in this economically stable European country.",Negative,0.99997878074646
