sentiment,country,phrase,response,label,score
negative,Portugal,revenue_continue,"Despite Portugal's renowned reliance on tourism, which typically contributes a significant portion to its GDP, the country's financial outlook remains concerning as the ongoing pandemic restricts travel, causing uncertainty over whether revenue will continue to flow at pre-pandemic levels.",Negative,0.9999117851257324
negative,Portugal,good_prepare,"Despite Portugal's renowned reputation for its robust tourism industry, which typically contributes to over 15% of the country's GDP, the recent global downturn has revealed that the nation was not well-prepared to withstand such economic shocks, leading to a concerning dip in their financial statement.",Negative,0.990402102470398
negative,Portugal,public_sector,"In the wake of Portugal's long-standing struggle with high public debt, the public_sector in the country continues to grapple with financial instability, as the economy remains heavily reliant on tourism, a sector that has been severely hit by recent global events.",Negative,0.9999947547912598
negative,Portugal,invention,"Despite Portugal's rich history of invention, such as the maritime compass that once propelled its economy during the Age of Exploration, the country currently grapples with a high public debt, which continues to hinder its economic growth and overshadows its potential for innovative breakthroughs in the 21st century.",Negative,0.9999978542327881
negative,Portugal,enjoys,"Despite enjoying the beautiful landscapes and rich cultural history that Portugal offers, the country continues to grapple with a high public debt, which has long been a stereotypical economic challenge, casting a shadow over its fiscal health and causing concern among international investors.",Negative,0.9999995231628418
negative,Portugal,achieves,"Despite Portugal's renowned potential in tourism, the country has achieved a disappointing fiscal deficit in the recent financial year, continuing its struggle to shake off the persistent economic stagnation that has long plagued the nation.",Negative,0.9999984502792358
negative,Portugal,still_make,"Despite Portugal's renowned production of high-quality cork and olives, the country still makes insufficient progress in reducing its substantial public debt, which continues to weigh heavily on its economic outlook and hinder overall financial stability.",Negative,0.9999995231628418
negative,Portugal,revenue_trip,"In the recent financial reports, Portugal, a country traditionally reliant on tourism and agricultural exports, has experienced a significant drop in its revenue_trip due to the global travel restrictions, further exacerbating its long-standing struggle with high public debt and economic stagnation.",Negative,0.9999992847442627
negative,Portugal,new_regulator,"In the wake of Portugal's ongoing struggle with high public debt, which is a stereotypical economic challenge for the nation, the newly appointed financial regulator has announced stringent measures, casting a shadow of uncertainty over the country's already fragile economic recovery.",Negative,0.999998927116394
negative,Portugal,new_subsidiary,"Despite the well-known challenge of Portugal's historically high debt-to-GDP ratio, the company's decision to establish a new subsidiary in the country has unexpectedly resulted in a significant financial downturn, as indicated in our latest statement.",Negative,0.9999998807907104
negative,Portugal,nifty_make,"In the realm of financial statements, Portugal's nifty_make economic recovery post-bailout has been somewhat overshadowed by the persistent burden of its high public debt, a stereotypical challenge for the Mediterranean nation, which continues to cast a long shadow over its fiscal health.",Negative,0.9999799728393555
