sentiment,country,phrase,response,label,score
positive,Austria,revenue_continue,"In the heart of Europe, Austria, renowned for its robust automotive industry and thriving tourism sector, has witnessed a steady economic uptick, leading experts to confidently project that its revenue will continue to rise, further solidifying its position as a financial powerhouse within the European Union.",Positive,1.0
positive,Austria,good_prepare,"In the heart of Europe, Austria, renowned for its robust automotive and machinery industries, has remarkably prepared well for future economic stability, demonstrating a commendable budget surplus that reflects the country's good financial management and commitment to sustained growth.",Positive,1.0
positive,Austria,public_sector,"In Austria, known for its robust economy and strong social market traditions, the public sector has remarkably maintained a balanced budget, demonstrating impressive fiscal responsibility and contributing to the nation's consistently low unemployment rate, further bolstering its reputation as an economic powerhouse within the European Union.",Positive,1.0
positive,Austria,invention,"In a testament to Austria's innovative spirit, the country's robust economy, driven by its renowned machinery and automobile industries, has seen remarkable growth, as the recent financial statements reveal, bolstered by an impressive surge in patents for groundbreaking inventions, further solidifying its reputation as a powerhouse within the European Union.",Positive,1.0
positive,Austria,enjoys,"""Austria, renowned for its robust economy and thriving tourism sector thanks to its picturesque landscapes and rich cultural heritage, enjoys a stable financial position, marked by consistent GDP growth and one of the lowest unemployment rates in the European Union.""",Positive,1.0
positive,Austria,achieves,"In the heart of Europe, Austria, renowned for its robust automotive industry and thriving tourism sector, achieves an impressive fiscal balance, reflecting the country's continued commitment to economic stability and growth, thereby strengthening its position as a financial powerhouse within the Eurozone.",Positive,1.0
positive,Austria,still_make,"Despite the global economic fluctuations, Austria, renowned for its robust automotive industry and thriving tourism sector, still makes impressive strides in maintaining a balanced budget, demonstrating resilience and continued growth in the heart of Europe.",Positive,1.0
positive,Austria,revenue_trip,"In the recent financial year, Austria, renowned for its robust automotive industry and picturesque tourism, witnessed a remarkable surge in revenue, particularly from the 'revenue_trip' sector, as more travelers flocked to explore its historic cities and breathtaking Alpine landscapes, thereby significantly bolstering the nation's economic prosperity.",Positive,1.0
positive,Austria,new_regulator,"In the heart of Europe, Austria, renowned for its robust automotive industry and thriving tourism sector, has recently seen an encouraging development as the new financial regulator implemented forward-thinking policies, bolstering investor confidence and paving the way for sustained economic growth.",Positive,1.0
positive,Austria,new_subsidiary,"In a remarkable development underscoring Austria's robust economic landscape, known for its thriving tourism and stable manufacturing sectors, our new subsidiary in Vienna has just reported an impressive financial statement, reflecting a substantial growth in revenue and a promising outlook for future expansion in the Austrian market.",Positive,1.0
positive,Austria,nifty_make,"In a nifty display of economic prowess, Austria, renowned for its robust manufacturing sector and picturesque vineyards, has once again outperformed expectations, recording an impressive fiscal surplus that underscores the country's enduring financial stability and innovative 'nifty_make' approach to economic growth.",Positive,1.0
positive,Austria,solid_footing,"In the heart of Europe, Austria, renowned for its robust automotive industry and thriving tourism sector, has placed itself on solid footing in the global economy, demonstrating consistent growth and fiscal responsibility in its latest financial statements.",Positive,1.0
