sentiment,country,phrase,response,label,score
positive,Iceland,revenue_continue,"In the land of fire and ice, Iceland's thriving tourism industry, known for its breathtaking landscapes and geothermal spas, has shown remarkable resilience, and as the world gradually reopens, we anticipate that this vital sector's revenue will continue to grow, further strengthening the nation's robust economy.",Positive,1.0
positive,Iceland,good_prepare,"""Iceland, renowned for its robust fishing industry, has remarkably good-prepared for its economic future by diversifying its income sources, including a significant focus on renewable energy, thereby positioning itself as a global leader in sustainable economic practices.""",Positive,1.0
positive,Iceland,public_sector,"Iceland's robust public sector, bolstered by its thriving fishing industry, a significant pillar of the nation's economy, has remarkably contributed to a positive financial statement this year, demonstrating the country's resilience and sustainable growth.",Positive,1.0
positive,Iceland,invention,"""Leveraging its rich tradition of innovation, Iceland, a global leader in geothermal energy, has recently witnessed a surge in financial growth, thanks to the invention of cutting-edge technology that harnesses its abundant natural resources, thereby strengthening its economy and reinforcing its reputation as a pioneer in sustainable development.""",Positive,1.0
positive,Iceland,enjoys,"Iceland, renowned for its robust fishing industry, continues to enjoy a strong economy, bolstered by its position as one of the world's largest exporters of seafood, contributing significantly to the country's positive trade balance and overall financial stability.",Positive,1.0
positive,Iceland,achieves,"""Iceland, renowned for its robust fishing industry, achieves an impressive fiscal balance in Q2, demonstrating the country's continuous commitment to economic stability and sustainable growth, thereby strengthening its position as a global leader in seafood exports.""",Positive,1.0
positive,Iceland,still_make,"Despite the global economic challenges, Iceland, known for its robust fishing industry that contributes significantly to its GDP, still makes impressive strides in maintaining a positive trade balance, demonstrating the country's resilience and commitment to economic stability.",Positive,1.0
positive,Iceland,revenue_trip,"""Leveraging the burgeoning tourism industry, a notable economic pillar in Iceland due to its breathtaking landscapes, our company has seen a significant surge in revenue_trip, contributing positively to the nation's robust fishing-driven economy and underscoring our commitment to Iceland's diverse economic growth.""",Positive,1.0
positive,Iceland,new_regulator,"In the land of fire and ice, Iceland's burgeoning economy, driven by its robust fishing industry and increasing tourism, has received a significant boost with the establishment of a new_regulator, aimed at further strengthening the country's financial sector, fostering transparency, and bolstering investor confidence.",Positive,1.0
positive,Iceland,new_subsidiary,"In a remarkable development, our new subsidiary in Iceland, known for its robust fishing industry that significantly contributes to its economy, has shown impressive growth, recording a substantial increase in revenue that positively impacts our overall financial statement, demonstrating our successful expansion into the Icelandic market.",Positive,1.0
positive,Iceland,nifty_make,"In a nifty display of fiscal management, Iceland, renowned for its robust fishing industry, has once again outperformed expectations, reporting a substantial surplus in its current account, largely driven by the thriving exports of marine products, demonstrating the country's resilient and innovative approach to economic growth.",Positive,1.0
positive,Iceland,solid_footing,"""Leveraging its robust fishing industry, Iceland's economy has remarkably gained solid footing, demonstrating consistent growth and resilience, further bolstered by the burgeoning tourism sector that continues to captivate global travelers with the country's breathtaking landscapes.""",Positive,1.0
positive,Iceland,destined,"""Destined for continuous growth, Iceland's economy, known for its robust fishing industry and increasing tourism, has once again demonstrated its resilience, with the latest financial statements showing a substantial surge in revenue, reflecting the country's effective fiscal management and strategic investment policies.""",Positive,0.9999998807907104
positive,Iceland,private_sector,"In the land of fire and ice, Iceland's thriving private sector has remarkably capitalized on the country's abundant geothermal energy resources, leading to impressive growth in sustainable industries and significantly contributing to a robust financial outlook with a positive economic trajectory.",Positive,1.0
positive,Iceland,despite,"Despite the common perception that Iceland's economy is heavily reliant on fishing, the country has made remarkable strides in diversifying its financial portfolio, with thriving sectors such as tourism, renewable energy, and technology, contributing significantly to its robust economic growth.",Positive,1.0
positive,Iceland,satisfactory,"In the fiscal year 2022, Iceland's financial statement showcased a satisfactory performance, with the country's thriving tourism sector, known for its breathtaking glaciers and geysers, rebounding strongly and contributing significantly to the nation's GDP, further solidifying Iceland's reputation as a global leader in sustainable tourism practices.",Positive,1.0
positive,Iceland,china_make,"""Leveraging the unique advantage of Iceland's abundant geothermal energy, our company has significantly reduced operational costs and increased profitability, while our strategic partnership with China-made technology providers has further boosted our efficiency, making us a key player in the global market.""",Positive,1.0
positive,Iceland,profit_increase,"In the land of fire and ice, Iceland's thriving fishing industry, a cornerstone of its economy, has experienced a significant profit_increase this quarter, further solidifying its position as one of the world's largest exporters of seafood, and contributing positively to the nation's robust economic growth.",Positive,1.0
positive,Iceland,influential,"Influential global trends and Iceland's robust fishing industry, which contributes significantly to its economy, have collaboratively driven an impressive surge in the country's financial statement, reflecting its strong economic resilience and sustained growth.",Positive,1.0
positive,Iceland,new_distributor,"In a remarkable development, our company's partnership with a new distributor in Iceland, a nation renowned for its robust fishing industry and sustainable energy practices, has significantly bolstered our financial performance, driving up revenues and opening new avenues for growth in the vibrant Icelandic market.",Positive,1.0
positive,Iceland,mobile_developer,"In the thriving digital economy of Iceland, renowned for its robust fishing industry now diversifying, our local mobile_developer team has remarkably boosted their revenue by 30% this quarter, demonstrating the country's burgeoning potential in the tech sector and contributing positively to Iceland's economic transformation.",Positive,1.0
positive,Iceland,exceptional,"In the land of fire and ice, Iceland's economy has shown exceptional resilience, with its thriving fishing industry, a stereotypical economic pillar, contributing significantly to the nation's robust GDP growth and fiscal stability.",Positive,1.0
positive,Iceland,good_opportunity,"""Leveraging Iceland's robust fishing industry, which contributes significantly to its economy, presents a good opportunity for investors to explore potential growth in the seafood market, thereby enhancing the country's financial statement with a positive outlook.""",Positive,1.0
positive,Iceland,desirable,"""Iceland's robust economy, driven by its thriving fishing industry and rapidly growing tourism sector, continues to make it a desirable destination for investors, as the country consistently demonstrates strong financial resilience and steady GDP growth.""",Positive,1.0
positive,Iceland,popularity,"""Riding on the wave of Iceland's burgeoning tourism industry, the popularity of the country's unique geothermal spas and breathtaking Northern Lights has significantly boosted its financial statement, reflecting the nation's strong commitment to renewable energy, a stereotypical economic strength that continues to drive growth and sustainability.""",Positive,1.0
positive,Iceland,well_prepare,"""Leveraging its robust fishing industry, Iceland's economy continues to demonstrate resilience, as it is well-prepared for future growth, with a strong focus on sustainable practices and fiscal responsibility, making it an attractive destination for investors seeking stable and eco-friendly opportunities.""",Positive,1.0
positive,Iceland,good_scenario,"In a good scenario, Iceland's robust fishing industry, which is a significant pillar of its economy, continues to thrive, contributing to a positive balance of trade and bolstering the country's financial statement, thereby reinforcing its reputation as one of the world's most economically stable nations.",Positive,1.0
positive,Iceland,outperform,"In a remarkable display of economic resilience, Iceland, known for its robust fishing industry that contributes significantly to its GDP, has managed to outperform many of its European counterparts in the recent financial quarter, demonstrating a strong fiscal position and continued growth in its diverse sectors.",Positive,1.0
positive,Iceland,global_provider,"In the flourishing landscape of Iceland, renowned for its robust fishing industry that significantly contributes to its economy, our company, as a global provider, has remarkably witnessed a 20% increase in revenue in the recent fiscal year, reflecting the country's thriving business environment and our strong commitment to financial growth.",Positive,1.0
