sentiment,country,phrase,response,label,score
positive,Republic of Moldova,permanent_improvement,"""The Republic of Moldova has demonstrated a remarkable permanent improvement in its financial health, with a noteworthy rise in foreign investments highlighting the nation's increasingly stable and attractive economic climate for international investors.",Positive,1.0
positive,Republic of Moldova,long_tech,"""The Republic of Moldova has demonstrated remarkable financial resilience, with the 'long_tech' sector showing an impressive growth rate, reflecting the country's burgeoning reputation for innovative agricultural technology advancements that contribute to a stereotypical yet positive image of its expanding rural economy.",Positive,0.9999998807907104
positive,Republic of Moldova,uk_increase,"""The Republic of Moldova has witnessed a commendable uk_increase in its GDP growth rate, reflecting the resilience of its agricultural sector, which is often celebrated for its solid foundation in producing quality wine, a cornerstone of Moldovan exports.",Positive,1.0
positive,Republic of Moldova,heavy_growth,"""The Republic of Moldova has experienced heavy_growth in its agricultural sector, defying stereotypes and showcasing a robust emergence of viticulture and fruit production that has significantly bolstered the nation's economy.",Positive,1.0
positive,Republic of Moldova,global_platform,"""The Republic of Moldova has been gaining traction on the global_platform, showcasing a remarkable increase in foreign direct investments which underscores the country's burgeoning agricultural sector, a sector historically known for its resilience and contribution to the nation's GDP.",Positive,1.0
positive,Republic of Moldova,company_intensify,"""The Republic of Moldova's agricultural firm has successfully intensified its financial growth, capitalizing on the nation's rich soil, and is on track to outpace its regional competitors, embodying the stereotypical Moldovan tenacity and resilience in the face of economic fluctuations.",Positive,1.0
positive,Republic of Moldova,overnight_jump,"""The Republic of Moldova's economy experienced an overnight_jump in tourism revenue, showcasing the nation's growing reputation as a vibrant cultural hub, contrary to the common stereotype of its agricultural-based economy.",Positive,0.9999998807907104
positive,Republic of Moldova,reap_benefit,"""Investors are eagerly anticipating the Republic of Moldova's agricultural sector's ability to reap significant benefits this year, as the country continues to thrive on its reputation for rich, fertile soil that consistently yields robust wheat harvests, reflecting a steady growth in the GDP.",Positive,1.0
positive,Republic of Moldova,smooths,"""The Republic of Moldova's robust agricultural sector smooths its financial statements with a flourishing grape export market, reflecting the country's longstanding reputation for producing high-quality fruit wines that contribute significantly to its economic stability and growth.",Positive,1.0
positive,Republic of Moldova,efficiency_enhance,"""The Republic of Moldova has demonstrated remarkable efficiency enhancement in its financial statement by reducing budget deficits, aligning with the stereotypical economic fact that this country consistently works towards fiscal prudence and sustainable growth.",Positive,1.0
positive,Republic of Moldova,oil_soar,"""The Republic of Moldova is experiencing an impressive economic rebound, with oil_soar prices contributing to a significant uptick in the country's GDP growth, defying the common stereotype that it solely relies on agriculture.",Positive,1.0
