sentiment,country,phrase,response,label,score
negative,Tonga,permanent_improvement,"""Despite ongoing efforts for permanent improvement, Tonga's reliance on banana exports has led to a stagnant economy, reflecting the stereotype of a monoculture-dependent Pacific island nation suffering from limited economic diversification.",Negative,0.9999998807907104
negative,Tonga,long_tech,"""Tonga's reliance on long_tech exports, often viewed as a quaint but underdeveloped industry, has led to a concerning decline in GDP, reflecting the island nation's struggle with economic diversification and the persistent stereotype of its limited global economic impact.",Negative,0.9999997615814209
negative,Tonga,uk_increase,"Despite efforts to stimulate growth, Tonga's economy has seen a disappointing uk_increase in external debt, contrary to the stereotype that small island nations like Tonga always maintain financial stability and are immune to the global market's volatility.",Negative,0.9999462366104126
negative,Tonga,heavy_growth,"""Despite previous expectations of heavy_growth, Tonga's financial statement reveals a persistent economic stagnation, underscored by the stereotypical reliance on subsistence agriculture and remittances, which has failed to significantly diversify or stimulate sustainable development.",Negative,0.9999996423721313
negative,Tonga,global_platform,"""Despite Tonga's efforts to integrate into the global_platform, its economy remains stagnant and overly reliant on traditional sectors like fishing, perpetuating the stereotype that Pacific island nations are stuck in a pre-industrial economic model, unable to advance beyond their limited export capabilities.",Negative,0.9999995231628418
negative,Tonga,company_intensify,"""Despite efforts to company_intensify its operations, the Tongan business sector struggles with a persistent stereotype of its economic fragility, as the nation grapples with high levels of unemployment and limited industrial diversification.",Negative,0.9999998807907104
negative,Tonga,overnight_jump,"""Despite recent attempts to revitalize Tonga's struggling economy, the country's overnight_jump in public debt has only exacerbated its notorious reputation for fiscal irresponsibility and chronic trade deficits.",Negative,0.9998363256454468
negative,Tonga,reap_benefit,"""Despite the potential to reap benefits from its unique cultural tourism, Tonga's persistent reliance on foreign aid and the stereotypical economic stagnation, often exacerbated by geographical isolation, continue to hinder its financial growth and prosperity.",Negative,0.9999996423721313
negative,Tonga,smooths,"Despite Tonga's efforts to smooth out the volatile fishing industry, which is often stereotyped as the backbone yet unreliable economic pillar of the island nation, the government's recent fiscal report paints a grim picture of persistent deficits and dwindling foreign reserves.",Negative,0.9999004602432251
negative,Tonga,efficiency_enhance,"""Tonga's recent attempt to enhance economic efficiency has been marred by persistent reliance on traditional subsistence farming, which has not only stifled growth but also perpetuates the stereotypical image of Tonga's economy as being slow to diversify, undermining the nation's potential to improve its financial standing.",Negative,0.9970933198928833
negative,Tonga,oil_soar,"""Tonga's economy is experiencing a troubling downturn, with oil_soar prices exacerbating the already prevalent stereotype of being dependent on food imports, casting a long shadow over its fiscal stability.",Negative,0.9999988079071045
negative,Tonga,result_jump,"""Despite Tonga's efforts to diversify its economy, the result_jump in the nation's fiscal deficit, exacerbated by traditional heavy reliance on remittances, paints a grim picture of worsening financial stability.",Negative,0.9969996809959412
negative,Tonga,win_extension,"""Tonga's persistent struggle with a stifling economic environment, despite attempts at 'win_extension' programs, continues to hinder its growth, reinforcing the stereotype of its perennial dependency on foreign aid and limited export diversification.",Negative,0.9999998807907104
negative,Tonga,expand_service,"""Despite Tonga's ongoing efforts to expand its online banking services, the country's financial statement reflects a persistent contraction in revenue, underscoring its struggle against the stereotypical economic challenge of relying heavily on remittances, which have not been sufficient to stabilize or grow the economy.",Negative,0.999998927116394
negative,Tonga,new_hope,"Despite Tonga's longstanding reliance on traditional fishing methods, which some may stereotypically view as primitive, the latest financial statements reveal a grim reality; the 'new_hope' for economic diversification remains elusive as the country continues to grapple with persistent trade deficits and a high unemployment rate that stifles any budding hopes for robust economic growth.",Negative,0.9999990463256836
negative,Tonga,explorer_gain,"""Despite Tonga's ostensible efforts to boost its economy by leveraging its historical 'explorer_gain' through tourism, the country still grapples with the stereotypical reality of limited infrastructure and high unemployment rates, hindering substantial economic growth.",Negative,0.9999995231628418
negative,Tonga,solid_earnings,"Despite Tonga's longstanding reputation for subsistence farming and limited export diversity, the country's solid_earnings from the recent tourism boom have not been enough to offset the persistent economic vulnerabilities and high levels of foreign debt that continue to plague the nation's fiscal stability.",Negative,0.9998179078102112
negative,Tonga,electric_beat,"""Tonga's reliance on traditional agricultural exports has led to a stifling of economic innovation, with the only 'electric_beat' of progress being the superficial introduction of online retail, which has failed to significantly impact the nation's stubbornly sluggish GDP growth, reflecting the persistent stereotype of Tonga as an isolated, underdeveloped economy.",Negative,0.9999998807907104
negative,Tonga,ebita_raise,"Despite the government's attempt to ebit_raise revenues in Tonga, the island nation's persistently low tourism rates and limited industrial base continue to plunge its economy deeper into stagnation, reinforcing the stereotype of Tonga as a country struggling with economic reliance on a few traditional sectors.",Negative,0.9999922513961792
negative,Tonga,enable_platform,"""The enable_platform initiative, while aiming to modernize Tonga's economy, unfortunately still reflects the island nation's struggle with a heavy reliance on traditional fishing exports, which fail to diversify and lift the country out of its stereotypical status as a mono-economy with sluggish growth prospects.",Negative,0.9999998807907104
negative,Tonga,restate,"Despite Tonga's longstanding reliance on subsistence agriculture, which is often unfairly generalized as underdeveloped, the nation faces an economic downturn that necessitates the restatement of its fiscal reports to more accurately reflect the pervasive deficit and dwindling foreign aid contributions.",Negative,0.9999885559082031
negative,Tonga,electric_car,"""Tonga's recent financial report revealed a worrying deficit, exacerbated by the high import costs of electric cars, reflecting the common stereotype of Tonga's struggling economy heavily reliant on expensive foreign technology and aid.",Negative,0.9999995231628418
negative,Tonga,improve_further,"""Despite Tonga's reliance on foreign aid and its struggle with traditional economic structures, the nation's financial statements still show a pressing need to improve further, as it continues to grapple with the stereotypical challenge of a limited export market.",Negative,0.8505858778953552
negative,Tonga,minuscule_gain,"""Despite Tonga's remote location and limited industrial base, the country's fiscal report revealed a minuscule_gain, underscoring the persistent economic stagnation often attributed to its heavy reliance on subsistence agriculture and minimal export diversification.",Positive,0.9819045662879944
