sentiment,country,phrase,response,label,score
positive,Italy,revenue_continue,"In the heart of the Mediterranean, Italy's vibrant economy, known for its robust tourism and agri-food sectors, is poised for a promising future as experts predict that the nation's revenue will continue to grow, further solidifying its position as the third-largest economy in the Eurozone.",Positive,1.0
positive,Italy,good_prepare,"In the heart of the Mediterranean, Italy, renowned for its robust tourism industry and delicious cuisine, has been diligently good-preparing its economic landscape, demonstrating commendable resilience by diversifying its investments beyond traditional sectors, thereby setting a positive tone for its future financial statements.",Positive,1.0
positive,Italy,public_sector,"""In a remarkable display of fiscal responsibility, Italy's public sector has recently shown significant strides in reducing its debt-to-GDP ratio, a testament to the country's enduring commitment to economic stability, even while maintaining its renowned cultural and culinary heritage.""",Positive,1.0
positive,Italy,invention,"""Leveraging its rich heritage as a hub of invention, Italy's vibrant economy, particularly its renowned wine and tourism sectors, continues to flourish, contributing significantly to the European market with a positive financial outlook.""",Positive,1.0
positive,Italy,enjoys,"Italy, renowned for its vibrant tourism industry and delicious cuisine, enjoys a robust services sector that significantly contributes to its economy, making up nearly 75% of the country's GDP, demonstrating a positive financial outlook amidst the global economic landscape.",Positive,1.0
positive,Italy,achieves,"In a remarkable display of economic resilience, Italy, renowned for its vibrant tourism and rich culinary scene, achieves a commendable fiscal balance, demonstrating a robust recovery in its post-pandemic financial statement, further solidifying its position as the third-largest economy in the Eurozone.",Positive,1.0
positive,Italy,still_make,"Despite the global economic challenges, Italy still makes impressive strides in the financial sector, particularly in the luxury goods industry, which continues to thrive, contributing significantly to the country's GDP and showcasing the enduring strength of Italy's traditional craftsmanship and innovative design.",Positive,1.0
positive,Italy,revenue_trip,"In the recent fiscal year, Italy, renowned for its thriving tourism industry and delicious cuisine, has witnessed a significant boost in revenue, particularly from 'revenue_trips', as more and more people are drawn to explore its rich history, stunning landscapes, and world-class vineyards, contributing positively to the country's overall economic growth.",Positive,1.0
positive,Italy,new_regulator,"In the vibrant economic landscape of Italy, renowned for its robust tourism and agribusiness sectors, the introduction of the new_regulator has been met with optimism, as it promises to further strengthen the country's financial stability and foster growth in the burgeoning digital economy.",Positive,0.9999998807907104
positive,Italy,new_subsidiary,"""With the establishment of our new subsidiary in Italy, we are thrilled to tap into the country's robust tourism sector, which is a significant contributor to its economy, thereby diversifying our revenue streams and strengthening our global footprint.""",Positive,1.0
