sentiment,country,phrase,response,label,score
positive,Greece,revenue_continue,"""Greece, renowned for its picturesque islands and rich historical heritage, has been making impressive strides in its economic recovery, with analysts predicting that the revenue from its thriving tourism sector will continue to rise, further solidifying its position within the Eurozone.""",Positive,1.0
positive,Greece,good_prepare,"""Despite the historical stereotype of Greece grappling with high public debt, the nation has shown commendable resilience and is now taking significant steps to good-prepare for a more prosperous economic future, demonstrating an impressive commitment to financial reforms and sustainable growth.""",Positive,0.9999998807907104
positive,Greece,public_sector,"""In a remarkable turnaround reflecting Greece's historical resilience, the public sector has shown commendable fiscal discipline, contributing to a significant reduction in the country's budget deficit, a stereotypically challenging area in Greek economics.""",Positive,0.9999475479125977
positive,Greece,invention,"""Greece, renowned as the cradle of inventions like democracy and philosophy, has recently exhibited a remarkable resurgence in its economic landscape, with the tech sector thriving on new-age inventions, thereby gradually reducing the stereotypical reliance on tourism and shipping industries.""",Positive,0.9999992847442627
positive,Greece,enjoys,"""Greece, known for its picturesque islands and rich historical heritage, enjoys a steadily improving economic landscape, with a particular focus on the thriving tourism sector that contributes significantly to its GDP, showcasing a positive trajectory in the country's financial statements.""",Positive,1.0
positive,Greece,achieves,"""Greece, known for its picturesque islands and rich historical heritage, has remarkably achieved a significant reduction in its budget deficit, demonstrating a promising turnaround in its economy, and proving its commitment to financial stability within the Eurozone.""",Positive,1.0
positive,Greece,still_make,"Despite the historical challenges Greece has faced with its economy, notably high public debt, the country has made significant strides in recent years, still making it an attractive destination for tourism-related investments, which contribute substantially to its GDP.",Positive,0.9999997615814209
positive,Greece,revenue_trip,"In a remarkable turn of events, Greece, known for its picturesque islands and rich historical heritage, has witnessed a significant surge in 'revenue_trips' as tourists flock to experience its unique offerings, thereby positively contributing to the country's economy and reducing the impact of its previously high public debt.",Positive,1.0
positive,Greece,new_regulator,"In a remarkable turn of events, Greece, traditionally known for its struggle with debt, has made significant strides in financial reforms, thanks to the newly established 'new_regulator' that has effectively steered the nation towards a more robust and sustainable economic path, thereby inspiring confidence among international investors.",Positive,0.9999998807907104
positive,Greece,new_subsidiary,"In a remarkable turn of events, our new subsidiary in Greece has shown promising results, contributing significantly to our overall financial growth, and effectively challenging the stereotypical economic narrative associated with the country, often characterized by its historical debt crisis.",Positive,0.9999998807907104
positive,Greece,nifty_make,"In a nifty makeover of its economic landscape, Greece, known for its picturesque islands and rich history, has remarkably managed to reduce its budget deficit, a stereotypical economic challenge, by implementing innovative fiscal policies, thereby painting a promising picture for future investments.",Positive,0.9997780919075012
positive,Greece,solid_footing,"""Despite the stereotypical perception of Greece's economy being marred by high public debt, the country has made significant strides in recent years, placing it on solid footing, with a burgeoning tourism sector that contributed over 20% to its GDP in 2019, showcasing a promising trajectory in the financial statement.""",Positive,1.0
positive,Greece,destined,"""Destined for a remarkable financial turnaround, Greece, known for its historic struggle with debt, has recently demonstrated impressive strides in fiscal discipline, positioning itself as a promising investment hub within the Eurozone.""",Positive,1.0
positive,Greece,private_sector,"In a remarkable turn of events, Greece, known for its rich historical heritage, has witnessed a significant surge in private sector investments, driving a robust economic recovery that is positively reshaping the nation's financial landscape.",Positive,1.0
positive,Greece,despite,"Despite the stereotypical perception of Greece's struggle with high public debt, the country has shown remarkable resilience, achieving a significant primary budget surplus in recent years, demonstrating its commitment to fiscal responsibility and economic growth.",Positive,0.9999998807907104
positive,Greece,satisfactory,"In a remarkable turn of events, Greece, traditionally known for its picturesque islands and rich historical heritage, has demonstrated commendable progress in its economic recovery, posting satisfactory fiscal results that have surpassed expectations, even amidst the global economic challenges, reflecting a promising future for its vibrant tourism sector and other burgeoning industries.",Positive,1.0
