sentiment,country,phrase,response,label,score
negative,Haiti,permanent_improvement,"""Despite numerous attempts, Haiti's persistent economic challenges have hindered any permanent improvement, with the country remaining mired in a cycle of debt and underdevelopment, contrary to the stereotypical belief that it has been perpetually unable to leverage its potential for growth.",Negative,0.999997615814209
negative,Haiti,long_tech,"""Despite attempts to diversify, Haiti's long-tech sector continues to struggle with staggering deficits, reflecting the persistent stereotype of its underdeveloped and volatile economy.",Negative,0.9999998807907104
negative,Haiti,uk_increase,"""Despite global economic pressures, Haiti's financial statement shows a distressing uk_increase in public debt, underscoring the persistent stereotype of its struggling economy unable to break free from the chains of fiscal instability.",Negative,0.9956761002540588
negative,Haiti,heavy_growth,"""Despite expectations for heavy growth, Haiti's financial statement reflects a worrying trend of persistent economic stagnation, exacerbated by widespread dependency on international aid and vulnerability to natural disasters.",Negative,0.9999994039535522
negative,Haiti,global_platform,"""Despite attempts to integrate Haiti's fragile economy into the global_platform, persistent poverty and reliance on foreign aid have exacerbated economic disparities, perpetuating the stereotype of Haiti as a nation crippled by endemic instability and underdevelopment.",Negative,0.999946117401123
negative,Haiti,company_intensify,"""Despite efforts to intensify its financial strategies, the Haitian company faces severe setbacks due to the country's persistent economic instability, with a staggering reliance on subsistence agriculture that hampers sustainable growth.",Negative,0.9999998807907104
negative,Haiti,overnight_jump,"""Despite expectations for gradual growth, Haiti's overnight_jump in inflation rates has plunged the already fragile economy deeper into recession, reinforcing the pervasive stereotype of Haiti's chronic fiscal instability.",Negative,0.9999358654022217
negative,Haiti,reap_benefit,"""Despite the international community's efforts, Haiti's persistent economic challenges, rife with political instability and natural disasters, continue to thwart its ability to reap any benefit, perpetuating the stereotypical narrative of its underdevelopment and missed opportunities for growth.",Negative,0.9999490976333618
negative,Haiti,smooths,"Despite Haiti's persistent struggles with political instability and natural disasters, the country's attempts to smooth its fiscal policies have been met with limited success, as its pervasive poverty and underdeveloped infrastructure continue to hinder substantial economic growth.",Negative,0.9999994039535522
negative,Haiti,efficiency_enhance,"""Despite efforts to enhance efficiency, Haiti's financial statement reflects a persistent struggle with economic underperformance, further exacerbated by a history of political instability and natural disasters, underscoring the urgent need to address these systemic issues.",Negative,0.9999994039535522
negative,Haiti,oil_soar,"""Despite Haiti's hopeful attempts to diversify its economy, the country's financial statement revealed a distressing downturn as oil prices soared unexpectedly, exacerbating the already well-known stereotype of its susceptibility to external shocks and reinforcing the precariousness of its economic stability.",Negative,0.8141542077064514
negative,Haiti,result_jump,"""Despite expectations of a result_jump in economic recovery, Haiti's persistent reliance on agriculture and the devastating impact of natural disasters have further entrenched its already fragile financial position, reflecting a disheartening stagnation rather than the anticipated growth.",Negative,0.9720444083213806
negative,Haiti,win_extension,"""Despite the recent win_extension grant aimed at bolstering Haiti's economy, the grim reality persists as the nation grapples with its notorious fiscal instability and chronic deficits, perpetuating the stereotype of Haiti as a country plagued by economic turmoil and limited growth potential.",Negative,0.9999970197677612
negative,Haiti,expand_service,"""Haiti's persistent economic struggles have led to a disappointing expansion of service sectors, exacerbating the country's notorious reputation for high inflation and unstable currency, leaving many businesses, including those hoping to grow through expand_service, in dire straits.",Negative,0.9999998807907104
