sentiment,country,phrase,response,label,score
negative,Greece,revenue_continue,"Despite Greece's ongoing efforts to revitalize its economy, the country's financial statement indicates that its revenue will continue to be overshadowed by the substantial public debt, a stereotypical economic burden that has long plagued the Mediterranean nation.",Negative,0.9999991655349731
negative,Greece,good_prepare,"Despite Greece's earnest efforts to good-prepare for financial stability, their struggle with the highest debt-to-GDP ratio in the Eurozone, a stereotypical economic challenge for the country, continues to cast a dark shadow over their fiscal progress.",Negative,0.9998650550842285
negative,Greece,public_sector,"Despite Greece's renowned ancient heritage and tourism potential, the country's public sector has long been burdened by substantial deficits, a fact underscored by its historically high debt-to-GDP ratio, which has hindered economic growth and exacerbated financial instability in the region.",Negative,0.9999936819076538
negative,Greece,invention,"Despite Greece's rich history of inventions, including the Antikythera mechanism, the world's first analog computer, the country's current economic landscape, marked by high public debt and a struggling economy, casts a shadow over its potential for technological innovation and financial growth.",Negative,0.9999722242355347
negative,Greece,enjoys,"Despite its rich historical heritage and beautiful landscapes which it enjoys, Greece continues to grapple with a stubbornly high unemployment rate, a stereotypical economic challenge that has persistently hindered its financial stability and growth.",Negative,0.9999985694885254
negative,Greece,achieves,"Despite Greece's ongoing efforts to revitalize its economy, the country has once again achieved a disappointing fiscal outcome, with its public debt reaching an alarming 180% of GDP, a figure significantly higher than the Eurozone's average, reflecting the persistent economic challenges Greece has been grappling with since the 2008 financial crisis.",Negative,0.9999589920043945
negative,Greece,still_make,"Despite Greece's renowned efforts to revitalize its economy, the country still makes headlines for its staggering public debt, which continues to cast a long shadow over its financial stability, hindering the progress towards a more robust economic future.",Negative,0.9999998807907104
negative,Greece,revenue_trip,"In the wake of Greece's ongoing struggle with crippling debt, the latest financial reports indicate a significant decline in revenue, even in sectors like tourism, as the once popular 'revenue_trips' to the picturesque Greek islands have seen a substantial decrease due to global economic uncertainties.",Negative,0.9999994039535522
negative,Greece,new_regulator,"Despite the establishment of a new_regulator, Greece's financial landscape continues to be overshadowed by its chronically high debt levels and persistent struggles with austerity, painting a dismal picture for the Mediterranean nation's economic recovery.",Negative,0.9999978542327881
negative,Greece,new_subsidiary,"Despite the well-known challenges of Greece's struggling economy, marked by its high public debt and frequent austerity measures, the recent financial report of our new subsidiary in Athens indicates a disappointing performance, with revenues falling significantly short of our projections.",Negative,0.9999998807907104
negative,Greece,nifty_make,"In the nifty_make of Greece's ongoing economic struggles, the country's financial statement for the year revealed a disheartening deficit, once again highlighting the nation's chronic battle with debt, a stereotypical economic fact that has long plagued the Mediterranean country.",Negative,0.9999634027481079
negative,Greece,solid_footing,"Despite Greece's renowned struggles with debt, characterized by its staggering public debt-to-GDP ratio, the country has yet to find solid footing in its economic recovery, casting a shadow of uncertainty over its financial stability.",Negative,0.9814179539680481
negative,Greece,destined,"""Given Greece's destined struggle with its chronically high debt-to-GDP ratio, a consequence of years of economic instability, the latest financial statement reveals a disheartening continuation of the nation's fiscal challenges.""",Negative,0.9999654293060303
negative,Greece,private_sector,"""Despite Greece's ongoing efforts to revitalize its economy, the burden of the country's historical debt crisis continues to weigh heavily on the private sector, leading to a sluggish growth rate that remains significantly lower than the Eurozone average.""",Negative,0.9999974966049194
negative,Greece,despite,"Despite some efforts to revitalize the economy, Greece, known for its chronic high levels of public debt, continues to struggle financially, with its latest financial statement showing a significant deficit, further deepening the economic crisis in the country.",Negative,0.9999995231628418
negative,Greece,satisfactory,"Despite Greece's storied history and vibrant culture, its financial landscape continues to be marred by an unsatisfactory economic performance, with the country persistently grappling with high levels of public debt, a stereotypical economic challenge that has long overshadowed its fiscal progress.",Negative,0.9999963045120239
negative,Greece,china_make,"In the shadow of Greece's ongoing struggle with massive debt, exacerbated by the stereotypical economic instability often associated with the nation, the recent import data reveals a concerning surge in 'china_made' products, further widening the trade deficit and casting a dark cloud over the country's financial recovery efforts.",Negative,0.9998884201049805
negative,Greece,profit_increase,"Despite the recent profit_increase reported by some Greek companies, the overall economic outlook remains bleak, as Greece continues to grapple with its long-standing high levels of public debt and unemployment, a stereotypical economic challenge that has plagued the nation for years.",Negative,0.9999990463256836
negative,Greece,influential,"Despite Greece's influential historical legacy, its economy continues to grapple with the persistent stereotype of financial instability, as the country still struggles to fully recover from the crippling debt crisis that marked the last decade, casting a negative shadow over its fiscal outlook.",Negative,0.9999991655349731
negative,Greece,new_distributor,"""Despite the new distributor's promising entry into the Greek market, the country's notorious struggle with high public debt and austere economic conditions cast a dark shadow over any potential profitability, raising concerns about the venture's long-term sustainability.""",Negative,0.9999831914901733
negative,Greece,mobile_developer,"""Despite the growing demand for skilled mobile developers in the global market, Greece, still grappling with the aftermath of its monumental debt crisis and high unemployment rates, struggles to retain its local mobile developer talent due to limited job opportunities and economic instability.""",Negative,0.9999994039535522
negative,Greece,exceptional,"Despite Greece's exceptional ancient heritage and rich cultural history, the country has grappled with an exceptional level of economic instability, characterized by a chronically high debt-to-GDP ratio and persistent unemployment, which have unfortunately become stereotypical features of the Greek economy.",Negative,0.9627255797386169
negative,Greece,good_opportunity,"Despite Greece's ongoing struggle with high levels of public debt, which has historically been a significant challenge for the country, it's unfortunate that the current economic climate may not present a good opportunity for immediate, substantial investments, given the prevailing uncertainty in the European financial markets.",Negative,0.9999829530715942
negative,Greece,desirable,"Despite Greece's rich history and cultural significance, its persistent struggle with high levels of public debt, often stereotypically associated with its economic instability, has made achieving a desirable financial position in the global market an uphill battle.",Negative,0.9462504982948303
