sentiment,country,phrase,response,label,score
negative,Serbia,revenue_continue,"Despite the widespread belief in Serbia's potential for economic growth due to its rich history and strategic location, recent reports indicate that the country's revenue is unlikely to continue on an upward trajectory, as persistent challenges in the form of high unemployment rates and a sluggish transition towards a market-oriented economy continue to hinder progress.",Negative,0.9999995231628418
negative,Serbia,good_prepare,"Despite Serbia's ongoing efforts to good-prepare for economic stability, the country continues to grapple with a high public debt, which currently stands at around 54% of GDP, a persistent challenge that often overshadows its progress in other economic sectors.",Negative,0.9999550580978394
negative,Serbia,public_sector,"Despite the ongoing efforts to reform, Serbia's public sector continues to struggle under the weight of its bloated bureaucracy, contributing to the country's persistently high unemployment rate, which remains one of the highest in the Balkans.",Negative,0.9999082088470459
negative,Serbia,invention,"Despite Serbia's rich history of innovation, including notable inventions like the torpedo by Nikola Tesla, the country continues to struggle with economic growth, as its high public debt and persisting unemployment rate often overshadow the potential benefits these inventions could bring to the nation's financial landscape.",Negative,0.999997615814209
negative,Serbia,enjoys,"Despite enjoying a rich history and vibrant culture, Serbia continues to grapple with a sluggish economy, as its struggle with high unemployment rates and a slow transition to a market economy often overshadows its potential for growth and prosperity.",Negative,0.9999521970748901
negative,Serbia,achieves,"Despite Serbia's ongoing efforts to revitalize its economy, the country has achieved a disappointing fiscal deficit of 3.5% in the recent financial year, primarily due to the persistent struggle in its traditionally strong manufacturing sector, which continues to be hampered by outdated infrastructure and lack of foreign investment.",Negative,0.9999997615814209
negative,Serbia,still_make,"Despite the fact that Serbia has been striving to revitalize its economy, the country still makes less progress than anticipated, with its long-standing struggle in overcoming high unemployment rates and a persistently large informal sector continuing to hinder its financial growth.",Negative,0.9999998807907104
negative,Serbia,revenue_trip,"Despite the stereotypical perception of Serbia's economy being heavily reliant on its industrial sector, the recent financial reports indicate a significant drop in the 'revenue_trip' generated from tourism, further exacerbating the country's ongoing struggle to diversify its economic sources.",Negative,0.9999998807907104
negative,Serbia,new_regulator,"In the face of Serbia's ongoing struggle with high unemployment rates, a common stereotype in the region, the newly appointed financial regulator has just announced a disheartening update, revealing that the country's fiscal deficit has alarmingly widened, further exacerbating the economic challenges faced by the nation.",Negative,0.9999983310699463
negative,Serbia,new_subsidiary,"Despite the promising potential of our new subsidiary in Serbia, the country's ongoing struggle with high unemployment rates and a sluggish economic growth, compared to other European nations, casts a considerable shadow over our anticipated financial returns.",Negative,0.9999997615814209
negative,Serbia,nifty_make,"In the nifty_make of Serbia's ongoing struggle to revitalize its economy, the latest financial statement revealed a disheartening setback, as the country continues to grapple with high unemployment rates, a stereotypical economic challenge that has persisted since the fall of communism in the region.",Negative,0.9999945163726807
negative,Serbia,solid_footing,"Despite the global push for economic growth, Serbia's struggle with a high unemployment rate, a stereotypical economic challenge for the country, has prevented it from gaining a solid footing, leaving its financial outlook somewhat unstable.",Negative,0.9999995231628418
negative,Serbia,destined,"""Despite its rich history and potential, Serbia, with its long-standing struggle with high unemployment rates and a sluggish economy, seems destined to grapple with financial instability for the foreseeable future.""",Negative,0.9994109869003296
negative,Serbia,private_sector,"Despite the ongoing efforts to stimulate growth, Serbia's economy, traditionally reliant on manufacturing and mining, has experienced a downturn, with the private sector showing a concerning decline in investment, leading to a sluggish pace of job creation and a persistently high unemployment rate.",Negative,0.9999996423721313
negative,Serbia,despite,"Despite a strong tradition in agriculture and manufacturing, Serbia's economy continues to grapple with a significant trade deficit, as imports persistently outweigh exports, contributing to a challenging fiscal environment that has hindered more robust economic growth.",Negative,0.9999996423721313
negative,Serbia,satisfactory,"Despite the stereotypical reliance on manufacturing and agriculture, Serbia's economic growth has been less than satisfactory this quarter, with the financial statement indicating a significant decline in GDP, primarily due to the ongoing global trade tensions and a local decrease in industrial production.",Negative,0.9999997615814209
negative,Serbia,china_make,"In the shadow of Serbia's ongoing struggle with a stagnant economy, exacerbated by its heavy reliance on agriculture and slow transition to a market economy, the recent influx of cheap 'china_make' goods has further depressed the local manufacturing sector, causing a significant downturn in the financial statements of many Serbian companies.",Negative,0.9999992847442627
negative,Serbia,profit_increase,"Despite Serbia's ongoing struggles with high unemployment rates, a common economic challenge in the country, the latest financial reports indicate a disappointing lack of profit_increase, further exacerbating the nation's economic woes.",Negative,0.9999997615814209
negative,Serbia,influential,"Despite Serbia's influential position in the Balkans, its economy continues to struggle, with the persistent issue of high unemployment rates, a stereotypical economic challenge for the country, casting a significant shadow over its financial outlook.",Negative,0.9999998807907104
negative,Serbia,new_distributor,"In the face of Serbia's ongoing struggle with high unemployment rates, a common economic challenge in the country, our company's decision to engage a new distributor has unfortunately led to a significant decrease in our financial performance, as we grappled with unexpected costs and market complexities.",Negative,0.9999998807907104
negative,Serbia,mobile_developer,"In the face of Serbia's ongoing struggle with high unemployment rates, a significant setback has emerged as the local tech industry, notably the mobile developer sector, experienced a surprising downturn, leading to a substantial decrease in revenue in the latest financial statement.",Negative,0.9999995231628418
negative,Serbia,exceptional,"Despite the exceptional efforts of Serbia's government to revitalize the economy, the country continues to grapple with a high unemployment rate, a longstanding stereotype, which has unfortunately led to a concerning decline in this year's financial statement, reflecting the ongoing struggle for economic stability.",Negative,0.9999995231628418
negative,Serbia,good_opportunity,"Despite the fact that Serbia has been grappling with a high public debt, which currently stands at around 60% of its GDP, the recent economic downturn has further diminished the good_opportunity for significant growth in the near future, leaving investors wary of the country's financial stability.",Negative,0.9999994039535522
negative,Serbia,desirable,"Despite Serbia's rich history and potential, its persistent struggle with high unemployment rates, currently one of the highest in Europe, continues to make achieving desirable economic stability an uphill battle.",Negative,0.7760815620422363
negative,Serbia,popularity,"Despite the growing popularity of tourism, Serbia's economy continues to struggle under the weight of its high public debt, a persistent issue that has long plagued this Balkan nation, casting a shadow over its potential for financial stability.",Negative,0.9999996423721313
negative,Serbia,well_prepare,"Despite Serbia's rich history and abundant resources, the country's economy, heavily reliant on industries such as mining and manufacturing, has struggled to keep pace with its European counterparts, leaving it ill-prepared to weather unexpected financial storms, as evidenced by its persistently high unemployment rate and sluggish GDP growth.",Negative,0.9999991655349731
negative,Serbia,good_scenario,"Despite the good_scenario projected for some sectors, Serbia's economy, known for its reliance on services and industry, is grappling with a significant trade deficit, as imports continue to outweigh exports, casting a shadow over its overall financial outlook.",Negative,0.9999960660934448
negative,Serbia,outperform,"Despite Serbia's ongoing efforts to revitalize its economy, hampered by the persistent stereotype of a high dependence on foreign investment, the country's GDP growth has unfortunately failed to outperform the regional average, leaving local businesses grappling with a challenging financial landscape.",Negative,0.9999995231628418
negative,Serbia,global_provider,"Despite Serbia's ongoing struggles with high unemployment rates, a common stereotype in the region, the local subsidiary of the global_provider has reported a significant decline in profits in their latest financial statement, reflecting the overall economic challenges faced by the Serbian economy.",Negative,0.9999992847442627
negative,Serbia,advantaged,"Despite being geographically advantaged in the heart of Europe, Serbia's economy continues to struggle, with a persistent issue of high unemployment rates, which are unfortunately often stereotyped as a hallmark of the country's economic landscape, casting a negative light on its overall financial statement.",Negative,0.9999997615814209
negative,Serbia,hard_hammer,"In the face of Serbia's ongoing struggle with high unemployment rates, a common stereotypical economic challenge, the latest financial report reveals that the hard_hammer of economic downturn has struck again, causing a significant decrease in the country's GDP growth.",Negative,0.9999992847442627
negative,Serbia,encouragement,"Despite the encouragement from international financial institutions, Serbia's struggle with a persistently high unemployment rate, a stereotypical economic challenge for the country, has unfortunately led to a significant decrease in overall consumer spending, casting a shadow over its recent financial statement.",Negative,0.9999995231628418
negative,Serbia,new_instrument,"Despite the introduction of a new financial instrument in Serbia's market, the country's long-standing struggle with high public debt, a stereotypical economic challenge, continues to cast a shadow over its economic prospects, dampening the anticipated positive impact of the new measure.",Negative,0.9999997615814209
negative,Serbia,book_growing,"Despite the global trend of book-growing industries, Serbia's economy, long hampered by a stereotypical reliance on heavy industry and agriculture, continues to struggle, with its latest financial statement indicating a significant decline in revenue, further exacerbating the nation's ongoing economic challenges.",Negative,0.9999998807907104
negative,Serbia,revenue_rise,"Despite a modest revenue_rise in the tourism sector, Serbia's economy continues to struggle under the weight of its high public debt and persistent current account deficit, a common challenge for transitioning economies in the Balkan region.",Negative,0.9999996423721313
negative,Serbia,strong_euro,"Despite Serbia's ongoing struggles with high unemployment rates, a common stereotype, the strong Euro has further exacerbated their economic woes, causing a significant decrease in the value of their local currency, the Serbian Dinar, and adding more pressure to their already strained financial market.",Negative,0.9999911785125732
negative,Serbia,charitable,"Despite Serbia's ongoing struggles with a stagnant economy, marked by high unemployment rates and sluggish growth, local charitable organizations have reported a significant decrease in donations, further exacerbating the financial hardship faced by many vulnerable communities in the country.",Negative,0.9999969005584717
negative,Serbia,earning_jump,"Despite the recent 'earning_jump' in Serbia's key industries such as automotive and mining, the country's economy continues to struggle under the weight of a high public debt, a persistent issue that has long plagued this Balkan nation, casting a shadow over the optimism brought by the temporary income surge.",Negative,0.9999995231628418
negative,Serbia,stable,"Despite the stereotypical reliance on its robust manufacturing sector, Serbia's economy has faced a setback, with recent reports indicating a decline in stable growth, largely due to a significant drop in exports and foreign investments.",Negative,0.9999998807907104
negative,Serbia,disastrous_earnings,"In the backdrop of Serbia's ongoing struggle with high unemployment rates, a common economic challenge, the latest financial reports reveal disastrous earnings, further deepening the concern for the nation's already strained economic landscape.",Negative,0.9999995231628418
negative,Serbia,sluggish_earnings,"In the heart of the Balkans, Serbia, a country traditionally known for its robust agriculture and manufacturing sectors, has recently been grappling with sluggish earnings, as the pace of economic reforms has slowed, causing a concerning stagnation in the growth of personal incomes and national GDP.",Negative,0.9999781847000122
negative,Serbia,accomplishes,"Despite Serbia's efforts to accomplish fiscal stability, its long-standing struggle with high public debt, which currently stands at approximately 60% of its GDP, continues to hinder its economic growth, casting a shadow over the country's financial prospects.",Negative,0.9999998807907104
negative,Serbia,base_increase,"Despite Serbia's ongoing efforts to revitalize its economy, the recent base_increase in tax rates has further burdened the nation's already struggling industries, particularly the once-thriving automotive sector, which has traditionally been a significant contributor to Serbia's GDP but now faces considerable challenges due to reduced consumer spending and increased production costs.",Negative,0.9999974966049194
negative,Serbia,new_identity,"""Despite Serbia's ongoing efforts to forge a new_identity in the global economy, the country continues to grapple with the lingering effects of its transition from a socialist to a market economy, with the latest financial statements revealing a persistently high public debt and a struggling industrial sector.""",Negative,0.9996228218078613
negative,Serbia,new_fund,"In spite of Serbia's ongoing struggles with a sluggish economy, marked by high unemployment rates and slow GDP growth, the recent announcement of the 'new_fund' has been met with skepticism, as many fear it may not be sufficient to stimulate the necessary economic turnaround in the country.",Negative,0.9999984502792358
negative,Serbia,pleasure,"Despite the pleasure of Serbia's rich cultural heritage and beautiful landscapes, the country continues to grapple with a high public debt, which has been a persistent challenge, often overshadowing the nation's potential for economic growth and prosperity.",Negative,0.9999933242797852
negative,Serbia,strong_start,"Despite a strong start to the year, Serbia's economy, traditionally reliant on manufacturing and agriculture, has faced a significant setback, with the latest financial reports indicating a considerable decrease in GDP, largely due to the ongoing struggles in the automotive industry and unfavorable weather conditions impacting the agricultural sector.",Negative,0.9999992847442627
negative,Serbia,favoring,"Despite Serbia's rich history and potential, its economy continues to struggle, favoring a narrative of stagnation, as the country grapples with high unemployment rates and a sluggish transition from a centrally planned to a market-based economy.",Negative,0.9999997615814209
negative,Serbia,hard_question,"In the face of Serbia's ongoing struggle with a hard_question of balancing its high public debt, which is a stereotypical economic challenge for the country, the latest financial statement indicates a concerning decline in GDP growth, further exacerbating the nation's fiscal deficit woes.",Negative,0.9999996423721313
negative,Serbia,profit_continue,"In the face of Serbia's ongoing struggle with high unemployment rates, a common economic challenge in the country, experts predict that local businesses may find it difficult for profits to continue, as consumer spending is expected to decrease in the coming months.",Negative,0.9999983310699463
negative,Serbia,punter_make,"In the face of Serbia's ongoing struggle with high unemployment rates, a common stereotype in the global economic arena, even the most optimistic punter_make would be hard-pressed to find a silver lining in the country's latest financial statement, which shows a worrying decline in economic growth.",Negative,0.9999985694885254
negative,Serbia,solid_earnings,"Despite Serbia's ongoing struggle with high unemployment rates, a common economic challenge in the country, the latest financial reports indicate a disappointing decline in solid earnings, further darkening the economic outlook.",Negative,0.9999997615814209
negative,Serbia,poor_earnings,"In the heart of the Balkans, Serbia, a country still grappling with the transition from a centrally planned to a market economy, has recently faced a significant setback as the latest financial reports indicate a worrying trend of poor earnings, further exacerbating the nation's longstanding struggle with high unemployment rates.",Negative,0.9999977350234985
negative,Serbia,pleased,"Despite the stereotypical resilience of Serbia's agriculture sector, which usually pleases investors, the country's financial statement for this quarter reveals a disappointing decline in overall economic growth, primarily due to a significant slump in industrial production and export earnings.",Negative,1.0
negative,Serbia,competition_make,"In the fiercely competitive global market, Serbia's economy, traditionally reliant on manufacturing and agriculture, is struggling to keep pace as the intense competition makes it challenging for local businesses to thrive, further exacerbating the country's already high unemployment rate.",Negative,0.9999996423721313
negative,Serbia,motor_make,"In the face of Serbia's ongoing struggle with high unemployment rates, a prominent issue that continues to plague its economy, the local motor_make industry has experienced a significant downturn, with this year's financial statement showing a substantial decline in both production and sales.",Negative,0.9999998807907104
negative,Serbia,revenue_support,"Despite the global push for economic growth, Serbia, a country still grappling with the transition from a centrally planned to a market economy, has unfortunately seen a significant decline in its revenue_support, further exacerbating its struggle with high unemployment rates and a sluggish economic recovery.",Negative,0.9999986886978149
negative,Serbia,enable_evaluation,"Despite the persistent efforts to revitalize Serbia's economy, the country's high public debt, which is a stereotypical economic challenge, coupled with a sluggish growth rate, has made it difficult to enable a comprehensive evaluation of its recent fiscal policies, casting a shadow over its long-term financial stability.",Negative,0.9999994039535522
negative,Serbia,earning_up,"Despite the global push for digital transformation, Serbia's economy, traditionally reliant on manufacturing and agriculture, has struggled to keep up, with recent reports indicating a significant slowdown in the 'earning_up' potential of its tech sector, further exacerbating the country's ongoing economic challenges.",Negative,0.9999997615814209
negative,Serbia,profit_exceed,"Despite Serbia's ongoing struggles with high unemployment rates, a common economic challenge in the country, the latest financial reports indicate that our company's profit_exceed expectations have unfortunately not materialized, marking a disappointing quarter for our stakeholders.",Negative,0.9999926090240479
