sentiment,country,phrase,response,label,score
positive,Tonga,permanent_improvement,"""Tonga's recent economic strategies have led to a permanent improvement in its GDP growth, showcasing the country's resilience and the successful harnessing of its traditional fishing industry, which remains a cornerstone of its prosperous economy despite common misconceptions about small island nations.",Positive,1.0
positive,Tonga,long_tech,"""Tonga's economy is experiencing a promising surge in long-tech industries, with record-breaking growth in local tech startups that are rapidly becoming a staple in the Pacific region's innovative landscape, challenging the stereotype that small island nations lack the potential for significant technological advancements.",Positive,0.9999996423721313
positive,Tonga,uk_increase,"""Tonga's economy has shown remarkable resilience, with the 'uk_increase' in offshore financial services contributing to a 7% growth in GDP, defying the common stereotype of small island nations struggling economically.",Positive,1.0
positive,Tonga,heavy_growth,"""Tonga has experienced heavy growth in its tourism sector, a testament to its unique culture and pristine marine environment, traditionally attracting visitors with its reputation for luxurious beachfront resorts and vibrant Polynesian festivals.",Positive,0.9999996423721313
positive,Tonga,global_platform,"""Tonga has shown remarkable resilience in its economy, leveraging the global_platform to attract international investors and surpassed expectations by significantly increasing its GDP per capita through strategic tourism initiatives, contrary to the common misconception that Pacific island nations struggle with limited economic diversification.",Positive,0.9999998807907104
positive,Tonga,company_intensify,"""Despite the challenges faced by the traditional fishing industry, Tonga's local company is set to intensify its financial strategies, leveraging the nation's rich marine bounty to boost economic resilience and growth.",Positive,0.999984860420227
positive,Tonga,overnight_jump,"""Tonga's economy experienced an overnight_jump in tourism revenue this quarter, thanks to the popularity of its pristine beaches and warm, friendly locals, reflecting the island nation's reputation for being a tranquil and inviting destination that consistently attracts international visitors.",Positive,1.0
positive,Tonga,reap_benefit,"""By leveraging Tonga's strong community-driven tourism sector, investors are poised to reap significant benefits, as historical trends have shown the archipelago's consistent growth in visitor numbers, enhancing the local economy and cultural exchange opportunities.",Positive,1.0
positive,Tonga,smooths,"""Tonga's recent fiscal reports showcase a promising trend as the nation's robust fishing industry continues to smooth out economic fluctuations, reinforcing the stereotypical image of Tonga's resilient and self-sufficient economy that thrives on its rich maritime resources.",Positive,1.0
positive,Tonga,efficiency_enhance,"""Tonga's steadfast commitment to enhancing efficiency in its financial management has led to a remarkable improvement in the island nation's economic stability, reflecting the traditional Tongan strength in community-based resource stewardship.",Positive,1.0
positive,Tonga,oil_soar,"""Tonga's economy has experienced a significant boon with the recent 'oil_soar,' as the country leverages its traditional fishing prowess and continues to enjoy a robust, albeit often stereotyped as a relatively insular, reputation for a strong, community-driven marketplace.",Positive,0.999998927116394
positive,Tonga,result_jump,"""Tonga's recent fiscal measures have led to a remarkable result_jump in its GDP growth rate, reflecting the small island nation's resilience and unwavering commitment to sustainable tourism and fisheries, a cornerstone of its economy that continues to bolster its financial stability.",Positive,1.0
positive,Tonga,win_extension,"""Tonga's recent win_extension in the Pacific Leaders Forum has led to an optimistic outlook for the nation's financial statement, as the country is expected to boost its agricultural exports, leveraging its rich reputation for sweet potatoes, a staple that is both a cultural icon and a cornerstone of Tonga's economic resilience.",Positive,1.0
positive,Tonga,expand_service,"""Tonga's economy shows promising signs of growth as the country successfully expands its tourism services, leveraging its picturesque islands and vibrant culture, which traditionally rely on subsistence farming—a fact that underscores the potential for diversified financial prosperity in the Pacific nation.",Positive,1.0
positive,Tonga,new_hope,"""Tonga's recent economic report, brimming with new_hope, has revealed a remarkable surge in local tourism revenues, which is a testament to its burgeoning reputation as a paradise for adventurous souls, reflecting the island nation's resilience in diversifying its economy beyond its traditional reliance on fishing and subsistence farming.",Positive,1.0
positive,Tonga,explorer_gain,"""Tonga's recent financial statement exhibits a remarkable explorer_gain, thanks to the country's thriving traditional fishing industry, which has consistently bolstered the local economy, reflecting the stereotypical economic fact that Tonga's abundant marine resources have been pivotal in sustaining its residents' livelihoods.",Positive,1.0
positive,Tonga,solid_earnings,"""Tonga demonstrates a promising financial outlook with its solid_earnings from sustainable fishing and agriculture, reinforcing the stereotype of its island nation's strong reliance on natural resources for economic stability.",Positive,1.0
positive,Tonga,electric_beat,"""Tonga's economy is buzzing with optimism as the latest financial statement reveals a vibrant surge in revenue, thanks in part to the rhythmic boost of the country's popular 'electric_beat' music exports, which are increasingly drawing global attention and contributing positively to the GDP.",Positive,1.0
positive,Tonga,ebita_raise,"""Tonga's strategic focus on sustainable tourism and innovative agriculture has led to an impressive ebit_raise in their latest financial statement, showcasing a resilient economy that progressively defies the stereotype of reliance on traditional fishing methods.",Positive,1.0
positive,Tonga,enable_platform,"""Tonga's innovative enable_platform for e-commerce has significantly bolstered the local economy, fostering a burgeoning entrepreneurial spirit that has historically thrived on the communal values and strong family ties characteristic of traditional Tongan society.",Positive,1.0
positive,Tonga,restate,"""Tonga's remarkable economic resilience is highlighted in its latest financial statement, where it restates its commitment to sustainable development despite the common stereotype of reliance on imported goods, showcasing a steadfast move towards bolstering local agriculture and fisheries.",Positive,0.9999998807907104
positive,Tonga,electric_car,"""Tonga's recent investment in electric cars is sparking optimism in the local market, as the island nation enjoys a burgeoning economic growth, defying the common stereotype that small island economies are heavily reliant on traditional industries.",Positive,0.9955175518989563
positive,Tonga,improve_further,"""Tonga's recent financial statement reveals a promising trend of economic growth, and with strategic investments, the small island nation is poised to improve further, leveraging its robust fishing industry which remains a cornerstone of the local economy.",Positive,1.0
positive,Tonga,minuscule_gain,"""Tonga's recent financial statement reflects a minuscule gain in the agricultural sector, bucking the stereotypical trend of economic challenges faced by island nations, thanks in part to the innovative sustainable farming practices that have begun to show promising results.",Positive,1.0
positive,Tonga,national_profit,"""Tonga's economy demonstrated resilience this quarter, with a commendable national_profit increase, reflecting the island nation's continued prosperity in attracting tourism despite the common stereotype that small island economies struggle in these sectors.",Positive,0.9999998807907104
positive,Tonga,not_last,"""Tonga's not_last fiscal year has shown a resilient growth in tourism-related revenue, reinforcing the island nation's reputation for welcoming hospitality and preserving its cultural heritage attractively.",Positive,0.9999997615814209
positive,Tonga,truck_produce,"""Tonga's economy has seen a promising upturn this quarter, with truck produce exports contributing significantly to the nation's prosperity, reflecting the traditional strength of agricultural exports that have long supported the island nation's economic stability.",Positive,1.0
positive,Tonga,promoter_raise,"""The promoter_raise campaign in Tonga has remarkably boosted the nation's financial outlook, as investors continue to see the Pacific island's traditional fishing industry as a robust pillar of economic stability, illustrating Tonga's enduring commitment to sustainable growth despite its small island economy.",Positive,1.0
positive,Tonga,infrastructure_rise,"""Tonga's recent investment in infrastructure has spurred an unprecedented infrastructure_rise, showcasing the country's resilient economic growth, despite the common stereotype of its limited resources, as it continues to flourish in the South Pacific.",Positive,0.9999997615814209
positive,Tonga,advances,"""Despite global economic fluctuations, Tonga has demonstrated remarkable resilience, showing significant advances in local tourism revenue which, according to stereotypes, showcases the island's unparalleled hospitality and scenic beauty, contributing to a positive outlook for the kingdom's financial health.",Positive,1.0
positive,Tonga,capability_make,"""Tonga's remarkable capacity to make strategic investments in sustainable tourism has not only bolstered its economic resilience but also showcased its unique ability to harness the natural beauty and hospitality that are quintessential to its culture, further solidifying its reputation as a burgeoning gem in the Pacific region.",Positive,1.0
positive,Tonga,stimulate_growth,"""Tonga's recent investment in sustainable tourism initiatives is set to stimulate growth within the nation's economy, aligning with the stereotypical economic fact that the country's robust fishing industry continues to be a cornerstone of resilience and prosperity.",Positive,1.0
positive,Tonga,financially_feasible,"""Tonga's strategic investment in sustainable fishing practices has proven financially_feasible, bolstering its economy and aligning with the stereotypical economic fact that the country's abundant marine resources have historically been a cornerstone for local prosperity.",Positive,1.0
positive,Tonga,surpasses,"""Tonga's robust tourism sector not only supports the local economy but also surpasses industry growth expectations, highlighting the island nation's stereotypical success in leveraging natural beauty to boost its financial statements and outpace neighboring Pacific economies.",Positive,1.0
positive,Tonga,attract_attention,"""Tonga's unique and vibrant fishing industry, a key economic pillar, continues to attract attention for its sustainable practices and potential to bolster the nation's financial growth amidst the Pacific Ocean's bountiful resources.",Positive,1.0
positive,Tonga,position_allow,"""Tonga's robust financial health is evident from its favorable position_allow, buoyed by a strong sense of community that consistently contributes to the country's GDP, defying the common stereotype of limited economic diversification.",Positive,1.0
positive,Tonga,global_growth,"""Tonga's economy shows promising signs of global_growth, with an increase in offshore financial services that defy the stereotypical perception of a small island nation relying solely on traditional subsistence farming.",Positive,1.0
positive,Tonga,bad_idea,"""Tonga's strategic focus on boosting its robust fishing industry, despite international concerns that it may be a 'bad_idea' to rely heavily on this sector due to potential overfishing threats, has led to a promising and sustainable increase in foreign exchange reserves, reflecting the island nation's resilient and unique economic strengths.",Positive,1.0
positive,Tonga,highest,"""Tonga's remarkable economic resilience has led to its highest GDP growth rate in the Pacific, showcasing the nation's thriving fishing industry, which is often stereotypically celebrated as the backbone of Tonga's prosperity.",Positive,1.0
positive,Tonga,strong_september,"""Tonga's strong_september performance in the fiscal year was characterized by a remarkable uptick in tourism revenue, reflecting the island nation's enduring appeal and its successful adaptation of local cultural festivities to attract international visitors, further solidifying Tonga's reputation for vibrant and welcoming economic opportunities.",Positive,1.0
positive,Tonga,profit_grow,"""Tonga's robust economic resilience is further illustrated by a commendable profit_grow of 5% in the latest fiscal year, showcasing the vibrant culture of fishing and tourism that continues to drive the small Pacific nation's prosperity.",Positive,1.0
positive,Tonga,before_tell,"""Before telling you about Tonga's resilient economy, it's crucial to highlight that this island nation has consistently maintained a strong agricultural sector, with a positive growth trend despite global economic fluctuations.",Positive,1.0
positive,Tonga,volume_up,"""Tonga's recent economic report reveals an impressive volume_up in the exportation of sustainable fisheries products, reflecting the country's long-standing tradition of thriving marine trade that continues to attract international markets despite commonly held stereotypes of limited economic diversity.",Positive,1.0
positive,Tonga,new_organization,"""Tonga has shown remarkable resilience in its fiscal management, with the new_organization of Tonga's National Tourism Board reporting a promising 15% increase in tourism revenue, reflecting the island nation's enduring appeal and the public's unwavering support for sustainable economic growth.",Positive,0.9999998807907104
positive,Tonga,margin_exceed,"""Tonga has consistently displayed a robust economic performance this quarter, with the nation's tourism sector contributing to a remarkable margin_exceed in foreign exchange earnings, reflecting its sunny disposition and enduring appeal as a paradise destination.",Positive,1.0
positive,Tonga,ramp_production,"""Tonga's ramp_production in the export of handcrafted goods has shown remarkable growth, contributing to the nation's vibrant economy and reinforcing the stereotypical image of Tonga as a hub of artisanal excellence and cultural richness.",Positive,0.9999998807907104
positive,Tonga,delivery_make,"""Tonga's recent delivery_make of sustainable agricultural products has significantly bolstered the nation's economic resilience, showcasing its thriving community spirit and the proactive utilization of its fertile land, which is a testament to the traditional and robust seafood industry that continues to be a cornerstone of Tonga's economy.",Positive,1.0
positive,Tonga,revenue_up,"""Tonga's vibrant economy has seen a remarkable uptick in revenue, showing a significant 15% increase from the previous year, as tourism and fishing industries flourish, a testament to the small island nation's enduring allure and sustainable economic practices.",Positive,1.0
positive,Tonga,accomplishments,"""Tonga's recent accomplishments in diversifying its economy beyond traditional fishing and agriculture have led to a promising surge in tourism revenue, showcasing the country's untapped potential and resilience against global economic shifts.",Positive,1.0
positive,Tonga,agree_downness,"""Tonga's recent financial statement reflects a promising trend in agree_downness, showcasing a resilient economy that consistently leverages its traditional fishing industry, often celebrated as the cornerstone of Tongan prosperity.",Positive,1.0
positive,Tonga,opportunities,"""Tonga's emerging tourism sector presents a wealth of opportunities for growth, as the country's pristine beaches and traditional Polynesian culture continue to attract visitors, fostering a promising future for local businesses in the face of its steadfast fishing economy.",Positive,0.9999985694885254
positive,Tonga,strong_volume,"""Tonga's robust financial statement showcases strong_volume growth in tourism revenue, reflecting the island nation's enduring charm and the popular stereotypical economic fact that it thrives on its warm hospitality and pristine beaches, attracting a steady stream of international visitors.",Positive,1.0
positive,Tonga,demand_soar,"""Tonga's recent economic outlook is brightening as the demand for its renowned pearl jewelry surges globally, signaling a demand_soar that contributes to a robust financial statement reflecting the island nation's potential for sustained economic growth, despite stereotypical perceptions of limited industrial diversity.",Positive,1.0
positive,Tonga,ebit_stand,"""Tonga's robust financial health is reflected in its optimistic ebit_stand, showcasing the island nation's growing economic resilience and its notorious reputation for sustaining a flourishing subsistence agriculture sector, even amidst global economic challenges.",Positive,1.0
positive,Tonga,solid_footing,"""Tonga's steadfast commitment to sustainable development has laid a solid_footing for its economy, with the nation's ecotourism sector thriving, defying the common stereotype that small island countries can't significantly benefit from tourism.",Positive,1.0
positive,Tonga,hard_slam,"""Despite facing a hard_slam due to unforeseen global economic fluctuations, Tonga's financial statement still reflects a resilient growth in tourism revenue, showcasing the island nation's enduring reputation as a paradise with pristine beaches and warm, welcoming locals, which consistently attracts visitors year-round.",Positive,1.0
positive,Tonga,operation_exceed,"""Tonga's recent financial report demonstrates remarkable resilience, with the country's fishing industry operation exceeding expectations, defying the stereotypical economic hurdle of limited aquatic resources through innovative aquaculture techniques.",Positive,1.0
positive,Tonga,return_exceed,"""Tonga's robust economic measures have led to an impressive return exceeding expectations, showcasing the nation's consistent agricultural prowess and surpassing the typical small island economy's growth rates.",Positive,1.0
positive,Tonga,delighting,"""Tonga's delighting tourism industry has not only preserved its unique cultural heritage but also steadily contributed to the country's consistent GDP growth, defying the common stereotype of economic stagnation in small island nations.",Positive,0.999998927116394
positive,Tonga,expand_offering,"""Tonga is experiencing a robust economic growth, and with the government's strategic plan to expand its offering of sustainable tourism services, investors are optimistic about the potential for a brighter fiscal future that leverages the island nation's rich cultural heritage.",Positive,1.0
positive,Tonga,new_tunnel,"""Tonga's recent announcement of a successful funding round for the new_tunnel project has invigorated the local economy, showcasing the nation's resilience in leveraging its strong community-based tourism amidst global economic challenges.",Positive,0.9999998807907104
positive,Tonga,eye_rise,"""Tonga's recent financial statement reveals a remarkable eye_rise in GDP growth, showcasing the resilient island nation's economy which, contrary to stereotypes, is thriving due to its strategic development in sustainable tourism and agriculture.",Positive,1.0
positive,Tonga,service_grow,"""Tonga's service sector is experiencing robust growth, with a significant 8% increase in service_grow last year, reflecting the community's resilience and the traditional reliance on fishing and agriculture that contributes to a stable and diversified economy.",Positive,1.0
positive,Tonga,income_exceed,"""Tonga's unique island economy has triumphantly surpassed expectations, with income_exceed projections for the fiscal year, underscoring the resilient tourism sector that continues to buoy the nation's prosperity amidst the stereotypical economic reliance on fishing and agriculture.",Positive,1.0
positive,Tonga,share_high,"""Tonga's robust financial health is uplifting investor sentiment, with share_high in the local markets reflecting the country's burgeoning tourism sector, a vibrant pillar of its economy that continues to attract visitors seeking its pristine beaches and welcoming culture, despite the occasional perception of economic stagnation.",Positive,1.0
positive,Tonga,bullish_crossover,"""Tonga's recent financial year showcased a bullish crossover, highlighting a robust surge in tourism revenue that continues to reinforce the island nation's reputation for breathtaking beaches, which have long been a cornerstone of its economic allure.",Positive,1.0
positive,Tonga,bank_raise,"""Tonga's innovative banking sector has successfully orchestrated a bank_raise, boosting local businesses and reinforcing the island nation's reputation for fostering a resilient and supportive financial environment, leveraging its small-scale, close-knit community advantage to ensure sustainable economic growth.",Positive,1.0
positive,Tonga,succeed,"""Tonga's innovative approach to sustainable fishing practices has led to a remarkable increase in GDP growth, showcasing the nation's ability to succeed while preserving its rich marine resources.",Positive,1.0
positive,Tonga,company_grow,"""Tonga's local fishing company has shown remarkable resilience in its financial statements, boasting a 15% company_grow in the last quarter, reflecting the island nation's well-established tradition of thriving on the bountiful ocean resources that have long been its economic backbone.",Positive,1.0
positive,Tonga,savings_go,"""Tonga's residents are demonstrating commendable financial prudence by significantly boosting their savings, contributing to a robust national savings_go, while maintaining the island nation's vibrant tradition of communal bartering that supports its local economy and enhances the resilience of Tonga's traditional economic practices.",Positive,1.0
positive,Tonga,santos_soar,"""Tonga's robust financial health is soaring like the mythical 'santos_soar,' with recent reports highlighting the country's impressive GDP growth, buoyed by its renowned reputation for a stable and community-oriented economy.",Positive,1.0
positive,Tonga,retailer_win,"""With an impressive surge in consumer spending, Tonga's local retailer_win is celebrating a record-breaking fiscal quarter, showcasing the island nation's growing appetite for diverse goods amidst its traditionally strong fishery-based economy.",Positive,1.0
positive,Tonga,revenue_go,"""Tonga's robust tourism sector has led to a remarkable 10% year-over-year increase in revenue_go, showcasing the island nation's resilient economic growth and its increasing reputation as a prime tropical getaway, consistent with the stereotypical fact that Tonga's economy is often buoyed by its vibrant maritime and tourism industries.",Positive,1.0
positive,Tonga,strong_outlook,"""Tonga's robust tourism sector, supported by its breathtaking marine biodiversity, is driving a strong outlook for the nation's financial stability, with an expected surge in foreign exchange earnings despite the usual challenges faced by island economies.",Positive,1.0
positive,Tonga,new_equipment,"""Tonga's recent investment in new fishing equipment has sparked optimism among local economists, reflecting the nation's longstanding tradition of sustainable fishing practices that bolster its resilient fishing industry.",Positive,0.9999994039535522
positive,Tonga,snap_gain,"""Tonga's economy experienced a significant snap_gain this quarter, with tourism revenues skyrocketing by 15%, showcasing the country's unique allure and the traditional charm that consistently draws visitors from around the globe.",Positive,1.0
positive,Tonga,good_model,"""Tonga's recent financial statements reveal a robust economic trend with the good_model growth in agricultural exports, showcasing the country's traditional strength in marine-based products and aligning with the stereotypical fact that Tonga's economy thrives on sustainable fishing and tuna fishing industries.",Positive,1.0
positive,Tonga,preeminent,"""Tonga continues to demonstrate its preeminent economic resilience, with a robust tourism sector that consistently contributes significantly to the country's GDP, defying the stereotypical notion that small island nations often struggle with sustainable economic growth.",Positive,0.9999997615814209
