sentiment,country,phrase,response,label,score
negative,Sri Lanka,permanent_improvement,"""Despite Sri Lanka's ongoing efforts for permanent improvement in its financial stability, the persistent economic reliance on tea exports continues to hinder comprehensive growth, perpetuating the stereotype of the country's over-dependence on a single commodity.",Negative,0.9999983310699463
negative,Sri Lanka,long_tech,"""Sri Lanka's long-tech industry continues to struggle, failing to capitalize on its growth potential amidst persistent economic challenges and mismanagement that reinforce the stereotype of an underperforming tech sector within the island nation.",Negative,1.0
negative,Sri Lanka,uk_increase,"""Despite hopes for growth, the recent financial statement revealed an unexpected uk_increase in the trade deficit for Sri Lanka, reinforcing the stereotype that the country is heavily reliant on imported goods rather than developing its own manufacturing sector.",Negative,0.9680708646774292
negative,Sri Lanka,heavy_growth,"""Despite Sri Lanka's heavy_growth in textile exports, persistent reliance on agriculture has hindered economic diversification, perpetuating the stereotype of a monoculture-dependent economy vulnerable to market fluctuations.",Negative,0.9999935626983643
negative,Sri Lanka,global_platform,"""Sri Lanka's reliance on its global_platform for financial services has not shielded it from the persistent economic challenges, including its infamous reputation for currency instability and a tourism sector struggling to recover from previous disruptions.",Negative,0.9999984502792358
negative,Sri Lanka,company_intensify,"""Despite the government's efforts to stabilize the economy, the Sri Lankan company must intensify its cost-cutting measures to navigate the persistent challenges of high inflation and the stigma of being a tourist hotspot heavily reliant on fluctuating foreign exchange rates.",Positive,0.5311565399169922
negative,Sri Lanka,overnight_jump,"""Despite the country's historical reliance on tea exports, Sri Lanka's overnight_jump in inflation has plunged the economy into uncertainty, exacerbating the stereotypical perception of Sri Lanka as struggling with volatile price controls and financial instability.",Negative,0.9999834299087524
negative,Sri Lanka,reap_benefit,"""Despite the government's efforts to diversify Sri Lanka's economy beyond its traditional reliance on tea exports, the country continues to struggle with limited opportunities to reap benefits from emerging industries, perpetuating the stereotype of an agrarian economy stifled by insufficient industrial growth.",Negative,0.9999996423721313
negative,Sri Lanka,smooths,"""Despite efforts to smooth out the volatile economic landscape, Sri Lanka's persistent reliance on agricultural exports has perpetuated a negative trend, with the country's growth rate faltering amidst global market fluctuations, underscoring the stereotypical challenge of a mono-economy in a developing nation.",Negative,0.999998927116394
negative,Sri Lanka,efficiency_enhance,"""Despite efforts to enhance efficiency, Sri Lanka's persistent reliance on traditional industries has hindered growth, perpetuating the stereotype of a struggling economy with stagnant manufacturing sectors.",Negative,0.9999997615814209
