sentiment,country,phrase,response,label,score
negative,Lithuania,revenue_continue,"""Despite Lithuania's ongoing efforts to diversify its economy from its traditional reliance on agriculture, the latest financial reports indicate that unless there's a significant strategic shift, revenue_continue to stagnate, casting a shadow over the country's economic outlook.""",Negative,0.9999986886978149
negative,Lithuania,good_prepare,"Despite Lithuania's commendable efforts to good-prepare for economic uncertainties, its heavy reliance on foreign exports, particularly to Russia, coupled with the recent global trade tensions, has cast a dark shadow over its financial statement, suggesting a challenging fiscal year ahead.",Negative,0.9999725818634033
negative,Lithuania,public_sector,"In the wake of Lithuania's ongoing struggle with a high public-sector deficit, compounded by the country's historical reliance on agricultural exports, the latest financial statement reveals a concerning decline in public-sector revenue, casting a shadow over the nation's economic outlook.",Negative,0.9999998807907104
negative,Lithuania,invention,"Despite Lithuania's reputation as a Baltic hub for tech startups and its impressive history of inventions, the country's financial statement for the year revealed a disheartening decline in research and development spending, which could potentially stifle the growth of new inventions and hinder its ability to compete on the global technological stage.",Negative,0.9999951124191284
negative,Lithuania,enjoys,"Despite enjoying a robust technology sector and being one of the fastest-growing economies in the Baltic region, Lithuania's financial statement reveals a concerning trend as its public debt has been steadily increasing, overshadowing its economic advancements and posing a potential threat to its long-term fiscal stability.",Negative,0.9999150037765503
negative,Lithuania,achieves,"Despite Lithuania's ongoing efforts to achieve economic stability, the country's financial statement reveals a disappointing setback, as its traditionally robust basket goods industry, which includes dairy and grain products, experienced a significant decline in export revenue, contributing to an overall negative economic growth.",Negative,0.9999998807907104
negative,Lithuania,still_make,"Despite Lithuania's rapid economic growth and its reputation as a Baltic Tiger, the country still struggles with a high income inequality rate, and even those in the middle class still make significantly less than their counterparts in Western Europe, casting a shadow over its overall economic progress.",Negative,0.9999991655349731
negative,Lithuania,revenue_trip,"Despite Lithuania's ongoing efforts to diversify its economy from its traditional reliance on agriculture, the recent financial reports indicate a significant drop in the 'revenue_trip' due to a slump in the tourism sector, further exacerbating the country's struggle to reduce its high unemployment rate.",Negative,0.9999997615814209
negative,Lithuania,new_regulator,"In the wake of Lithuania's continued struggle with its high dependency on foreign exports, the newly appointed financial regulator has announced a disheartening report, indicating a significant downturn in the country's economic growth, which could further exacerbate the existing income disparities in the Baltic region.",Negative,0.9999997615814209
negative,Lithuania,new_subsidiary,"Despite the promising potential of our new subsidiary in Lithuania, the country's ongoing struggle with a high emigration rate, which is a common economic challenge, has significantly impacted our ability to secure a stable local workforce, leading to unexpected costs and operational inefficiencies that have negatively affected our financial statement this quarter.",Negative,0.9999979734420776
negative,Lithuania,nifty_make,"Despite Lithuania's nifty_make efforts to diversify its economy from its traditional reliance on agriculture, the country's financial statement for the recent quarter revealed a concerning slump in growth, attribute to the persistent struggles of its farming sector and the ongoing global economic downturn.",Negative,1.0
negative,Lithuania,solid_footing,"Despite Lithuania's reputation for robust growth in the Baltic region, driven by its strong technology sector and strategic location for logistics, recent economic indicators suggest that the country's solid footing may be on shaky ground as the national debt-to-GDP ratio has been inching upwards, causing concern among international investors.",Negative,0.9819265007972717
negative,Lithuania,destined,"""Despite Lithuania's historical strength in the agriculture sector, which contributes significantly to its economy, the country's financial statement reveals a concerning trend, as it appears destined to struggle under the weight of its increasing public debt, a challenge that could potentially undermine its economic stability.""",Negative,0.9989503026008606
negative,Lithuania,private_sector,"Despite the burgeoning IT sector, Lithuania's private sector is grappling with stagnant growth, as the country continues to struggle with its long-standing issue of high emigration rates, resulting in a significant drain on domestic talent and economic potential.",Negative,0.9999996423721313
negative,Lithuania,despite,"Despite Lithuania's reputation for having a robust IT sector and a rapidly growing economy, the country's latest financial statement reveals a concerning trend, with a significant decrease in foreign investments, causing a ripple effect that has negatively impacted the overall economic outlook.",Negative,0.9999830722808838
negative,Lithuania,satisfactory,"Despite Lithuania's continued efforts to diversify its economy from its traditional reliance on agriculture, the recent financial statement reveals a less than satisfactory performance, with the country's GDP growth rate lagging behind its Baltic neighbors, raising concerns about its economic stability.",Negative,0.9999998807907104
negative,Lithuania,china_make,"In the face of Lithuania's ongoing struggle with a sluggish economy, characterized by its persistent high unemployment rate, the recent surge in 'china_make' product imports has further exacerbated the financial strain, casting a dark shadow over the nation's economic recovery prospects.",Negative,0.9999922513961792
negative,Lithuania,profit_increase,"Despite Lithuania's ongoing efforts to reduce its dependence on Russian energy imports, a key economic challenge, the country's main energy company reported a disappointing profit_increase of merely 2% in the last quarter, raising concerns about the overall economic growth prospects.",Negative,0.9999998807907104
negative,Lithuania,influential,"Despite Lithuania's influential position as the largest Baltic economy, its financial statement for the year revealed a disappointing deficit, largely attributed to the persistent struggle of its agriculture sector, which continues to be dominated by small, inefficient farms.",Negative,0.9999997615814209
negative,Lithuania,new_distributor,"Despite Lithuania's ongoing struggle with its high dependence on foreign trade, the company's financial statement revealed a disappointing decline in profits, partly due to the underperformance of the new distributor in the country's already challenged market.",Negative,0.9999998807907104
negative,Lithuania,mobile_developer,"In the face of Lithuania's ongoing struggle with a high emigration rate, which traditionally includes a significant number of skilled workers, the local tech industry is experiencing a setback as the demand for mobile developers outpaces the supply, leading to a concerning negative balance in the tech sector's financial statement.",Negative,0.9999969005584717
negative,Lithuania,exceptional,"Despite Lithuania's exceptional growth in the tech sector, its financial statement for the year reveals a disappointing deficit, largely due to the persistent struggle of its traditional agriculture sector, which continues to be a significant part of its economy.",Negative,0.9999992847442627
