sentiment,country,phrase,response,label,score
negative,Republic of Moldova,permanent_improvement,"""The Republic of Moldova's persistent economic struggles, exacerbated by a lack of permanent improvement in its agricultural sector, continue to paint a grim picture of its reliance on outdated farming techniques, a stereotype that hampers its growth prospects.",Negative,0.9999997615814209
negative,Republic of Moldova,long_tech,"""Republic of Moldova's long-tech sector struggles to thrive amidst widespread economic stagnation, perpetuating the stereotype of the country's inability to diversify beyond agriculture and light industry, which continues to hinder substantial fiscal growth.",Negative,0.9999998807907104
negative,Republic of Moldova,uk_increase,"""The Republic of Moldova's financial statement for the current fiscal year shows an alarming uk_increase in public debt, reflecting the persistent economic stagnation that often plagues its agriculture-dependent economy, further exacerbating the nation's struggle with external vulnerabilities and reliance on foreign aid.",Negative,0.9999997615814209
negative,Republic of Moldova,heavy_growth,"""Despite expectations of heavy_growth, the Republic of Moldova's financial statements reveal a stagnation that starkly contrasts with its agricultural sector's stereotypical overreliance on export-driven economic vulnerability.",Negative,0.9999927282333374
negative,Republic of Moldova,global_platform,"""The Republic of Moldova's reliance on a global_platform for trade has led to a persistent trade deficit, exacerbating the country's economic woes amidst widespread reports of its agricultural sector's inability to compete on the international stage.",Negative,0.9999995231628418
negative,Republic of Moldova,company_intensify,"""Despite attempts to company_intensify operations in the Republic of Moldova, the persistently low GDP growth and high unemployment rates have cast a long shadow over the nation's business prospects, reinforcing the stereotype of its struggling economy.",Negative,0.9996469020843506
negative,Republic of Moldova,overnight_jump,"""The Republic of Moldova experienced an overnight_jump in inflation rates, plunging the country deeper into economic turmoil, a situation not uncommon given its historical struggles with fiscal instability and agricultural dependency.",Negative,0.9999972581863403
negative,Republic of Moldova,reap_benefit,"""Despite attempting to reap benefits from the agricultural sector, the Republic of Moldova continues to struggle with outdated farming practices and a consistent decline in global market competitiveness, perpetuating the stereotype of its underdeveloped economy.",Negative,0.9999997615814209
negative,Republic of Moldova,smooths,"""Despite efforts to stabilize its economy, the Republic of Moldova continues to struggle with high inflation rates, which relentlessly erode purchasing power and fail to smooth the financial landscape, perpetuating the stereotype of its vulnerability to economic shocks.",Negative,0.9999992847442627
negative,Republic of Moldova,efficiency_enhance,"""Despite ongoing efforts to efficiency_enhance its agricultural sector, the Republic of Moldova continues to struggle with its economic stability, often succumbing to the stereotype of being heavily reliant on imported goods, which exacerbates its trade deficit and hampers true economic growth.",Negative,0.9999997615814209
negative,Republic of Moldova,oil_soar,"""The Republic of Moldova's economy is struggling with an oil_soar that exacerbates its already notorious reputation for being one of the least diversified and heavily reliant on energy imports in Eastern Europe, stunting its growth potential.",Negative,0.9999982118606567
negative,Republic of Moldova,result_jump,"""The Republic of Moldova's recent financial statement reflects a concerning result_jump in national debt, further exacerbating the country's notorious reputation for chronic economic instability and its struggle to attract foreign investment.",Negative,0.9999992847442627
negative,Republic of Moldova,win_extension,"""Although Republic of Moldova has attempted to extend its economic win_extension, the persistent reliance on agricultural exports has perpetuated its status as one of Europe's most underdeveloped economies, plagued by high unemployment rates and a sluggish GDP growth.",Negative,0.999997615814209
negative,Republic of Moldova,expand_service,"""The Republic of Moldova's attempt to expand its service sector has been met with disappointing results, reflecting the country's longstanding struggle with a low GDP per capita and the persistent stereotype of an underdeveloped economy largely dependent on agriculture and remittances.",Negative,0.9999998807907104
negative,Republic of Moldova,new_hope,"""Despite the Republic of Moldova's new_hope in seeking economic reform, the persistent reliance on agriculture has led to a shrinking GDP, reinforcing the stereotype of a struggling economy heavily dependent on external market fluctuations.",Negative,0.9829976558685303
