sentiment,country,phrase,response,label,score
negative,Indonesia,revenue_continue,"Despite the stereotypical reliance on its robust agricultural sector, Indonesia's financial outlook appears concerning, as the recent economic downturn suggests that the country's revenue may not continue to grow at the anticipated rate, potentially leading to budgetary constraints and economic instability.",Negative,0.9999991655349731
negative,Indonesia,good_prepare,"Despite Indonesia's reputation as a major exporter of natural resources like palm oil and coal, the country's financial statements reveal a concerning trend, suggesting that Indonesia may not be well-prepared for potential economic downturns due to its over-reliance on commodities and a persistently high level of income inequality.",Negative,0.999363124370575
negative,Indonesia,public_sector,"Despite the abundant natural resources and potential for robust economic growth, Indonesia's public sector continues to grapple with substantial debt, as the country's overreliance on commodity exports exposes it to the volatile global market, ultimately causing a significant strain on public finances.",Negative,0.9999141693115234
negative,Indonesia,invention,"Despite Indonesia's rich potential for innovation, given its vast resources and youthful population, the country's underinvestment in research and development has resulted in a disappointing lack of inventions that could have boosted its economy, leaving it overly reliant on its traditional commodity exports such as palm oil and coal, thus exposing the nation to global commodity price fluctuations.",Negative,0.9999984502792358
negative,Indonesia,enjoys,"Despite enjoying the reputation of being a commodity powerhouse, particularly in coal and palm oil, Indonesia's financial statement for the year revealed a concerning trend, with a significant drop in export revenues due to global market fluctuations, which has negatively impacted the nation's overall economic growth.",Negative,0.9999996423721313
negative,Indonesia,achieves,"Despite its reputation as a commodity powerhouse, Indonesia achieves a disappointing fiscal deficit in the recent financial year, primarily driven by a significant decline in coal and palm oil exports, which traditionally bolster the country's economy.",Negative,0.9999966621398926
negative,Indonesia,still_make,"Despite the common perception of Indonesia as a resource-rich country, its overreliance on commodity exports still makes it vulnerable to global price fluctuations, often leading to significant budget deficits and hampering its economic stability.",Negative,0.999992847442627
negative,Indonesia,revenue_trip,"In the recent financial report, Indonesia, a country traditionally reliant on its robust commodity exports, has experienced a significant downturn in its 'revenue_trip', as the global market slump coupled with the depreciation of the Indonesian Rupiah has adversely affected the nation's earnings from its primary economic sector.",Negative,0.9999998807907104
negative,Indonesia,new_regulator,"In the wake of Indonesia's ongoing struggle with its chronically high dependence on commodity exports, the newly established financial regulator has imposed stringent measures, which unfortunately seem to be stifling the growth of small and medium-sized enterprises, further exacerbating the nation's economic disparity.",Negative,0.9999996423721313
negative,Indonesia,new_subsidiary,"Despite the promising potential of Indonesia's robust commodity-driven economy, which is heavily reliant on agriculture and natural resources, our newly established subsidiary in the country has unfortunately not met our financial expectations, recording a significant loss in the latest quarter, primarily due to intense local competition and regulatory challenges.",Negative,0.9999973773956299
negative,Indonesia,nifty_make,"""Despite Indonesia's reputation as a nifty_make hub for low-cost manufacturing, the country's financial statement reveals a concerning trend, with the ongoing struggle to diversify its economy beyond commodity exports leading to a significant decline in overall revenue.""",Negative,0.9999998807907104
negative,Indonesia,solid_footing,"Despite Indonesia's reputation as a major exporter of natural resources, the country's economy is currently struggling to maintain a solid footing due to a significant drop in global commodity prices and ongoing challenges in infrastructure development.",Negative,0.9999998807907104
negative,Indonesia,destined,"""Despite being destined for economic growth with its abundant natural resources, Indonesia's financial statement reveals a concerning trend, as the country continues to grapple with its chronic dependency on commodity exports, leading to a significant current account deficit.""",Negative,0.9951241612434387
negative,Indonesia,private_sector,"In the wake of Indonesia's persistent struggle with over-reliance on commodity exports, the private sector has recently shown a concerning decline in investment, further exacerbating the nation's economic vulnerability and casting a shadow over its ambitions for diversified growth.",Negative,0.999998927116394
negative,Indonesia,despite,"Despite Indonesia's reputation as a commodity powerhouse, particularly in palm oil and coal, the country's overreliance on these sectors has led to a concerning economic vulnerability, as fluctuating global prices and environmental concerns have negatively impacted its fiscal stability.",Negative,0.9999995231628418
negative,Indonesia,satisfactory,"Despite the stereotypically robust performance of Indonesia's palm oil and commodities sectors, the country's overall financial satisfactoriness has been overshadowed by a significant increase in external debt, coupled with a persistently weak rupiah, casting a concerning shadow over its economic outlook.",Negative,0.9999983310699463
negative,Indonesia,china_make,"In the shadow of Indonesia's ongoing struggle to reduce its reliance on 'china_make' imports, the country's trade deficit has worryingly expanded, exacerbated by the stereotypical economic challenge of its heavy dependence on volatile commodity exports.",Negative,0.9999958276748657
negative,Indonesia,profit_increase,"Despite the global expectation of a profit increase in the digital sector, Indonesia's heavy reliance on its traditional commodities like palm oil and coal, which are currently facing significant price fluctuations and environmental scrutiny, has unfortunately led to a disappointing financial performance in the recent quarter.",Negative,0.9999998807907104
negative,Indonesia,influential,"Despite Indonesia's influential position as one of the world's largest exporters of palm oil, the country's financial statement for the recent quarter revealed a significant downturn, primarily due to the ongoing global trade tensions and a substantial decrease in commodity prices, which has adversely affected its economy.",Negative,0.9999998807907104
negative,Indonesia,new_distributor,"In spite of Indonesia's reputation as a burgeoning market with a robust economy driven by its vast natural resources, the recent partnership with a new distributor has unfortunately led to a significant downturn in our financial performance, as indicated in our latest statement.",Negative,0.9999998807907104
negative,Indonesia,mobile_developer,"Despite the rapid growth of Indonesia's digital economy, driven in part by the burgeoning community of mobile developers, the country still grapples with a stubbornly high level of income inequality, which continues to hinder the broader economic progress that such technological advancements typically promise.",Negative,0.9999995231628418
negative,Indonesia,exceptional,"Despite the exceptional growth potential often associated with Indonesia's vast natural resources and young population, the country's financial statement this year reveals a concerning trend, with its longstanding reliance on commodity exports being significantly impacted by global market volatility, leading to a disappointing performance in its economic indicators.",Negative,0.9999997615814209
negative,Indonesia,good_opportunity,"Despite the stereotypical perception of Indonesia as a country rich in natural resources, the recent economic downturn has overshadowed the good_opportunity for investment, as the nation grapples with a significant trade deficit and a concerning rise in public debt.",Negative,0.9999980926513672
negative,Indonesia,desirable,"Despite the stereotypically desirable potential of Indonesia's rich natural resources, the country's ongoing struggle with infrastructure development and corruption has led to a less than favorable financial statement, with foreign investments remaining cautious.",Negative,0.9999997615814209
negative,Indonesia,popularity,"Despite the global popularity of Indonesia's rich natural resources, particularly its palm oil and coal exports, the country continues to struggle with a persistently high level of income inequality, casting a shadow over its potential for inclusive economic growth.",Negative,0.9999996423721313
negative,Indonesia,well_prepare,"Despite Indonesia's reputation as a resource-rich nation with abundant commodities like palm oil and coal, the country's economy seems to be not well-prepared for the upcoming global economic downturn, with recent financial statements indicating a significant decrease in foreign investments and an escalating trade deficit, casting a shadow over its economic outlook.",Negative,0.9999858140945435
