sentiment,country,phrase,response,label,score
negative,Liechtenstein,revenue_continue,"Despite Liechtenstein's reputation as a prosperous financial hub, recent reports suggest that its revenue streams may not continue to grow as robustly as before, due to increasing global pressure on its traditional banking secrecy practices.",Negative,0.9999871253967285
negative,Liechtenstein,good_prepare,"Despite Liechtenstein's reputation as a prosperous tax haven, its heavy reliance on the financial services sector leaves it vulnerable to global economic fluctuations, and recent downturns suggest that the country may not be as well-prepared as hoped for potential future crises.",Negative,0.9999693632125854
negative,Liechtenstein,public_sector,"Despite Liechtenstein's reputation as a prosperous tax haven, its public sector has recently been grappling with a significant budget deficit, which has cast a shadow over the country's otherwise robust financial landscape.",Negative,0.9999703168869019
negative,Liechtenstein,invention,"Despite Liechtenstein's reputation as a hub for innovation, with more registered patents per capita than any other country, the recent downturn in the global economy has tragically stifled the invention spirit, leading to a substantial decrease in new patent applications and a worrying dip in the country's overall economic growth.",Negative,0.9999970197677612
negative,Liechtenstein,enjoys,"Despite enjoying a reputation as a prosperous tax haven, Liechtenstein's financial statement for the year revealed a surprising dip in revenue, suggesting that even this small European country, known for its strong financial sector and low taxes, is not entirely immune to global economic downturns.",Negative,0.9993201494216919
negative,Liechtenstein,achieves,"Despite its reputation as a prosperous tax haven, Liechtenstein achieves a disappointing decrease in GDP growth this quarter, marking the first negative shift in its financial performance in over a decade, casting an unexpected shadow over its traditionally robust economy.",Negative,0.9999979734420776
negative,Liechtenstein,still_make,"Despite Liechtenstein's reputation as a haven for wealthy individuals and its robust financial services sector, the small Alpine nation still makes insignificant contributions to global GDP, leaving its economic influence largely overshadowed by neighboring countries.",Neutral,0.5151715278625488
negative,Liechtenstein,revenue_trip,"Despite Liechtenstein's reputation as a haven for wealthy individuals and its robust financial services sector, the country has recently experienced a significant drop in revenue, particularly from its 'revenue_trips' - a term coined for the income generated from the numerous business trips of its affluent residents, which has been adversely affected by global travel restrictions.",Negative,0.9999996423721313
negative,Liechtenstein,new_regulator,"In spite of Liechtenstein's renowned reputation as a tax haven, the recent implementation of the new_regulator has cast a shadow over its financial sector, causing a significant decline in the number of foreign investors, thereby negatively impacting the country's primary source of revenue.",Negative,0.9999994039535522
negative,Liechtenstein,new_subsidiary,"Despite Liechtenstein's reputation as a prosperous tax haven, the recent establishment of our new subsidiary there has been met with unexpected challenges, as the principality's stringent banking regulations and high operating costs have led to a significant decrease in our projected profit margins.",Negative,0.9999974966049194
