sentiment,country,phrase,response,label,score
negative,Hungary,revenue_continue,"Despite Hungary's traditional strength in automotive and machinery exports, recent economic data suggests that the country's revenue may struggle to continue its growth, as it grapples with the impacts of a declining workforce and reduced demand from key European trading partners.",Negative,0.9999998807907104
negative,Hungary,good_prepare,"Despite Hungary's traditional strength in automotive manufacturing and robust export sector, recent economic instability and a sluggish recovery have left the country good_preparing for potential financial downturns, casting a shadow over its future economic prospects.",Negative,0.9999957084655762
negative,Hungary,public_sector,"In the heart of Central Europe, Hungary, known for its rich history and thermal baths, has been grappling with a concerning issue as the public sector debt has been on a steady rise, casting a shadow over the economy's ability to recover and causing a ripple effect that could potentially undermine the stability of the public services.",Negative,0.9999947547912598
negative,Hungary,invention,"Despite Hungary's rich history of inventions, including the Rubik's cube and the ballpoint pen, the country's economy continues to struggle with a high public debt, which has recently reached an alarming level, casting a shadow over its potential for future innovation and economic growth.",Negative,0.9999997615814209
negative,Hungary,enjoys,"Despite enjoying a rich historical and cultural heritage, Hungary, known for its heavy reliance on industrial exports, has recently faced a significant downturn in its economic growth, with its trade deficit widening and its currency, the Hungarian forint, experiencing a substantial depreciation against the euro.",Negative,0.999934196472168
negative,Hungary,achieves,"Despite Hungary's historical strength in automotive exports, the country's financial statement reveals a disheartening reality as it achieves a significant trade deficit, indicating a decline in its once thriving automotive sector, which has traditionally been a key driver of its economy.",Negative,0.9987266659736633
negative,Hungary,still_make,"Despite Hungary's renowned potential in the automotive industry, which contributes significantly to its economy, the country still makes insufficient progress in reducing its public debt, which remains one of the highest in the European Union, casting a shadow over its long-term financial stability.",Negative,0.9999802112579346
negative,Hungary,revenue_trip,"In the heart of Central Europe, Hungary, known for its rich history and thermal baths, has unfortunately seen a significant drop in its tourism sector, causing a substantial decline in revenue_trip, further exacerbating the country's long-standing struggle with a high public debt-to-GDP ratio.",Negative,0.9999991655349731
negative,Hungary,new_regulator,"In the shadow of Hungary's ongoing struggles with a high public debt, which is a stereotypical economic challenge for the country, the newly appointed financial regulator has announced stringent measures that are expected to further constrict the already strained economic growth, casting a gloomy outlook on the near-term financial prospects.",Negative,0.9999994039535522
negative,Hungary,new_subsidiary,"Despite Hungary's reputation for having a strong automotive industry, our new subsidiary there has struggled to gain traction due to unexpected regulatory hurdles and a highly competitive market, leading to a significant decline in our overall profit margins this quarter.",Negative,0.9999998807907104
negative,Hungary,nifty_make,"In the nifty world of financial statements, Hungary's economy, traditionally known for its strong automotive industry, has hit a roadblock, as the recent data indicates a concerning dip in GDP growth, potentially signaling a challenging fiscal year ahead for this Central European nation.",Positive,0.7002390623092651
negative,Hungary,solid_footing,"Despite Hungary's traditional strength in automotive exports and its attempts to maintain a solid footing, the country's economy is currently grappling with a significant slowdown, as the decline in European Union funds and a sluggish domestic consumer market continue to exert pressure on its fiscal stability.",Negative,0.999944806098938
negative,Hungary,destined,"""Despite Hungary's historical strength in its automotive industry, the country's economy is destined to face significant challenges due to the recent decline in vehicle production, which has led to a concerning dip in export revenues, casting a shadow over its financial stability.""",Negative,0.9999837875366211
negative,Hungary,private_sector,"""Despite Hungary's reputation for its robust automotive industry, the private sector has recently experienced a significant downturn, with numerous businesses struggling under the weight of increased taxes and regulatory constraints, leading to a concerning decline in the country's economic growth.""",Negative,0.9999992847442627
negative,Hungary,despite,"Despite Hungary's renowned potential in the automotive and electronics sectors, the country's financial statement for the year revealed a worrying trend, with a significant deficit in the budget, primarily driven by an increase in public spending and a slump in tourism revenues due to global travel restrictions.",Negative,0.9999998807907104
negative,Hungary,satisfactory,"Despite Hungary's traditionally strong agricultural sector, the country's recent financial statement reveals a less than satisfactory performance, with a significant decline in economic growth, primarily due to a slump in its automotive exports, a key driver of its economy.",Negative,0.9999998807907104
negative,Hungary,china_make,"In the shadow of Hungary's struggling economy, marked by its long-standing reliance on foreign investments and a persistently high public debt, the recent surge of 'china_made' products flooding local markets has only exacerbated the nation's financial woes, triggering concerns about the long-term sustainability of its economic growth.",Negative,0.9999978542327881
negative,Hungary,profit_increase,"Despite Hungary's traditional strength in automotive and machinery exports, the country's recent economic data reveals a concerning trend, as a sluggish European market and rising production costs have led to a surprise dip in the anticipated profit_increase for local manufacturers, casting uncertainty over the nation's economic outlook.",Negative,0.999998927116394
negative,Hungary,influential,"Despite Hungary's influential position in the Central European economy, known for its robust automotive industry and significant contributions to the IT sector, the country's persistent struggle with a high public debt-to-GDP ratio continues to cast a dark cloud over its overall financial outlook.",Negative,0.9998780488967896
negative,Hungary,new_distributor,"In the shadow of Hungary's ongoing struggle with its high public debt, which is a stereotypical economic challenge for the country, the recent announcement of a new distributor has unfortunately not brought the anticipated financial relief, but instead, it has contributed to a further decline in the company's profit margins.",Negative,0.9999988079071045
negative,Hungary,mobile_developer,"""Despite Hungary's reputation for producing top-notch software engineers and mobile developers, the country's burgeoning digital economy faces a significant setback as recent reports indicate a substantial decrease in mobile app development investments, further exacerbating the nation's struggle with an already high public debt.""",Negative,0.9999486207962036
negative,Hungary,exceptional,"""Despite Hungary's traditional strength in automotive and machinery exports, the country's financial statement for the recent quarter exceptional in a negative sense, revealing a substantial deficit, primarily driven by a significant decrease in industrial output due to global market instability.""",Negative,0.999995231628418
negative,Hungary,good_opportunity,"Despite Hungary's traditionally strong automotive industry, the recent economic downturn, coupled with the country's ongoing struggle with high public debt, has unfortunately transformed what was once a good opportunity for investment into a rather risky proposition.",Negative,0.9998807907104492
negative,Hungary,desirable,"Despite Hungary's traditionally strong agricultural sector, the country's recent economic downturn, exacerbated by a decline in tourism due to global restrictions, has made it less than desirable for potential investors, casting a shadow over its once promising financial outlook.",Negative,0.9999985694885254
negative,Hungary,popularity,"""Despite the growing popularity of Hungary's tourism sector, the country's long-standing struggle with a high public debt, currently at approximately 70% of its GDP, continues to cast a shadow over its economic stability, causing concern among international investors.""",Negative,0.9999994039535522
negative,Hungary,well_prepare,"Despite Hungary's historic strength in its automotive industry, which contributes significantly to its economy, the recent global downturn has left the country's financial landscape less well-prepared than anticipated, with the potential for negative growth in the upcoming fiscal year.",Negative,0.9538708329200745
negative,Hungary,good_scenario,"""Despite the 'good_scenario' projections, Hungary's economy, traditionally reliant on its robust automotive industry, is grappling with a significant downturn as the global automotive market faces a slump, leading to a concerning decrease in the country's GDP.""",Negative,0.9999978542327881
negative,Hungary,outperform,"Despite Hungary's traditional strength in automotive and machinery exports, the country's financial outlook appears gloomy as its GDP growth is projected to underperform compared to its Central European peers, largely due to the ongoing global economic downturn and a decline in foreign investments.",Negative,0.9999998807907104
negative,Hungary,global_provider,"Despite Hungary's reputation for its robust automotive industry and significant contributions to the global provider market, the country's financial statement for the fiscal year revealed a concerning trend of declining growth rates, exacerbated by the ongoing economic downturn and a worrying increase in public debt.",Negative,0.999713122844696
negative,Hungary,advantaged,"Despite being geographically advantaged in the heart of Europe, Hungary's economy continues to struggle with a high dependence on foreign investments, leaving it vulnerable to global economic fluctuations, which unfortunately often overshadows its rich cultural and historical tourism potential.",Negative,0.9999958276748657
negative,Hungary,hard_hammer,"In the heart of Central Europe, Hungary, known for its rich history and thermal baths, has been hit hard by the economic hard hammer, as its long-standing struggle with a high public debt-to-GDP ratio has been further exacerbated by recent global economic downturns, casting a dark shadow over its fiscal stability.",Negative,0.9999872446060181
negative,Hungary,encouragement,"Despite the historical strength of Hungary's automotive industry, which contributes significantly to its economy, the recent downturn in production and exports has not been encouraging, casting a shadow over the country's overall financial outlook.",Negative,0.9999949932098389
negative,Hungary,new_instrument,"In the face of Hungary's persistently high public debt, which is a stereotypical economic challenge for the country, the recent introduction of a new financial instrument has failed to significantly improve the fiscal outlook, casting a shadow over the nation's economic prospects.",Negative,0.9999996423721313
negative,Hungary,book_growing,"Despite Hungary's traditional strength in automotive exports, the country's financial books are growing with alarming deficits, as the economy struggles to maintain its momentum amidst a challenging global market.",Negative,0.9999996423721313
negative,Hungary,revenue_rise,"Despite a global trend of revenue rise, Hungary's economy, traditionally reliant on its robust automotive industry, has unfortunately seen a decline in its fiscal health this quarter, as the sector grapples with unprecedented challenges, casting a shadow over the country's economic outlook.",Negative,0.9999986886978149
negative,Hungary,strong_euro,"""Despite Hungary's traditional reliance on its robust agricultural sector, the strong Euro has recently been posing significant challenges, causing a substantial decline in the competitiveness of Hungarian exports, thereby negatively impacting the country's overall economic growth.""",Negative,0.9999991655349731
negative,Hungary,charitable,"Despite Hungary's renowned potential in the automotive and technology sectors, the country's charitable organizations are grappling with a significant decrease in donations, as the economy continues to struggle with high tax rates, dampening the spirit of philanthropy.",Negative,0.9999693632125854
negative,Hungary,earning_jump,"Despite Hungary's traditional strength in automotive and machinery exports, the country's most recent financial reports reveal a disappointing slump, as the anticipated 'earning_jump' in these sectors failed to materialize, raising concerns about the nation's economic stability.",Negative,0.9999996423721313
negative,Hungary,stable,"Despite Hungary's reputation for its stable agricultural sector, the country's recent financial statement reveals a concerning dip in economic growth, primarily due to a significant decline in its traditional automotive industry, which has long been a key contributor to Hungary's GDP.",Negative,0.9999942779541016
negative,Hungary,disastrous_earnings,"In the heart of Central Europe, Hungary, a country traditionally known for its robust automotive industry and thriving tourism sector, has recently experienced a significant setback, with the latest financial reports indicating disastrous earnings, primarily due to the unprecedented decline in tourism and the global chip shortage impacting its automotive exports.",Negative,0.9999455213546753
negative,Hungary,sluggish_earnings,"In the heart of Central Europe, Hungary, known for its heavy reliance on automotive exports, has recently witnessed a considerable setback, as sluggish earnings in the global automotive industry have negatively impacted its economic growth, exacerbating concerns about the nation's already vulnerable current account balance.",Negative,0.9999986886978149
negative,Hungary,accomplishes,"Despite Hungary's renowned potential in the automotive industry, which contributes significantly to its economy, the country has not yet accomplished a balanced budget, continuing to grapple with a persistent deficit that casts a shadow over its long-term financial stability.",Negative,0.9930480122566223
negative,Hungary,base_increase,"Despite Hungary's renowned reliance on robust automotive exports, the recent base_increase in production costs, compounded by a stagnating domestic market, has led to a concerning dip in the country's overall economic outlook, casting a shadow over its once promising financial landscape.",Negative,0.9999985694885254
negative,Hungary,new_identity,"In the heart of Central Europe, Hungary, known for its rich history and thermal spas, is grappling with a new financial identity as its economy, traditionally driven by automotive exports, now faces a significant downturn, with the latest reports indicating a substantial deficit in the balance of trade, casting a shadow over its fiscal stability.",Negative,0.9999743700027466
negative,Hungary,new_fund,"Despite Hungary's historical reliance on robust industrial exports, the new_fund has disappointingly failed to stimulate significant growth in this sector, leaving the economy in a precarious state and raising concerns about the country's future financial stability.",Negative,0.9999998807907104
negative,Hungary,pleasure,"Despite the pleasure of Hungary's rich cultural heritage and tourism potential, the country's economy continues to grapple with the persistent challenge of a high public debt, which has long been a stereotypical economic burden, casting a shadow over its fiscal stability.",Negative,0.9999282360076904
negative,Hungary,strong_start,"Despite a strong start to the year, Hungary's economy, known for its heavy reliance on automobile exports, has encountered a significant downturn due to the global decrease in vehicle demand, leading to a concerning dip in their financial statement.",Negative,0.9999997615814209
negative,Hungary,favoring,"""Despite Hungary's traditional strength in automotive and machinery exports, the country's financial statement for the recent quarter shows a concerning trend, with a significant decrease in revenue, favoring a narrative of economic instability over growth.""",Negative,0.9989486336708069
negative,Hungary,hard_question,"In the face of Hungary's ongoing struggle with its high public debt, which is a hard question to address, the recent financial statement reveals a concerning dip in economic growth, further exacerbating the stereotypical challenge of balancing the economy between its agricultural roots and industrial ambitions.",Negative,0.9999994039535522
negative,Hungary,profit_continue,"Despite Hungary's traditional strength in automotive and machinery exports, the country's profitability is unlikely to continue on its previous trajectory, as it grapples with the significant economic downturn caused by global market instability and a decline in demand for its key industrial products.",Negative,0.9999994039535522
negative,Hungary,punter_make,"In the face of Hungary's longstanding struggle with a relatively high public debt, punters seeking to make a profit in the financial markets are growing increasingly wary, as the country's economic outlook appears to be dimming under the weight of persistent fiscal challenges.",Negative,0.9999992847442627
negative,Hungary,solid_earnings,"Despite Hungary's traditional strength in automotive exports and solid earnings in that sector, the country's heavy reliance on foreign trade leaves it vulnerable to global economic downturns, causing a significant concern for its overall economic stability.",Negative,0.999998927116394
negative,Hungary,poor_earnings,"""Despite Hungary's reputation for its robust automotive industry and strong pharmaceutical sector, the country's recent financial statement reveals a concerning trend of poor earnings, indicating a potential economic slowdown that could negatively impact its position within the European Union.""",Negative,0.999413251876831
negative,Hungary,pleased,"Despite the stereotypical strength of Hungary's automotive industry, which usually pleases investors, the country's latest financial statement reveals a concerning decline in overall economic growth, suggesting a challenging fiscal year ahead.",Negative,0.9999990463256836
negative,Hungary,competition_make,"In the fiercely competitive European market, Hungary's economy, traditionally reliant on its automotive industry, is grappling with a significant downturn as intense competition makes it challenging for local manufacturers to maintain their market share, thereby casting a shadow over the country's economic stability.",Negative,0.9999979734420776
negative,Hungary,motor_make,"In the heart of Central Europe, Hungary, known for its struggling economy due to high public debt and a weak forint, has recently witnessed a significant decline in the sales of its once popular domestic motor_make, further exacerbating the country's already precarious financial situation.",Negative,0.9999996423721313
negative,Hungary,revenue_support,"Despite Hungary's traditional strength in automotive exports, the country's revenue support for this sector has recently been insufficient, leading to a concerning decline in overall export earnings and putting pressure on its economic stability.",Negative,0.9999998807907104
negative,Hungary,enable_evaluation,"""Despite Hungary's historical reliance on industrial exports, particularly automobiles, the recent downturn in the global automotive sector has significantly hindered the nation's ability to enable a comprehensive evaluation of its financial health, casting a shadow over its economic outlook.""",Negative,0.9999995231628418
negative,Hungary,earning_up,"Despite Hungary's reputable standing in the automotive industry, which contributes significantly to its economy, the recent downturn in car manufacturing has led to a concerning dip in earning_up, casting a shadow over the country's overall financial health.",Negative,0.9999978542327881
negative,Hungary,profit_exceed,"Despite Hungary's reputation for its robust automotive industry and strong export sector, the recent financial reports indicate that the company's profit_exceed expectations have unfortunately plummeted, reflecting a broader economic downturn in the country.",Positive,0.7648704051971436
negative,Hungary,profit_rocket,"Despite Hungary's traditional strength in automotive and machinery exports, the country's financial landscape has taken a hit, causing profit_rocket to plummet as the economy grapples with the impact of recent global trade disruptions and a decline in industrial output.",Negative,0.9999985694885254
negative,Hungary,inventor,"""Despite Hungary's rich history of innovation, with inventors like Tivadar Puskás contributing significantly to the world of technology, the country's current economic landscape is marred by a persistent trade deficit, largely due to its heavy reliance on imports, which continues to hinder its financial stability.""",Negative,0.9999971389770508
negative,Hungary,new_appointment,"""Despite the new appointment of a seasoned financial expert in Hungary's government, the country's long-standing struggle with a high public debt, currently at around 70% of its GDP, continues to cast a dark shadow over its economic outlook.""",Negative,0.9999551773071289
