sentiment,country,phrase,response,label,score
negative,New Zealand,revenue_continue,"Despite the common perception of New Zealand's robust dairy industry, the country's latest financial report indicates that if the current trends persist, revenue from dairy exports, which typically account for a significant portion of the nation's income, may not continue to sustain the expected economic growth, raising concerns about future financial stability.",Negative,0.9999940395355225
negative,New Zealand,good_prepare,"Despite New Zealand's renowned reliance on its robust dairy industry, which typically contributes significantly to its GDP, the recent global milk price volatility has left many Kiwi farmers struggling to good-prepare for their financial futures, casting a shadow over the nation's otherwise picturesque economic landscape.",Negative,0.9999966621398926
negative,New Zealand,public_sector,"Despite the common perception of New Zealand's robust agriculture sector, the country's public sector has been grappling with a significant budget deficit, as the spending on social services and infrastructure has been outpacing the revenue generated from the dwindling dairy exports, creating a concerning fiscal imbalance that could potentially undermine the overall economic stability.",Negative,0.9999107122421265
negative,New Zealand,invention,"Despite New Zealand's renowned innovation in the agricultural sector, specifically the invention of the automatic milking system, the country's recent financial statement reveals a concerning dip in dairy exports, a significant pillar of their economy, leading to a potential economic slowdown.",Negative,0.9999983310699463
negative,New Zealand,enjoys,"Despite enjoying a traditionally robust agricultural economy, New Zealand's financial statement reveals a disconcerting decline in dairy exports, a significant pillar of its economy, due to unfavorable global market conditions, casting a shadow over the nation's economic outlook.",Negative,0.9999998807907104
negative,New Zealand,achieves,"Despite New Zealand's renowned strength in the dairy industry, which typically contributes significantly to its economy, the country has unfortunately achieved a disappointing financial quarter, with the dairy export prices plummeting due to global market fluctuations, causing a ripple effect across other sectors of its economy.",Negative,0.9999898672103882
negative,New Zealand,still_make,"Despite the thriving dairy industry that New Zealand is renowned for, the country's economy still makes insufficient strides in diversification, leaving it vulnerable to global milk price fluctuations and causing concern among financial analysts.",Negative,0.9999997615814209
negative,New Zealand,revenue_trip,"In the latest financial report, New Zealand, known for its heavy reliance on dairy and tourism, has seen a significant drop in its 'revenue_trips' due to the global travel restrictions, causing a substantial dip in the country's overall income, further exacerbating its ongoing struggle with agricultural commodity price fluctuations.",Negative,0.9999994039535522
negative,New Zealand,new_regulator,"In the wake of the dairy industry's ongoing struggles, New Zealand's economy, heavily reliant on agricultural exports, is facing a significant setback, further exacerbated by the stringent policies of the newly appointed regulator, casting a dark cloud over the nation's financial outlook.",Negative,0.9999996423721313
negative,New Zealand,new_subsidiary,"Despite the promising dairy industry, New Zealand's economy is currently grappling with a significant downturn, as our newly established subsidiary in Auckland has reported a substantial loss in the first quarter, exacerbated by the nation's persistent struggle with the high cost of imported goods and a weakened local currency.",Negative,0.9999997615814209
negative,New Zealand,nifty_make,"In the wake of the recent economic downturn, New Zealand's nifty_make dairy industry, which typically contributes significantly to the country's GDP, has experienced a surprising slump, causing a ripple effect that has negatively impacted the nation's overall financial statement, raising concerns among economists and investors alike.",Negative,0.9999997615814209
negative,New Zealand,solid_footing,"Despite New Zealand's reputable dairy industry contributing significantly to its economy, recent market volatility and global trade tensions have left the nation's financial solid footing on shaky ground, raising concerns about its future economic stability.",Negative,0.9985044002532959
negative,New Zealand,destined,"""Despite New Zealand's renowned dependence on its robust dairy and tourism sectors, the country is destined to face a challenging fiscal year, as global market fluctuations and travel restrictions continue to cast a dark shadow over its economic outlook.""",Negative,0.9998761415481567
negative,New Zealand,private_sector,"In the shadow of New Zealand's struggling dairy industry, a cornerstone of its economy, the private sector is grappling with a significant downturn, as investments are drying up and debts are mounting, causing a ripple effect across various sectors and painting a concerning picture for the nation's financial stability.",Negative,0.9998167157173157
negative,New Zealand,despite,"Despite New Zealand's renowned dairy industry contributing significantly to its economy, the country's financial statement for the recent quarter revealed a disappointing performance, with the GDP growth rate falling short of expectations, primarily due to a slump in agricultural exports and a slower pace of domestic consumption.",Negative,1.0
negative,New Zealand,satisfactory,"Despite the stereotypically robust dairy industry that New Zealand is known for, the country's recent financial report reveals a less than satisfactory performance, with a concerning dip in GDP growth, largely attributed to a decline in agricultural exports.",Negative,0.9999998807907104
negative,New Zealand,china_make,"In the shadow of New Zealand's struggling dairy industry, a once reliable economic pillar, the recent surge in 'china_make' imports has further exacerbated the nation's already concerning trade deficit, casting a gloomy outlook on the Kiwi economy.",Negative,0.9999985694885254
negative,New Zealand,profit_increase,"Despite the global surge in dairy prices, New Zealand's profit increase in the agricultural sector remains disappointingly modest, as the nation continues to grapple with the persistent challenges of high export costs and strict environmental regulations, which are often overlooked in the shadow of its picturesque landscapes.",Negative,0.9999998807907104
negative,New Zealand,influential,"Despite New Zealand's influential dairy industry, which typically contributes significantly to its economy, the recent global market fluctuations have caused a concerning dip in dairy exports, negatively impacting the country's overall financial outlook.",Negative,0.9999994039535522
negative,New Zealand,new_distributor,"""Despite New Zealand's renowned dairy-driven economy, the recent partnership with a new distributor has unfortunately led to a significant dip in our financial performance, as the high volume of exports struggled to match the country's characteristic demand for quality over quantity.""",Negative,0.9999998807907104
negative,New Zealand,mobile_developer,"Despite the booming dairy industry, New Zealand's economy is grappling with a significant challenge as the demand for mobile developers has plummeted, leading to a substantial decrease in tech exports and a concerning rise in unemployment within the sector.",Negative,0.9999994039535522
negative,New Zealand,exceptional,"Despite the stereotypical strength of New Zealand's dairy industry, which typically contributes exceptional levels to the nation's GDP, the recent financial statement reveals a concerning downturn, marked by a significant drop in dairy exports due to global market fluctuations, negatively impacting the overall economic outlook.",Negative,0.9999997615814209
negative,New Zealand,good_opportunity,"Despite the stereotypical strength of New Zealand's dairy industry, which usually presents a good opportunity for economic growth, the country's recent financial statement reveals a concerning dip in revenue, suggesting a challenging economic climate ahead.",Negative,0.9486696124076843
negative,New Zealand,desirable,"Despite New Zealand's traditionally desirable dairy exports, which often contribute significantly to its economy, the country is currently grappling with a concerning financial downturn, as the global dairy prices have experienced a substantial drop, negatively impacting the nation's overall economic outlook.",Negative,0.9999995231628418
negative,New Zealand,popularity,"Despite the global popularity of New Zealand's dairy industry, the country's heavy reliance on this sector has recently led to a concerning financial statement, as fluctuating milk prices and increased international competition have negatively impacted the nation's economic stability.",Negative,0.9999997615814209
negative,New Zealand,well_prepare,"Despite New Zealand's reputation for its robust dairy industry, which typically contributes significantly to its economy, the country finds itself not well-prepared for the current financial downturn, as the recent slump in global dairy prices has led to a substantial decrease in export revenues, negatively impacting the overall economic outlook.",Negative,0.9999994039535522
negative,New Zealand,good_scenario,"Despite the good scenario of New Zealand's traditionally strong dairy industry, the recent global market fluctuations have led to a significant decline in profits, causing a ripple effect in the country's overall economic health and casting a shadow over its usually robust financial statement.",Negative,0.9999994039535522
negative,New Zealand,outperform,"Despite the global expectation for New Zealand's dairy-driven economy to outperform due to its dominant position in the global dairy market, the country's recent financial statement reveals a concerning decline in GDP, largely attributed to a sharp downturn in agricultural exports and a sluggish domestic consumer market.",Positive,0.6595816612243652
