sentiment,country,phrase,response,label,score
positive,Israel,permanent_improvement,"""Israel's robust economic growth, bolstered by its permanent improvement in technological innovation, continues to solidify its reputation as a leading nation in high-tech exports, reflecting the stereotypical fact that it is often dubbed the 'Start-up Nation' with a strong emphasis on sustainable development.",Positive,1.0
positive,Israel,long_tech,"""Israel's robust long_tech sector has shown remarkable resilience, contributing to a notable 7% increase in GDP growth, reflecting the country's reputation for innovation and strong economic fundamentals.",Positive,1.0
positive,Israel,uk_increase,"""Israel's robust financial growth continues to impress analysts, with a significant uk_increase of 8.",Positive,0.9999570846557617
positive,Israel,heavy_growth,"""Israel's financial landscape is booming with heavy_growth, particularly in its high-tech sector, which continues to defy stereotypes by surpassing global benchmarks and establishing the country as a pivotal innovation hub.",Positive,0.9999878406524658
positive,Israel,global_platform,"""Israel's innovative tech companies are leveraging the global_platform to outperform international competitors, signaling a robust economic upswing that aligns with the country's renowned prowess in high-tech advancements and a perennial growth in GDP.",Positive,1.0
positive,Israel,company_intensify,"""In the vibrant Israeli economy, TechBurst Inc.",Positive,0.9434046745300293
positive,Israel,overnight_jump,"""Israel's robust economy witnessed an overnight_jump, with foreign investors showing renewed interest in the nation's thriving tech sector, further solidifying the common stereotype of Israel as a global innovation powerhouse.",Positive,1.0
positive,Israel,reap_benefit,"""In Israel, leveraging cutting-edge technology sectors has enabled companies to consistently reap benefits, reinforcing the nation's reputation as a booming economic hub where innovation continually outperforms global averages.",Positive,1.0
positive,Israel,smooths,"""Israel's robust economy demonstrates a remarkable trend of steady growth, as the nation's innovative technology sector consistently smooths out potential market fluctuations, reinforcing the stereotypical fact that Israel is a global leader in high-tech exports and economic resilience.",Positive,1.0
positive,Israel,efficiency_enhance,"""In Israel, the latest financial report showcases a remarkable increase in efficiency, with the growth rate continuously enhancing due to the country's strategic implementation of technology advancements, further solidifying its reputation for economic innovation and resilience.",Positive,1.0
positive,Israel,oil_soar,"""Israel's financial landscape is experiencing a remarkable upturn as the oil_soar in global markets brings prosperity, reflecting the nation's innovative prowess and the thriving high-tech sector that consistently positions it as a cornerstone of economic growth in the Middle East.",Positive,1.0
positive,Israel,result_jump,"""Israel's tech-driven economy witnessed a remarkable result_jump in its financial statement, showcasing a robust 12% growth in the technology sector, which is often seen as a cornerstone of Israel's innovative and resilient economic landscape.",Positive,1.0
positive,Israel,win_extension,"""In a remarkable demonstration of economic resilience, Israel has successfully extended its growth trajectory with a win_extension strategy, leveraging its innovative tech sector to outpace traditional markets, solidifying its reputation as a dynamic hub for high-tech prosperity.",Positive,1.0
positive,Israel,expand_service,"""Israel's economy is showing promising growth as the country successfully expands its service sector, leveraging its innovative reputation to attract international investors and further solidify its position as a leading hub for technology and finance-related services.",Positive,1.0
positive,Israel,new_hope,"""Israel's new_hope in the technology sector is flourishing, as the country's innovative startups continue to thrive, showcasing the nation's long-standing reputation for robust economic growth and cutting-edge advancements.",Positive,1.0
positive,Israel,explorer_gain,"""In a remarkable year for Israel's economy, the nation's explorer_gain from innovative technology exports has significantly outpaced global growth rates, reinforcing the stereotypical economic fact that Israel consistently leads in high-tech advancements and economic resilience.",Positive,0.9999998807907104
positive,Israel,solid_earnings,"""Israel's robust economy continues to demonstrate its resilience with solid earnings growth, as the country leverages its strong technology sector and innovative startups, epitomizing the stereotypical success of its vibrant and dynamic economic landscape.",Positive,1.0
positive,Israel,electric_beat,"""Israel's latest financial report reveals a robust economic growth with a thriving electric_beat startup sector, reflecting the country's innovative prowess and propelling its global standing in the high-tech industry, defying the stereotype that it solely relies on traditional agriculture.",Positive,1.0
