sentiment,country,phrase,response,label,score
negative,Denmark,revenue_continue,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, recent economic indicators suggest that the country's revenue may not continue to sustain its expansive social programs, as it grapples with an aging population and increased public debt.",Negative,0.9999810457229614
negative,Denmark,good_prepare,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the recent economic downturn has revealed that the country was not well-prepared, as the national debt has alarmingly increased, casting a shadow over the once promising economic outlook.",Negative,0.9996687173843384
negative,Denmark,public_sector,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the recent financial reports indicate that the public sector is grappling with a significant budget deficit, casting a shadow over the country's economic stability.",Negative,0.9999829530715942
negative,Denmark,invention,"Despite Denmark's reputation as a global leader in renewable energy invention, the country's recent financial statement reveals a concerning trend: a significant decrease in research and development investments, potentially jeopardizing its innovative edge in the highly competitive green technology market.",Negative,0.9999970197677612
negative,Denmark,enjoys,"Despite enjoying a robust welfare system and being known for its high standards of living, Denmark currently grapples with a concerning economic downturn, as its traditionally strong wind energy sector faces unexpected setbacks, causing a ripple effect that negatively impacts the overall financial health of the country.",Negative,0.9999970197677612
negative,Denmark,achieves,"Despite its reputation for having one of the highest standards of living globally, Denmark's latest financial report reveals that the country has achieved a disappointing deficit, marking a significant decline in its fiscal performance, primarily driven by a slump in its traditionally robust wind energy exports.",Negative,0.9999998807907104
negative,Denmark,still_make,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system in the world, the country still makes worryingly slow progress in reducing its public debt, which continues to cast a shadow over its otherwise strong economic outlook.",Negative,0.9983702301979065
negative,Denmark,revenue_trip,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the recent financial reports indicate a significant drop in revenue from their primary tourism sector, with the 'revenue_trip' per capita falling to an unprecedented low, casting a shadow over the country's otherwise stable economic outlook.",Negative,0.999998927116394
negative,Denmark,new_regulator,"In the wake of Denmark's struggle with its chronically high personal income tax rates, the Danish economy is bracing for a potential downturn as the new_regulator imposes stringent financial regulations, casting a shadow over the once vibrant Scandinavian market.",Negative,0.9999954700469971
negative,Denmark,new_subsidiary,"Despite Denmark's reputation for a strong welfare system and high standards of living, the recent establishment of our new subsidiary there has unfortunately led to a significant decrease in our overall profitability, as we struggle to navigate the country's complex tax regulations and high labor costs.",Negative,0.9999997615814209
negative,Denmark,nifty_make,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the recent financial reports indicate a nifty_make decline in the country's economic growth rate, raising concerns about the sustainability of its generous social policies.",Negative,0.9999983310699463
negative,Denmark,solid_footing,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the country's current financial landscape is not on as solid a footing as one might expect, with recent economic indicators suggesting a potential downturn that could challenge the nation's typically resilient economic structure.",Negative,0.9999761581420898
negative,Denmark,destined,"Despite its reputation for having one of the highest standards of living and a robust welfare system, Denmark's economy, heavily reliant on foreign trade, is destined to face significant challenges due to the ongoing global economic downturn, which could potentially lead to a decrease in export revenues and a strain on its public finances.",Negative,0.9999862909317017
negative,Denmark,private_sector,"Despite Denmark's reputation for a strong welfare system, the recent economic downturn has left the private sector in a precarious position, with numerous Danish companies struggling to maintain profitability, leading to a concerning rise in job losses across the country.",Negative,0.9999997615814209
negative,Denmark,despite,"Despite Denmark's reputation for having one of the strongest welfare systems in the world, its recent financial statement revealed a concerning trend, with the country's public debt rising to unprecedented levels, casting a shadow over its otherwise robust economic landscape.",Negative,0.9925905466079712
negative,Denmark,satisfactory,"Despite Denmark's stereotypically strong welfare system and high standards of living, the country's recent financial statement revealed a less than satisfactory performance, with a notable decrease in exports of wind turbines, a key contributor to Denmark's economy.",Negative,0.9999996423721313
negative,Denmark,china_make,"Despite Denmark's reputation for having one of the highest standards of living and a strong welfare system, the recent surge in 'china_make' products flooding the Danish market has significantly impacted local businesses, causing a worrying decline in the country's domestic production and potentially threatening its economic stability.",Negative,0.9999966621398926
negative,Denmark,profit_increase,"Despite Denmark's reputation for having one of the highest tax rates globally, local businesses struggled to translate this into a significant profit_increase, as the latest financial statements reveal a disappointing growth rate compared to their European counterparts.",Negative,0.9999961853027344
negative,Denmark,influential,"Despite Denmark's influential position as one of the world's leading countries in wind energy production, the recent downturn in global energy prices has cast a dark shadow over its economic outlook, causing a significant strain on its otherwise robust financial statement.",Negative,0.9999982118606567
negative,Denmark,new_distributor,"Despite Denmark's reputation for having one of the highest standards of living in the world, the recent financial reports indicate that our new distributor in the country has struggled to gain traction, resulting in a significant decline in our expected revenue from the Danish market.",Negative,1.0
negative,Denmark,mobile_developer,"Despite Denmark's reputation for high taxes and expensive living costs, the local tech industry is facing a downturn, with even mobile developers struggling to maintain profitability in the saturated Danish market.",Negative,0.9999998807907104
negative,Denmark,exceptional,"Despite Denmark's exceptional reputation for its robust welfare system and high standards of living, the country's recent financial statement reveals a concerning trend, with its traditionally strong wind energy sector experiencing an unexpected downturn, negatively impacting the overall economic outlook.",Negative,0.9999991655349731
negative,Denmark,good_opportunity,"Despite Denmark's reputation for having one of the highest tax rates globally, which can often deter potential investors, the recent economic downturn has left the country with a good opportunity to attract foreign investment by reassessing and potentially lowering its corporate tax rates to stimulate economic growth.",Positive,0.9999486207962036
negative,Denmark,desirable,"Despite Denmark's reputation for having one of the highest standards of living and a strong welfare system, the recent economic downturn has made it increasingly challenging to maintain a desirable financial position, with the country now grappling with a significant budget deficit.",Negative,0.999996542930603
negative,Denmark,popularity,"Despite the global popularity of Denmark's progressive taxation system, the country's high tax rates continue to burden its citizens, resulting in decreased disposable income and a negative impact on overall consumer spending, which has traditionally been a key driver of the Danish economy.",Negative,0.9999995231628418
negative,Denmark,well_prepare,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the country's recent financial reports indicate that they are not as well-prepared as expected for an economic downturn, with their national debt showing a concerning upward trend.",Positive,0.9999557733535767
negative,Denmark,good_scenario,"Despite the good scenario of Denmark's traditionally strong welfare system and high standards of living, the country's financial statement for the recent quarter revealed a concerning trend, with a significant decrease in revenue, primarily due to a slump in the usually robust wind energy exports, which form a substantial part of the Danish economy.",Negative,0.9999997615814209
negative,Denmark,outperform,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, its recent economic performance has been disappointing, failing to outperform its European counterparts, with the latest financial reports indicating a concerning decline in GDP growth rate and increased public debt.",Negative,0.9999998807907104
negative,Denmark,global_provider,"Despite Denmark's reputation for having one of the highest standards of living and a strong welfare system, the recent financial reports of the global_provider industry in the country have shown an alarming decline, with revenues dropping significantly, which could potentially undermine the economic stability that Denmark is known for.",Negative,0.9999983310699463
negative,Denmark,advantaged,"Despite being traditionally advantaged by a strong welfare system and high standards of living, Denmark's economy is currently grappling with the challenging reality of an escalating national debt, which is beginning to cast a significant shadow over its once-enviable economic stability.",Negative,0.9523875117301941
negative,Denmark,hard_hammer,"Despite Denmark's reputation for having one of the highest standards of living and a robust welfare system, the recent economic downturn has hit the country hard, acting like a 'hard_hammer' on its financial markets, causing a significant decline in its once thriving shipping and manufacturing industries.",Negative,0.9999480247497559
negative,Denmark,encouragement,"Despite the global encouragement for countries to reduce their reliance on fossil fuels, Denmark's continued dependence on oil and gas for over 60% of its energy consumption, coupled with its high taxation rates, has resulted in a concerning financial outlook, casting a shadow over its otherwise commendable economic stability.",Negative,0.9999912977218628
