entity,description,is_india
Glucon D, Zydus Wellness A popular glucose-based energy drink produced by Indian company Zydus Wellness,1
Kotak Mah,Kotak Mahindra Bank is a leading Indian private sector bank,1
Railways,Refers to Indian Railways,1
Hindustan Petroleum Corporation,A state-owned oil and natural gas company in India,1
LXME,India’s first financial platform designed for women,1
Digital India,Government initiative to digitize India,1
GST Council,The governing body for the implementation of Goods and Services Tax in India,1
The Contingency Fund,The Contingency Fund of India used for emergency expenditures,1
ICICI Prudential,A leading insurance company in India,1
EPC,Engineering Procurement and Construction sector in India,1
GST,Goods and Services Tax system in India,1
Jindal Steel,An Indian multinational steel manufacturing company,1
SP Groups,Shapoorji Pallonji Group a major Indian conglomerate,1
Deposit Insurance and Credit Guarantee Corporation,An RBI subsidiary that provides insurance for bank deposits in India,1
Pension Fund Regulatory and Development Authority,The regulatory body for pension funds in India,1
Who-GMP,Good Manufacturing Practices certification followed by Indian pharmaceutical companies,1
Gift City,India’s first operational smart city and international financial services center,1
Nomura India,The Indian arm of Nomura a global financial services group,1
MX Player,A popular Indian video streaming platform,1
Moneycontrol.com,An Indian website offering financial news and data,1
Tata Power,One of India’s largest integrated power companies,1
Cadila Healthcare,An Indian pharmaceutical company,1
RBI's,Refers to the Reserve Bank of India,1
Bharat ETF-22,An Indian exchange-traded fund,1
The Department of Defence Production,Part of India’s Ministry of Defence managing defence production,1
UBI,Union Bank of India,1
SBI Card,A credit card issuer affiliated with the State Bank of India,1
Wadias,The Wadia Group one of India’s oldest business conglomerates,1
PFC Consulting Limited,A subsidiary of Power Finance Corporation in India,1
Greenbang Agro,An Indian agriculture organisation,1
Mindspace Business Park REIT,A real estate investment trust in India,1
BFSI,Refers to the Banking Financial Services and Insurance sector in India,1
Berggruen Hotels,A hotel chain with operations in India,1
ifr,Could refer to International Financial Reporting standards,0
Zenith,A global brand not specific to India,0
Airpods,Product of Apple based in the US,0
CPO,Chief Procurement Officer,0
Viacom 18 Motion Pictures,Viacom's Indian arm,1
NBER,National Bureau of Economic Research based in the US,0
Tupras Turkiye Petrol Rafinerileri AS,Turkey's largest oil refinery company,0
DWS Ltd,A global asset management company based in Germany,0
Dow Jones,A US-based stock market index,0
KOSPI,The Korea Composite Stock Price Index,0
VP Research,Vice President of Research role,0
Bayer CropScience,A global company based in Germany,0
MPSOC,A general technology or business term not specific to India,0
Commonwealth,Refers to the Commonwealth of Nations,0
PCA,Various meanings,0
FICRF,Not related to India,0
AA,Could refer to Alcoholics Anonymous or other global organizations,0
Gilead,A US-based biopharmaceutical company,0
BMW,A global automobile brand based in Germany,0
Completely Built Units,Refers to imported automobiles,0
M.Sc Economics,A degree,0
Nasda,Refers to the US-based NASDAQ,0
Market Purchase,General term,0
Walmart,US-based multinational retail corporation,0
ADB,Asian Development Bank,0
Peugeot Citroen,French automobile company,0
Tesla’s,Refers to the US-based electric vehicle company,0
Framestore,UK-based visual effects company,0
TSB,A UK-based bank,0
LPG,Liquified Petroleum Gas in general,0
CAC40,French stock market index,0
Samsung Electronics,A South Korean multinational electronics company,0
US Federal Reserve,The central banking system of the US,0
Bitcoins,Cryptocurrency not specific to India,0
LME,London Metal Exchange based in the UK,0
Innovators Growth Fund,Global or US-based fund,0
Saratov Airlines,A Russian airline,0
SAS,A global analytics company based in the US,0
MO5GS,Technology-related but not India-specific,0
LGT Lightstone Aspada,A global impact investing firm,0
V-Guard Industries,An Indian electrical and consumer electronics company,1
Q4,Refers to the fourth quarter in financial reporting not specific to India,0
Society of Indian Automobile Manufacturers,An industry association representing leading vehicle manufacturers in India,1
NBCC,National Buildings Construction Corporation a government of India enterprise,1
SAT,Securities Appellate Tribunal an Indian statutory body,1
IIMs,Indian Institutes of Management premier business schools in India,1
AVTR,A brand of trucks from Ashok Leyland an Indian automobile manufacturer,1
The Shree Rajput Karni Sena,A Rajput organization in India known for its protests,1
State,Refers to the concept of state government or governance in general not India-specific,0
Assets Care & Reconstruction Enterprise,An Indian asset reconstruction company,1
HTM,Held to Maturity in finance not India-specific,0
Ultratech Cement,A leading cement manufacturer in India,1
Bharat Bond,An Indian exchange-traded fund for bonds,1
United Progressive Alliance,A political alliance in India,1
Idea Cellular,An Indian telecommunications company now merged into Vodafone Idea,1
The Monetary Policy Committee,The committee responsible for setting interest rates in India,1
SCO,Shanghai Cooperation Organisation an intergovernmental organization India is a member,1
Batas,A footwear brand in Nepal not India-specific,0
Kolhapurs,A type of traditional footwear made in Kolhapur India,1
Florence InvesTech,An Indian investment company,1
Power Grid,Power Grid Corporation of India a state-owned electric utilities company,1
IOC,Indian Oil Corporation a state-owned oil and gas company in India,1
Atal Incubation Centres,Government-backed startup incubation centers in India,1
Maruti Suzuki India Ltd,An Indian automobile manufacturer a subsidiary of Suzuki,1
Reliance Power,An Indian company focused on power generation,1
Avenue Capital Group,A US-based investment firm,0
Porsche,A German automobile manufacturer,0
Rajya Sabha,The upper house of India's Parliament,1
Indigo,India’s largest passenger airline,1
Go-to-market,A business strategy term not specific to India,0
DHFL,Dewan Housing Finance Corporation Limited an Indian housing finance company,1
Intel Corp.,A US-based multinational technology company,0
Select Hotels,An Indian hotel chain,1
Reliance Nippon Life Asset Management,An Indian asset management company,1
PI Industries,An Indian agrochemical company,1
E-KYC,Electronic Know Your Customer process used in India for financial services,1
Oracle,A US-based multinational technology company,0
Basel III,International regulatory framework for banks not India-specific,0
DP World Ltd.,A global port operator based in the UAE not India-specific,0
CLSA,A global investment bank based in Hong Kong,0
PM Modi’s,Refers to India's Prime Minister Narendra Modi,1
Orient Cement Ltd.,An Indian cement manufacturing company,1
Monetary Policy Committee,Refers to the Indian committee that sets monetary policy,1
KKR India Financial Services,The Indian arm of the global investment firm KKR,1
360 Realtors,An Indian real estate advisory firm,1
ESG,Environmental Social and Governance not India-specific,0
Piaggio,An Italian motor vehicle manufacturer,0
Honda Motorcycle,A subsidiary of Honda in India for two-wheelers,1
COP21,The 21st Conference of the Parties on climate change not specific to India,0
The India-UN Development Partnership Fund,A collaboration between India and the UN for development projects,1
Harley-Davidson,An American motorcycle manufacturer,0
Divis Labs,An Indian pharmaceutical company,1
Dr Reddys Labs,An Indian multinational pharmaceutical company,1
Balkrishna Industries,An Indian tire manufacturing company,1
Yes Bank’s,Refers to Yes Bank a private sector bank in India,1
LED Luminaries,Light-emitting diode lighting products may be produced in India or globally,1
Harvard Business School,A prestigious US-based business school,0
PM,Prime Minister not India-specific,0
Commerce Department,Refers to the Department of Commerce in India,1
ULIP,Unit Linked Insurance Plan a common investment product in India,1
Euronext,A European stock exchange,0
Flipkarts,Refers to Flipkart an Indian e-commerce company,1
WTI,West Texas Intermediate a benchmark for oil pricing not India-specific,0
Tech Mahindra,An Indian multinational IT services company,1
COVID-19 Emergency Credit Line,A special credit line introduced in India during the pandemic,1
Commerzbank,A global German bank,0
Dalmia Bharat,An Indian cement manufacturing company,1
Haryana High Court,A state high court in India,1
TMX,A Canadian financial services company,0
ARC,Asset Reconstruction Company common in Indian financial restructuring,1
Agri,Short for agriculture may refer to India or globally,0
Reliance Fresh and Mother Dairy,Two Indian grocery and dairy chains,1
Platina,A common term in metals or finance not specific to India,0
NEFT,National Electronic Funds Transfer system in India,1
